x	y	progress.rate.q.0.05.0.00.quality.maturePerformance	progress.rate.q.0.05.0.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.10.quality.maturePerformance	progress.rate.q.0.05.0.10.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.25.quality.maturePerformance	progress.rate.q.0.05.0.25.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.50.quality.maturePerformance	progress.rate.q.0.05.0.50.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.1.00.quality.maturePerformance	progress.rate.q.0.05.1.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.
0	0	1.700e-01	-1.434e-03	3.700e-01	5.228e-03	3.700e-01	5.228e-03	6.000e-01	9.766e-01	6.000e-01	9.766e-01
0	1	nan	nan	1.100e-01	-3.303e-03	2.700e-01	6.205e-03	2.700e-01	6.205e-03	2.700e-01	6.205e-03
0	2	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	3	nan	nan	-5.000e-02	1.185e-04	-5.000e-02	1.185e-04	-5.000e-02	1.185e-04	6.100e-01	1.000e+00
0	4	nan	nan	-5.000e-02	1.078e-04	5.000e-02	1.174e-04	5.000e-02	1.174e-04	5.000e-02	1.174e-04
0	5	nan	nan	nan	nan	5.000e-02	1.647e-04	5.000e-02	1.647e-04	5.000e-02	1.647e-04
0	6	nan	nan	nan	nan	nan	nan	2.200e-01	-5.000e-01	6.500e-01	1.000e+00
0	7	nan	nan	nan	nan	nan	nan	nan	nan	2.700e-01	1.000e+00
0	8	nan	nan	nan	nan	nan	nan	3.100e-01	9.802e-01	7.100e-01	-5.000e-01
0	9	4.500e-01	4.182e-01	4.500e-01	4.182e-01	5.000e-01	5.000e-01	6.000e-01	-1.604e-04	8.900e-01	4.946e-01
1	0	nan	nan	nan	nan	nan	nan	6.000e-01	9.802e-01	1.000e+00	9.802e-01
1	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	2	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	3	nan	nan	nan	nan	nan	nan	6.100e-01	1.000e+00	6.100e-01	1.000e+00
1	4	nan	nan	nan	nan	nan	nan	nan	nan	2.200e-01	-7.121e-01
1	5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	6	nan	nan	nan	nan	nan	nan	2.200e-01	1.000e+00	6.500e-01	1.000e+00
1	7	nan	nan	nan	nan	nan	nan	nan	nan	6.700e-01	1.000e+00
1	8	nan	nan	nan	nan	nan	nan	7.100e-01	1.000e+00	7.100e-01	1.000e+00
1	9	4.500e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01	6.000e-01	-1.604e-04	8.700e-01	4.946e-01
2	0	nan	nan	nan	nan	nan	nan	6.000e-01	9.766e-01	1.000e+00	1.000e+00
2	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	2	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	3	nan	nan	nan	nan	nan	nan	6.100e-01	1.000e+00	6.100e-01	1.000e+00
2	4	nan	nan	nan	nan	nan	nan	nan	nan	2.200e-01	1.000e+00
2	5	nan	nan	nan	nan	nan	nan	nan	nan	6.200e-01	1.000e+00
2	6	nan	nan	nan	nan	nan	nan	2.200e-01	-5.000e-01	6.500e-01	1.000e+00
2	7	nan	nan	nan	nan	nan	nan	nan	nan	6.700e-01	-5.000e-01
2	8	nan	nan	nan	nan	nan	nan	7.300e-01	1.000e+00	9.000e-01	1.000e+00
