x	y	progress.rate.q.0.05.0.00.quality.maturePerformance	progress.rate.q.0.05.0.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.10.quality.maturePerformance	progress.rate.q.0.05.0.10.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.25.quality.maturePerformance	progress.rate.q.0.05.0.25.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.50.quality.maturePerformance	progress.rate.q.0.05.0.50.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.1.00.quality.maturePerformance	progress.rate.q.0.05.1.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.
0	0	nan	nan	5.000e-01	1.319e-02	1.000e+00	6.855e-02	1.000e+00	6.855e-02	1.000e+00	6.855e-02
0	1	nan	nan	5.000e-02	2.246e-03	1.000e+00	4.620e-02	1.000e+00	4.620e-02	1.000e+00	4.620e-02
0	2	nan	nan	4.500e-01	2.360e-02	1.000e+00	9.309e-02	1.000e+00	9.309e-02	1.000e+00	9.309e-02
0	3	nan	nan	4.500e-01	8.022e-02	1.000e+00	1.003e-01	1.000e+00	1.003e-01	1.000e+00	1.003e-01
0	4	nan	nan	3.500e-01	-2.493e-02	1.000e+00	8.664e-02	1.000e+00	8.664e-02	1.000e+00	8.664e-02
0	5	nan	nan	5.000e-01	9.283e-02	5.000e-01	9.283e-02	6.500e-01	7.693e-02	9.400e-01	9.129e-02
0	6	nan	nan	5.000e-02	6.255e-04	9.500e-01	9.671e-02	9.500e-01	9.671e-02	9.500e-01	9.671e-02
0	7	nan	nan	5.000e-01	4.024e-02	5.000e-01	4.024e-02	5.300e-01	8.796e-02	7.600e-01	9.844e-02
0	8	nan	nan	4.500e-01	5.498e-02	5.000e-01	2.811e-02	5.000e-01	2.811e-02	5.000e-01	2.811e-02
0	9	4.500e-01	-5.037e-02	5.000e-01	9.953e-02	5.000e-01	9.953e-02	5.000e-01	9.953e-02	5.200e-01	8.441e-02
1	0	nan	nan	nan	nan	nan	nan	1.000e+00	1.430e-01	1.000e+00	1.430e-01
1	1	nan	nan	1.000e+00	1.521e-01	1.000e+00	1.521e-01	1.000e+00	1.521e-01	1.000e+00	1.521e-01
1	2	nan	nan	nan	nan	1.000e+00	1.716e-01	1.000e+00	1.716e-01	1.000e+00	1.716e-01
1	3	nan	nan	nan	nan	1.000e+00	1.618e-01	1.000e+00	1.618e-01	1.000e+00	1.618e-01
1	4	nan	nan	1.000e+00	1.895e-01	1.000e+00	1.895e-01	1.000e+00	1.895e-01	1.000e+00	1.895e-01
1	5	nan	nan	nan	nan	1.000e+00	1.788e-01	1.000e+00	1.788e-01	1.000e+00	1.788e-01
1	6	nan	nan	2.400e-01	1.140e-01	1.000e+00	1.379e-01	1.000e+00	1.379e-01	1.000e+00	1.379e-01
1	7	nan	nan	nan	nan	5.500e-01	1.706e-01	1.000e+00	2.041e-01	1.000e+00	2.041e-01
1	8	nan	nan	5.000e-01	1.031e-01	6.500e-01	1.751e-01	1.000e+00	1.833e-01	1.000e+00	1.833e-01
1	9	5.000e-02	1.431e-01	5.100e-01	1.558e-01	1.000e+00	1.749e-01	1.000e+00	1.749e-01	1.000e+00	1.749e-01
2	0	nan	nan	nan	nan	1.000e+00	2.521e-01	1.000e+00	2.521e-01	1.000e+00	2.521e-01
2	1	nan	nan	nan	nan	1.000e+00	2.034e-01	1.000e+00	2.034e-01	1.000e+00	2.034e-01
2	2	nan	nan	1.000e+00	2.666e-01	1.000e+00	2.666e-01	1.000e+00	2.666e-01	1.000e+00	2.666e-01
2	3	nan	nan	1.000e+00	2.934e-01	1.000e+00	2.934e-01	1.000e+00	2.934e-01	1.000e+00	2.934e-01
2	4	nan	nan	1.000e+00	2.307e-01	1.000e+00	2.307e-01	1.000e+00	2.307e-01	1.000e+00	2.307e-01
2	5	nan	nan	nan	nan	1.000e+00	3.017e-01	1.000e+00	3.017e-01	1.000e+00	3.017e-01
2	6	nan	nan	1.000e+00	2.610e-01	1.000e+00	2.610e-01	1.000e+00	2.610e-01	1.000e+00	2.610e-01
2	7	nan	nan	1.000e+00	2.706e-01	1.000e+00	2.706e-01	1.000e+00	2.706e-01	1.000e+00	2.706e-01
2	8	nan	nan	nan	nan	1.000e+00	2.946e-01	1.000e+00	2.946e-01	1.000e+00	2.946e-01
