x	y	progress.rate.q.0.05.0.00.quality.maturePerformance	progress.rate.q.0.05.0.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.10.quality.maturePerformance	progress.rate.q.0.05.0.10.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.25.quality.maturePerformance	progress.rate.q.0.05.0.25.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.50.quality.maturePerformance	progress.rate.q.0.05.0.50.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.1.00.quality.maturePerformance	progress.rate.q.0.05.1.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.
0	0	nan	nan	5.000e-02	2.737e-03	5.000e-01	2.068e-04	1.000e+00	7.223e-03	1.000e+00	7.223e-03
0	1	nan	nan	5.000e-02	1.103e-02	2.500e-01	6.188e-03	4.500e-01	1.237e-02	4.800e-01	1.106e-02
0	2	nan	nan	4.400e-01	4.249e-02	6.500e-01	2.585e-02	9.000e-01	6.500e-02	9.000e-01	6.500e-02
0	3	nan	nan	6.500e-01	8.605e-02	6.700e-01	5.490e-02	1.000e+00	1.581e-01	1.000e+00	1.581e-01
0	4	nan	nan	6.500e-01	3.790e-02	6.500e-01	3.790e-02	6.500e-01	3.790e-02	1.000e+00	7.701e-02
0	5	1.500e-01	-7.511e-03	6.500e-01	4.680e-02	6.500e-01	4.680e-02	6.500e-01	4.680e-02	8.100e-01	1.017e-01
0	6	nan	nan	5.000e-01	1.356e-01	6.500e-01	7.802e-02	6.500e-01	7.802e-02	6.700e-01	1.355e-01
0	7	nan	nan	6.500e-01	8.520e-02	6.500e-01	8.520e-02	6.500e-01	8.520e-02	6.500e-01	8.520e-02
0	8	nan	nan	5.000e-01	1.071e-01	6.100e-01	1.599e-02	6.500e-01	5.411e-02	6.500e-01	5.411e-02
0	9	4.500e-01	5.929e-02	6.500e-01	8.390e-02	6.500e-01	8.390e-02	6.500e-01	8.390e-02	6.500e-01	8.390e-02
1	0	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	1.632e-01
1	1	nan	nan	nan	nan	nan	nan	1.000e+00	1.663e-01	1.000e+00	1.663e-01
1	2	nan	nan	nan	nan	nan	nan	1.000e+00	1.067e-01	1.000e+00	1.067e-01
1	3	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	1.123e-01
1	4	nan	nan	nan	nan	nan	nan	1.000e+00	1.245e-01	1.000e+00	1.245e-01
1	5	nan	nan	nan	nan	6.500e-01	7.210e-02	7.100e-01	2.394e-01	9.500e-01	2.539e-01
1	6	nan	nan	nan	nan	5.000e-01	1.157e-01	5.700e-01	1.547e-01	1.000e+00	1.307e-01
1	7	nan	nan	6.700e-01	1.940e-01	1.000e+00	1.697e-01	1.000e+00	1.697e-01	1.000e+00	1.697e-01
1	8	nan	nan	5.600e-01	1.668e-01	5.600e-01	1.668e-01	8.100e-01	1.285e-01	1.000e+00	2.037e-01
1	9	5.000e-01	2.141e-01	6.500e-01	9.745e-02	6.500e-01	9.745e-02	1.000e+00	1.523e-01	1.000e+00	1.523e-01
2	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	2	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	2.194e-01
2	3	nan	nan	nan	nan	nan	nan	1.000e+00	2.524e-01	1.000e+00	2.524e-01
2	4	nan	nan	nan	nan	1.000e+00	2.684e-01	1.000e+00	2.684e-01	1.000e+00	2.684e-01
2	5	nan	nan	nan	nan	1.000e+00	2.341e-01	1.000e+00	2.341e-01	1.000e+00	2.341e-01
2	6	nan	nan	nan	nan	nan	nan	9.800e-01	2.538e-01	1.000e+00	2.085e-01
2	7	nan	nan	nan	nan	nan	nan	5.000e-01	1.878e-01	1.000e+00	2.666e-01
2	8	nan	nan	nan	nan	nan	nan	1.000e+00	2.157e-01	1.000e+00	2.157e-01
2	9	5.000e-01	2.464e-01	1.000e+00	2.902e-01	1.000e+00	2.902e-01	1.000e+00	2.902e-01	1.000e+00	2.902e-01
3	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	1	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	3.908e-01
3	2	nan	nan	nan	nan	nan	nan	1.000e+00	3.380e-01	1.000e+00	3.380e-01
3	3	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	3.705e-01
3	4	nan	nan	nan	nan	1.000e+00	3.819e-01	1.000e+00	3.819e-01	1.000e+00	3.819e-01
3	5	nan	nan	nan	nan	nan	nan	1.000e+00	3.058e-01	1.000e+00	3.058e-01
3	6	nan	nan	nan	nan	nan	nan	1.000e+00	3.753e-01	1.000e+00	3.753e-01
3	7	nan	nan	nan	nan	1.000e+00	3.283e-01	1.000e+00	3.283e-01	1.000e+00	3.283e-01
3	8	nan	nan	1.000e+00	4.426e-01	1.000e+00	4.426e-01	1.000e+00	4.426e-01	1.000e+00	4.426e-01
3	9	5.000e-01	3.743e-01	1.000e+00	4.617e-01	1.000e+00	4.617e-01	1.000e+00	4.617e-01	1.000e+00	4.617e-01
4	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	2	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	4.145e-01
4	3	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	4.624e-01
