n.evals.q.1.0.	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.hebbian.layer.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.layer.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.layer.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.hebbian.neuron.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.neuron.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.neuron.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max
1.000e+02	2.518e-01	7.119e-02	5.000e-01	4.504e-01	2.040e-01	4.941e-01	4.068e-01	1.694e-01	7.187e-01	3.934e-01	2.736e-01	4.978e-01	5.000e-01	5.000e-01	5.000e-01
2.000e+02	2.493e-01	7.119e-02	5.000e-01	1.544e-01	9.185e-03	3.723e-01	4.986e-01	3.995e-01	6.186e-01	3.099e-01	2.736e-01	5.222e-01	5.000e-01	5.000e-01	5.000e-01
3.000e+02	2.493e-01	7.119e-02	5.000e-01	6.348e-02	6.833e-03	2.478e-01	4.977e-01	4.168e-01	6.936e-01	4.782e-01	2.934e-01	5.889e-01	5.000e-01	4.999e-01	5.000e-01
4.000e+02	2.493e-01	7.119e-02	5.000e-01	6.348e-02	6.833e-03	2.366e-01	4.770e-01	3.944e-01	5.994e-01	4.846e-01	3.036e-01	6.258e-01	5.000e-01	5.000e-01	6.092e-01
5.000e+02	2.493e-01	7.119e-02	5.000e-01	6.348e-02	6.833e-03	2.366e-01	4.458e-01	3.734e-01	5.118e-01	5.366e-01	3.877e-01	6.526e-01	5.000e-01	4.999e-01	6.092e-01
6.000e+02	2.493e-01	7.119e-02	5.000e-01	5.894e-02	6.833e-03	2.201e-01	4.705e-01	3.756e-01	4.977e-01	5.439e-01	3.199e-01	6.526e-01	5.000e-01	4.986e-01	9.842e-01
7.000e+02	2.493e-01	7.119e-02	5.000e-01	5.894e-02	6.833e-03	2.201e-01	4.600e-01	3.632e-01	4.957e-01	4.782e-01	3.734e-01	6.433e-01	5.000e-01	4.999e-01	1.000e+00
8.000e+02	2.493e-01	7.119e-02	5.000e-01	5.574e-02	6.833e-03	1.037e-01	4.600e-01	3.632e-01	4.957e-01	4.782e-01	3.734e-01	6.332e-01	5.000e-01	4.999e-01	1.000e+00
9.000e+02	2.493e-01	7.119e-02	5.000e-01	5.574e-02	6.833e-03	1.037e-01	4.600e-01	3.632e-01	4.957e-01	4.822e-01	3.734e-01	6.258e-01	5.000e-01	4.999e-01	1.000e+00
1.000e+03	2.493e-01	7.119e-02	5.000e-01	5.574e-02	9.797e-03	1.037e-01	4.600e-01	3.632e-01	4.957e-01	4.724e-01	3.734e-01	6.104e-01	5.000e-01	5.000e-01	1.000e+00
1.100e+03	2.493e-01	7.119e-02	5.000e-01	5.894e-02	1.144e-02	1.186e-01	4.600e-01	3.632e-01	4.957e-01	4.822e-01	4.136e-01	6.526e-01	5.000e-01	5.000e-01	1.000e+00
1.200e+03	2.493e-01	7.119e-02	5.000e-01	5.894e-02	1.144e-02	1.186e-01	4.403e-01	3.591e-01	4.799e-01	4.822e-01	4.136e-01	6.332e-01	5.000e-01	5.000e-01	1.000e+00
1.300e+03	2.493e-01	7.119e-02	5.000e-01	6.348e-02	1.144e-02	1.186e-01	4.403e-01	3.591e-01	4.799e-01	4.724e-01	3.877e-01	5.439e-01	5.000e-01	5.000e-01	1.000e+00
1.400e+03	2.493e-01	7.119e-02	5.000e-01	6.381e-02	2.790e-02	1.190e-01	4.458e-01	3.591e-01	4.799e-01	4.724e-01	3.985e-01	5.439e-01	5.423e-01	5.000e-01	1.000e+00
1.500e+03	2.493e-01	7.119e-02	5.000e-01	6.381e-02	2.991e-02	1.190e-01	4.403e-01	3.328e-01	4.770e-01	4.684e-01	3.734e-01	5.439e-01	5.423e-01	5.000e-01	1.000e+00
1.600e+03	2.493e-01	7.119e-02	5.000e-01	6.381e-02	2.991e-02	1.190e-01	4.403e-01	3.585e-01	4.770e-01	4.684e-01	3.573e-01	5.758e-01	5.423e-01	5.000e-01	1.000e+00
1.700e+03	2.493e-01	7.119e-02	5.000e-01	6.381e-02	2.991e-02	1.190e-01	4.403e-01	3.585e-01	4.770e-01	4.684e-01	3.573e-01	5.758e-01	5.423e-01	5.000e-01	1.000e+00
1.800e+03	2.493e-01	7.119e-02	5.000e-01	6.381e-02	2.991e-02	1.190e-01	4.403e-01	3.585e-01	4.770e-01	4.856e-01	3.985e-01	5.774e-01	9.285e-01	5.000e-01	1.000e+00
1.900e+03	2.493e-01	7.119e-02	5.000e-01	7.657e-02	3.389e-02	1.719e-01	4.261e-01	3.328e-01	4.763e-01	4.684e-01	3.734e-01	5.439e-01	9.285e-01	5.000e-01	1.000e+00
2.000e+03	2.493e-01	7.119e-02	5.000e-01	8.526e-02	3.389e-02	1.777e-01	4.261e-01	3.328e-01	4.763e-01	4.662e-01	3.734e-01	5.429e-01	1.000e+00	5.000e-01	1.000e+00
2.100e+03	2.493e-01	7.119e-02	5.000e-01	8.725e-02	3.441e-02	1.777e-01	4.261e-01	3.328e-01	4.763e-01	4.684e-01	3.985e-01	5.439e-01	1.000e+00	5.000e-01	1.000e+00
2.200e+03	2.500e-01	7.119e-02	5.000e-01	8.725e-02	3.441e-02	1.777e-01	3.979e-01	3.156e-01	4.763e-01	4.622e-01	3.573e-01	5.439e-01	1.000e+00	5.000e-01	1.000e+00
2.300e+03	2.500e-01	7.119e-02	5.000e-01	8.725e-02	3.441e-02	1.777e-01	3.979e-01	3.156e-01	4.763e-01	4.622e-01	3.573e-01	5.439e-01	1.000e+00	5.000e-01	1.000e+00
2.400e+03	2.500e-01	7.119e-02	5.000e-01	8.725e-02	3.441e-02	1.777e-01	3.979e-01	3.156e-01	4.763e-01	4.622e-01	3.527e-01	5.429e-01	1.000e+00	5.000e-01	1.000e+00
2.500e+03	2.500e-01	7.119e-02	5.000e-01	8.725e-02	3.441e-02	2.397e-01	3.979e-01	3.156e-01	4.763e-01	4.152e-01	3.527e-01	5.206e-01	1.000e+00	5.000e-01	1.000e+00
2.600e+03	2.500e-01	7.119e-02	5.000e-01	8.725e-02	3.441e-02	2.397e-01	3.979e-01	3.156e-01	4.763e-01	4.152e-01	3.527e-01	5.206e-01	1.000e+00	5.000e-01	1.000e+00
2.700e+03	2.500e-01	7.119e-02	5.000e-01	8.725e-02	3.441e-02	2.397e-01	3.979e-01	3.156e-01	4.763e-01	4.136e-01	3.527e-01	5.025e-01	1.000e+00	5.058e-01	1.000e+00
2.800e+03	2.500e-01	7.119e-02	5.000e-01	1.037e-01	3.441e-02	2.397e-01	3.979e-01	3.156e-01	4.763e-01	4.116e-01	3.471e-01	5.025e-01	1.000e+00	5.058e-01	1.000e+00
2.900e+03	2.500e-01	7.119e-02	5.000e-01	1.037e-01	3.441e-02	2.397e-01	3.979e-01	3.156e-01	4.763e-01	4.116e-01	3.471e-01	5.025e-01	1.000e+00	5.178e-01	1.000e+00
