n.evals.q.1.0.	xor._.me.hebbian.network.best.quality.increase	xor._.me.hebbian.network.best.quality.increase.min	xor._.me.hebbian.network.best.quality.increase.max	xor._.me.hebbian.layer.best.quality.increase	xor._.me.hebbian.layer.best.quality.increase.min	xor._.me.hebbian.layer.best.quality.increase.max	xor._.me.hebbian.neuron.best.quality.increase	xor._.me.hebbian.neuron.best.quality.increase.min	xor._.me.hebbian.neuron.best.quality.increase.max	xor._.me.hebbian.synapse.best.quality.increase	xor._.me.hebbian.synapse.best.quality.increase.min	xor._.me.hebbian.synapse.best.quality.increase.max	xor._.me.freeForm.best.quality.increase	xor._.me.freeForm.best.quality.increase.min	xor._.me.freeForm.best.quality.increase.max
1.000e+02	2.401e-01	6.316e-02	4.594e-01	4.515e-01	1.924e-01	4.817e-01	3.706e-01	1.782e-01	6.846e-01	4.714e-01	3.428e-01	6.070e-01	2.717e-01	1.454e-01	3.405e-01
2.000e+02	2.290e-01	6.316e-02	4.586e-01	1.471e-01	9.559e-03	3.664e-01	4.803e-01	3.956e-01	6.509e-01	4.081e-01	2.984e-01	5.785e-01	3.244e-01	1.647e-01	4.912e-01
3.000e+02	2.290e-01	6.316e-02	4.586e-01	5.559e-02	1.663e-03	2.524e-01	4.761e-01	3.981e-01	7.030e-01	4.957e-01	3.428e-01	5.725e-01	2.338e-01	1.647e-01	4.768e-01
4.000e+02	2.290e-01	6.316e-02	4.586e-01	4.960e-02	1.663e-03	2.153e-01	4.573e-01	3.653e-01	5.830e-01	4.957e-01	3.798e-01	5.785e-01	2.466e-01	1.734e-01	4.912e-01
5.000e+02	2.290e-01	6.316e-02	4.586e-01	4.960e-02	1.663e-03	2.153e-01	4.395e-01	3.613e-01	4.853e-01	5.299e-01	4.076e-01	6.046e-01	3.268e-01	1.799e-01	5.751e-01
6.000e+02	2.290e-01	6.316e-02	4.586e-01	4.960e-02	1.663e-03	2.046e-01	4.573e-01	3.615e-01	4.823e-01	4.985e-01	3.372e-01	6.303e-01	2.751e-01	1.734e-01	5.751e-01
7.000e+02	2.290e-01	6.316e-02	4.586e-01	4.960e-02	1.663e-03	2.046e-01	4.540e-01	3.594e-01	4.761e-01	4.957e-01	3.634e-01	6.046e-01	3.755e-01	1.734e-01	5.752e-01
8.000e+02	2.290e-01	6.316e-02	4.586e-01	4.960e-02	1.663e-03	9.658e-02	4.540e-01	3.594e-01	4.761e-01	4.862e-01	3.634e-01	5.785e-01	4.255e-01	1.485e-01	5.752e-01
9.000e+02	2.290e-01	6.316e-02	4.586e-01	4.960e-02	1.663e-03	9.658e-02	4.540e-01	3.594e-01	4.761e-01	4.807e-01	3.634e-01	5.785e-01	4.350e-01	1.485e-01	5.797e-01
1.000e+03	2.290e-01	6.316e-02	4.586e-01	4.960e-02	8.537e-03	9.658e-02	4.540e-01	3.594e-01	4.761e-01	4.807e-01	3.726e-01	6.046e-01	3.894e-01	1.485e-01	5.751e-01
1.100e+03	2.290e-01	6.316e-02	4.586e-01	5.559e-02	9.559e-03	1.154e-01	4.540e-01	3.594e-01	4.761e-01	4.862e-01	3.634e-01	6.142e-01	3.894e-01	1.485e-01	6.017e-01
1.200e+03	2.290e-01	6.316e-02	4.586e-01	5.559e-02	9.559e-03	1.154e-01	4.395e-01	3.390e-01	4.674e-01	4.862e-01	3.634e-01	6.142e-01	5.282e-01	1.595e-01	6.852e-01
1.300e+03	2.290e-01	6.316e-02	4.586e-01	5.673e-02	9.559e-03	1.154e-01	4.395e-01	3.390e-01	4.674e-01	4.527e-01	3.634e-01	5.361e-01	4.350e-01	1.347e-01	6.852e-01
1.400e+03	2.290e-01	6.316e-02	4.586e-01	6.174e-02	3.384e-02	1.311e-01	4.498e-01	3.399e-01	4.674e-01	4.447e-01	3.584e-01	5.361e-01	3.894e-01	1.301e-01	6.852e-01
1.500e+03	2.290e-01	6.316e-02	4.586e-01	6.174e-02	3.424e-02	1.311e-01	4.395e-01	3.235e-01	4.670e-01	4.447e-01	3.396e-01	5.361e-01	3.749e-01	9.597e-02	6.750e-01
1.600e+03	2.290e-01	6.316e-02	4.586e-01	6.174e-02	3.424e-02	1.311e-01	4.395e-01	3.399e-01	4.670e-01	4.447e-01	3.396e-01	5.762e-01	3.749e-01	9.597e-02	6.750e-01
1.700e+03	2.290e-01	6.316e-02	4.586e-01	6.174e-02	3.424e-02	1.311e-01	4.395e-01	3.399e-01	4.670e-01	4.447e-01	3.396e-01	5.762e-01	4.075e-01	9.827e-02	6.750e-01
1.800e+03	2.290e-01	6.316e-02	4.586e-01	6.174e-02	3.424e-02	1.311e-01	4.395e-01	3.399e-01	4.670e-01	4.862e-01	3.634e-01	5.879e-01	4.284e-01	9.827e-02	7.042e-01
1.900e+03	2.290e-01	6.316e-02	4.586e-01	7.894e-02	3.718e-02	1.727e-01	4.170e-01	3.235e-01	4.670e-01	4.504e-01	3.584e-01	5.018e-01	3.749e-01	7.434e-02	5.782e-01
2.000e+03	2.290e-01	6.316e-02	4.586e-01	8.567e-02	3.718e-02	1.912e-01	4.170e-01	3.235e-01	4.670e-01	4.504e-01	3.584e-01	4.985e-01	1.936e-01	7.434e-02	5.282e-01
2.100e+03	2.290e-01	6.316e-02	4.586e-01	8.908e-02	4.058e-02	1.912e-01	4.170e-01	3.235e-01	4.670e-01	4.507e-01	3.634e-01	4.985e-01	1.936e-01	6.520e-02	5.174e-01
2.200e+03	2.344e-01	6.316e-02	4.586e-01	8.908e-02	4.058e-02	1.912e-01	3.958e-01	3.123e-01	4.670e-01	4.447e-01	3.584e-01	4.985e-01	1.927e-01	6.520e-02	4.284e-01
2.300e+03	2.344e-01	6.316e-02	4.586e-01	8.908e-02	4.058e-02	1.912e-01	3.958e-01	3.123e-01	4.670e-01	4.447e-01	3.396e-01	4.985e-01	1.489e-01	6.159e-02	4.284e-01
2.400e+03	2.344e-01	6.316e-02	4.586e-01	8.908e-02	4.058e-02	1.912e-01	3.958e-01	3.123e-01	4.670e-01	4.270e-01	3.396e-01	4.983e-01	1.489e-01	6.159e-02	4.446e-01
2.500e+03	2.344e-01	6.316e-02	4.586e-01	8.908e-02	4.058e-02	2.495e-01	3.958e-01	3.123e-01	4.670e-01	3.885e-01	3.396e-01	4.971e-01	1.489e-01	6.159e-02	4.446e-01
2.600e+03	2.344e-01	6.316e-02	4.586e-01	8.908e-02	4.058e-02	2.495e-01	3.958e-01	3.123e-01	4.670e-01	3.885e-01	3.396e-01	4.971e-01	1.489e-01	6.159e-02	4.284e-01
2.700e+03	2.344e-01	6.316e-02	4.586e-01	8.908e-02	4.058e-02	2.495e-01	3.958e-01	3.123e-01	4.670e-01	3.885e-01	3.396e-01	4.862e-01	1.489e-01	6.159e-02	4.284e-01
