x	y	progress.rate.q.0.05.0.00.quality.maturePerformance	progress.rate.q.0.05.0.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.10.quality.maturePerformance	progress.rate.q.0.05.0.10.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.25.quality.maturePerformance	progress.rate.q.0.05.0.25.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.50.quality.maturePerformance	progress.rate.q.0.05.0.50.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.1.00.quality.maturePerformance	progress.rate.q.0.05.1.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.
0	0	nan	nan	1.000e+00	1.949e-02	1.000e+00	1.949e-02	1.000e+00	1.949e-02	1.000e+00	1.949e-02
0	1	nan	nan	1.000e+00	8.448e-02	1.000e+00	8.448e-02	1.000e+00	8.448e-02	1.000e+00	8.448e-02
0	2	nan	nan	1.000e+00	7.764e-02	1.000e+00	7.764e-02	1.000e+00	7.764e-02	1.000e+00	7.764e-02
0	3	nan	nan	5.000e-01	2.053e-02	1.000e+00	9.081e-02	1.000e+00	9.081e-02	1.000e+00	9.081e-02
0	4	nan	nan	1.000e+00	1.090e-01	1.000e+00	1.090e-01	1.000e+00	1.090e-01	1.000e+00	1.090e-01
0	5	nan	nan	5.000e-01	9.438e-02	5.500e-01	8.217e-02	9.000e-01	8.217e-02	1.000e+00	9.297e-02
0	6	nan	nan	5.000e-01	9.212e-02	9.500e-01	9.803e-02	9.500e-01	9.803e-02	9.500e-01	9.803e-02
0	7	nan	nan	5.000e-01	9.489e-02	5.200e-01	9.005e-02	5.200e-01	9.005e-02	5.200e-01	9.005e-02
0	8	nan	nan	5.000e-01	9.229e-02	5.000e-01	9.229e-02	5.000e-01	9.229e-02	5.000e-01	9.229e-02
0	9	4.700e-01	6.044e-02	5.000e-01	7.199e-02	5.000e-01	7.199e-02	6.000e-01	1.493e-01	6.000e-01	1.493e-01
