x	y	progress.rate.q.0.05.0.00.quality.maturePerformance	progress.rate.q.0.05.0.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.10.quality.maturePerformance	progress.rate.q.0.05.0.10.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.25.quality.maturePerformance	progress.rate.q.0.05.0.25.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.50.quality.maturePerformance	progress.rate.q.0.05.0.50.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.1.00.quality.maturePerformance	progress.rate.q.0.05.1.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.
0	0	nan	nan	6.500e-01	1.474e-02	6.500e-01	1.474e-02	6.800e-01	1.542e-02	6.800e-01	1.542e-02
0	1	nan	nan	6.500e-01	1.725e-02	6.500e-01	1.725e-02	6.500e-01	1.725e-02	1.000e+00	7.082e-02
0	2	nan	nan	6.500e-01	3.497e-02	6.500e-01	3.497e-02	6.700e-01	7.267e-02	7.100e-01	5.920e-02
0	3	-1.000e+00	-8.879e-01	6.500e-01	2.030e-02	6.500e-01	2.030e-02	6.500e-01	2.030e-02	7.100e-01	1.024e-01
0	4	nan	nan	6.500e-01	6.123e-02	6.500e-01	6.123e-02	6.500e-01	6.123e-02	6.600e-01	6.065e-02
0	5	nan	nan	6.500e-01	3.796e-02	6.500e-01	3.796e-02	6.500e-01	3.796e-02	6.500e-01	3.796e-02
0	6	nan	nan	6.500e-01	5.788e-02	6.500e-01	5.788e-02	6.500e-01	5.788e-02	6.500e-01	5.788e-02
0	7	nan	nan	6.500e-01	2.080e-02	6.500e-01	2.080e-02	7.000e-01	8.421e-02	7.000e-01	8.421e-02
0	8	nan	nan	6.500e-01	9.549e-02	6.500e-01	9.549e-02	6.500e-01	9.549e-02	6.500e-01	9.549e-02
0	9	3.200e-01	1.486e-01	6.500e-01	5.166e-03	6.500e-01	5.166e-03	6.500e-01	5.166e-03	6.500e-01	5.166e-03
1	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	1	nan	nan	nan	nan	nan	nan	1.000e+00	9.655e-02	1.000e+00	9.655e-02
1	2	nan	nan	nan	nan	nan	nan	1.000e+00	1.584e-01	1.000e+00	1.584e-01
1	3	nan	nan	nan	nan	6.500e-01	7.191e-02	9.600e-01	9.820e-02	1.000e+00	2.051e-01
1	4	nan	nan	nan	nan	6.500e-01	8.120e-02	6.500e-01	8.120e-02	9.800e-01	1.330e-01
1	5	nan	nan	nan	nan	6.500e-01	1.682e-01	1.000e+00	1.626e-01	1.000e+00	1.626e-01
1	6	nan	nan	nan	nan	6.500e-01	1.339e-01	1.000e+00	1.159e-01	1.000e+00	1.159e-01
1	7	nan	nan	6.500e-01	8.716e-02	6.600e-01	1.699e-01	7.700e-01	1.589e-01	9.900e-01	2.009e-01
1	8	nan	nan	6.500e-01	9.135e-02	6.500e-01	9.135e-02	1.000e+00	1.625e-01	1.000e+00	1.625e-01
1	9	4.000e-01	2.509e-01	6.500e-01	2.507e-01	6.800e-01	2.434e-01	1.000e+00	2.113e-01	1.000e+00	2.113e-01
2	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	2	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	2.223e-01
2	3	nan	nan	nan	nan	nan	nan	1.000e+00	2.422e-01	1.000e+00	2.422e-01
2	4	nan	nan	nan	nan	nan	nan	1.000e+00	2.928e-01	1.000e+00	2.928e-01
2	5	nan	nan	nan	nan	nan	nan	1.000e+00	2.361e-01	1.000e+00	2.361e-01
2	6	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	1.584e-01
2	7	nan	nan	nan	nan	1.000e+00	1.855e-01	1.000e+00	1.855e-01	1.000e+00	1.855e-01
2	8	nan	nan	nan	nan	nan	nan	1.000e+00	2.891e-01	1.000e+00	2.891e-01
2	9	4.200e-01	2.191e-01	6.500e-01	1.901e-01	1.000e+00	3.794e-01	1.000e+00	3.794e-01	1.000e+00	3.794e-01
3	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	2	nan	nan	nan	nan	nan	nan	1.000e+00	3.436e-01	1.000e+00	3.436e-01
3	3	nan	nan	nan	nan	nan	nan	1.000e+00	2.603e-01	1.000e+00	2.603e-01
3	4	nan	nan	nan	nan	1.000e+00	3.801e-01	1.000e+00	3.801e-01	1.000e+00	3.801e-01
3	5	nan	nan	nan	nan	nan	nan	1.000e+00	2.463e-01	1.000e+00	2.463e-01
3	6	nan	nan	nan	nan	nan	nan	1.000e+00	3.681e-01	1.000e+00	3.681e-01
3	7	nan	nan	1.000e+00	4.208e-01	1.000e+00	4.208e-01	1.000e+00	4.208e-01	1.000e+00	4.208e-01
3	8	nan	nan	nan	nan	nan	nan	1.000e+00	3.523e-01	1.000e+00	3.523e-01
3	9	6.500e-01	2.934e-01	6.500e-01	2.934e-01	1.000e+00	3.724e-01	1.000e+00	3.724e-01	1.000e+00	3.724e-01
4	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	2	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	4.837e-01
4	3	nan	nan	nan	nan	nan	nan	1.000e+00	3.629e-01	1.000e+00	3.629e-01
4	4	nan	nan	nan	nan	nan	nan	1.000e+00	3.855e-01	1.000e+00	3.855e-01
4	5	nan	nan	nan	nan	nan	nan	1.000e+00	4.978e-01	1.000e+00	4.978e-01
4	6	nan	nan	nan	nan	nan	nan	1.000e+00	3.837e-01	1.000e+00	3.837e-01
4	7	nan	nan	1.000e+00	5.366e-01	1.000e+00	5.366e-01	1.000e+00	5.366e-01	1.000e+00	5.366e-01
4	8	nan	nan	nan	nan	nan	nan	1.000e+00	5.582e-01	1.000e+00	5.582e-01
4	9	5.000e-01	4.430e-01	6.500e-01	3.358e-01	1.000e+00	4.116e-01	1.000e+00	4.116e-01	1.000e+00	4.116e-01
5	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	2	nan	nan	nan	nan	nan	nan	1.000e+00	4.843e-01	1.000e+00	4.843e-01
5	3	nan	nan	nan	nan	nan	nan	1.000e+00	6.209e-01	1.000e+00	6.209e-01
5	4	nan	nan	nan	nan	nan	nan	1.000e+00	4.964e-01	1.000e+00	4.964e-01
5	5	nan	nan	nan	nan	nan	nan	1.000e+00	6.139e-01	1.000e+00	6.139e-01
5	6	nan	nan	nan	nan	nan	nan	1.000e+00	5.694e-01	1.000e+00	5.694e-01
5	7	nan	nan	nan	nan	1.000e+00	6.365e-01	1.000e+00	6.365e-01	1.000e+00	6.365e-01
5	8	nan	nan	nan	nan	nan	nan	1.000e+00	5.149e-01	1.000e+00	5.149e-01
5	9	6.500e-01	4.619e-01	1.000e+00	6.673e-01	1.000e+00	6.673e-01	1.000e+00	6.673e-01	1.000e+00	6.673e-01
6	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
6	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
6	2	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
6	3	nan	nan	nan	nan	nan	nan	1.000e+00	6.231e-01	1.000e+00	6.231e-01
6	4	nan	nan	nan	nan	nan	nan	1.000e+00	6.550e-01	1.000e+00	6.550e-01
6	5	nan	nan	nan	nan	1.000e+00	6.328e-01	1.000e+00	6.328e-01	1.000e+00	6.328e-01
6	6	nan	nan	nan	nan	1.000e+00	7.088e-01	1.000e+00	7.088e-01	1.000e+00	7.088e-01
6	7	nan	nan	nan	nan	1.000e+00	7.084e-01	1.000e+00	7.084e-01	1.000e+00	7.084e-01
6	8	nan	nan	nan	nan	1.000e+00	7.252e-01	1.000e+00	7.252e-01	1.000e+00	7.252e-01
6	9	nan	nan	1.000e+00	7.109e-01	1.000e+00	7.109e-01	1.000e+00	7.109e-01	1.000e+00	7.109e-01
7	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
7	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
7	2	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
7	3	nan	nan	nan	nan	1.000e+00	7.374e-01	1.000e+00	7.374e-01	1.000e+00	7.374e-01
7	4	nan	nan	nan	nan	nan	nan	1.000e+00	7.434e-01	1.000e+00	7.434e-01
7	5	nan	nan	nan	nan	1.000e+00	7.308e-01	1.000e+00	7.308e-01	1.000e+00	7.308e-01
7	6	nan	nan	nan	nan	1.000e+00	7.833e-01	1.000e+00	7.833e-01	1.000e+00	7.833e-01
7	7	nan	nan	nan	nan	1.000e+00	8.233e-01	1.000e+00	8.233e-01	1.000e+00	8.233e-01
