n.evals.q.1.0.	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.hebbian.layer.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.layer.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.layer.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.hebbian.neuron.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.neuron.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.neuron.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max
1.000e+02	2.517e-01	6.994e-02	4.999e-01	3.680e-01	8.880e-02	4.810e-01	4.143e-01	1.386e-01	7.141e-01	4.056e-01	2.945e-01	4.977e-01	5.000e-01	5.000e-01	5.000e-01
2.000e+02	2.517e-01	2.257e-02	4.999e-01	8.880e-02	4.852e-03	3.436e-01	4.473e-01	3.315e-01	8.070e-01	3.476e-01	2.699e-01	5.747e-01	5.000e-01	5.000e-01	5.000e-01
3.000e+02	2.517e-01	2.257e-02	4.999e-01	3.654e-02	-2.289e-02	2.209e-01	4.811e-01	3.974e-01	7.104e-01	4.019e-01	2.929e-01	5.747e-01	5.000e-01	5.000e-01	5.000e-01
4.000e+02	2.517e-01	2.257e-02	4.999e-01	3.761e-02	-2.289e-02	2.209e-01	4.804e-01	4.122e-01	6.949e-01	4.285e-01	2.698e-01	5.747e-01	5.000e-01	5.000e-01	5.000e-01
5.000e+02	2.501e-01	2.257e-02	4.999e-01	3.761e-02	-2.289e-02	2.209e-01	4.473e-01	3.611e-01	4.977e-01	4.350e-01	2.945e-01	5.402e-01	5.000e-01	5.000e-01	5.000e-01
6.000e+02	2.503e-01	2.257e-02	4.999e-01	3.761e-02	-2.289e-02	2.207e-01	4.473e-01	3.705e-01	4.977e-01	4.285e-01	2.698e-01	5.080e-01	5.000e-01	5.000e-01	5.000e-01
7.000e+02	2.503e-01	2.257e-02	4.999e-01	4.845e-02	-2.289e-02	2.207e-01	4.299e-01	3.611e-01	4.958e-01	4.285e-01	2.776e-01	5.415e-01	5.000e-01	5.000e-01	5.000e-01
8.000e+02	2.503e-01	2.257e-02	4.989e-01	4.845e-02	-2.289e-02	8.880e-02	4.473e-01	3.774e-01	4.971e-01	4.285e-01	2.776e-01	5.415e-01	5.000e-01	5.000e-01	5.000e-01
9.000e+02	2.503e-01	2.257e-02	4.989e-01	4.845e-02	1.196e-02	2.207e-01	4.473e-01	3.774e-01	4.971e-01	4.350e-01	2.776e-01	5.830e-01	5.000e-01	5.000e-01	5.000e-01
1.000e+03	2.503e-01	2.257e-02	4.989e-01	4.845e-02	2.188e-02	2.207e-01	4.419e-01	3.705e-01	4.971e-01	4.350e-01	2.776e-01	5.674e-01	5.000e-01	5.000e-01	5.000e-01
1.100e+03	2.503e-01	2.257e-02	4.989e-01	4.845e-02	2.188e-02	2.207e-01	4.445e-01	3.774e-01	4.971e-01	4.400e-01	2.380e-01	5.801e-01	5.000e-01	5.000e-01	5.000e-01
1.200e+03	2.503e-01	2.257e-02	4.989e-01	4.845e-02	2.188e-02	2.207e-01	4.445e-01	3.774e-01	4.971e-01	4.406e-01	2.698e-01	5.801e-01	5.000e-01	5.000e-01	5.000e-01
1.300e+03	2.503e-01	2.257e-02	4.989e-01	4.845e-02	2.188e-02	2.207e-01	4.445e-01	3.774e-01	4.971e-01	4.497e-01	3.686e-01	6.122e-01	5.000e-01	5.000e-01	5.000e-01
1.400e+03	2.503e-01	2.257e-02	4.989e-01	4.845e-02	2.188e-02	2.207e-01	4.445e-01	3.774e-01	4.971e-01	4.715e-01	3.782e-01	6.256e-01	5.000e-01	5.000e-01	5.000e-01
1.500e+03	2.501e-01	2.257e-02	4.989e-01	6.347e-02	2.916e-02	2.384e-01	4.445e-01	3.774e-01	4.971e-01	4.754e-01	3.686e-01	6.185e-01	5.000e-01	5.000e-01	5.000e-01
1.600e+03	2.501e-01	2.257e-02	4.989e-01	6.347e-02	2.916e-02	2.384e-01	4.445e-01	3.774e-01	4.971e-01	4.754e-01	3.782e-01	6.122e-01	5.000e-01	5.000e-01	5.000e-01
1.700e+03	2.501e-01	2.257e-02	4.989e-01	8.152e-02	3.105e-02	2.384e-01	4.445e-01	3.705e-01	4.971e-01	4.594e-01	3.782e-01	6.256e-01	5.000e-01	5.000e-01	5.000e-01
1.800e+03	2.501e-01	2.257e-02	4.989e-01	8.152e-02	3.105e-02	2.384e-01	4.445e-01	3.611e-01	4.971e-01	4.497e-01	3.686e-01	5.821e-01	5.000e-01	5.000e-01	5.000e-01
1.900e+03	2.501e-01	2.257e-02	4.989e-01	8.152e-02	3.105e-02	2.384e-01	4.419e-01	3.593e-01	4.958e-01	4.406e-01	3.673e-01	5.821e-01	5.000e-01	5.000e-01	5.000e-01
2.000e+03	2.501e-01	2.257e-02	4.989e-01	8.152e-02	3.105e-02	2.384e-01	4.419e-01	3.593e-01	4.958e-01	4.406e-01	3.310e-01	5.821e-01	5.000e-01	5.000e-01	5.000e-01
2.100e+03	2.501e-01	2.257e-02	4.989e-01	8.152e-02	3.105e-02	2.384e-01	4.419e-01	3.593e-01	4.958e-01	4.497e-01	3.673e-01	5.821e-01	5.000e-01	5.000e-01	5.000e-01
2.200e+03	2.503e-01	2.257e-02	4.989e-01	8.152e-02	3.105e-02	2.393e-01	4.419e-01	3.593e-01	4.958e-01	4.406e-01	3.461e-01	5.801e-01	5.000e-01	5.000e-01	5.000e-01
2.300e+03	2.503e-01	2.257e-02	4.989e-01	8.152e-02	3.105e-02	2.393e-01	4.419e-01	3.593e-01	4.958e-01	4.406e-01	3.461e-01	5.801e-01	5.000e-01	5.000e-01	5.000e-01
2.400e+03	2.503e-01	2.257e-02	4.989e-01	8.152e-02	3.105e-02	2.417e-01	4.419e-01	3.593e-01	4.958e-01	4.406e-01	3.301e-01	5.674e-01	5.000e-01	5.000e-01	5.000e-01
