n.evals.q.1.0.	xor._.me.hebbian.network.best.quality.inconsistency	xor._.me.hebbian.network.best.quality.inconsistency.min	xor._.me.hebbian.network.best.quality.inconsistency.max	xor._.me.hebbian.layer.best.quality.inconsistency	xor._.me.hebbian.layer.best.quality.inconsistency.min	xor._.me.hebbian.layer.best.quality.inconsistency.max	xor._.me.hebbian.neuron.best.quality.inconsistency	xor._.me.hebbian.neuron.best.quality.inconsistency.min	xor._.me.hebbian.neuron.best.quality.inconsistency.max	xor._.me.hebbian.synapse.best.quality.inconsistency	xor._.me.hebbian.synapse.best.quality.inconsistency.min	xor._.me.hebbian.synapse.best.quality.inconsistency.max	xor._.me.freeForm.best.quality.inconsistency	xor._.me.freeForm.best.quality.inconsistency.min	xor._.me.freeForm.best.quality.inconsistency.max
1.000e+02	7.283e-01	5.173e-01	8.930e-01	8.199e-01	5.834e-01	8.539e-01	2.996e-01	1.424e-01	5.933e-01	6.576e-01	4.278e-01	7.267e-01	8.930e-01	8.594e-01	8.930e-01
2.000e+02	6.879e-01	4.612e-01	8.930e-01	6.030e-01	4.780e-01	7.618e-01	2.233e-01	1.075e-01	2.771e-01	4.710e-01	3.338e-01	7.228e-01	8.660e-01	8.210e-01	8.930e-01
3.000e+02	6.879e-01	4.612e-01	8.930e-01	5.823e-01	4.780e-01	6.125e-01	2.262e-01	1.829e-01	2.771e-01	4.191e-01	3.062e-01	6.932e-01	8.471e-01	7.931e-01	8.660e-01
4.000e+02	6.372e-01	4.318e-01	8.930e-01	5.780e-01	4.683e-01	6.125e-01	2.299e-01	2.055e-01	3.072e-01	3.872e-01	2.273e-01	6.506e-01	8.278e-01	7.829e-01	8.660e-01
5.000e+02	5.764e-01	4.317e-01	8.930e-01	5.780e-01	4.683e-01	6.125e-01	2.313e-01	2.055e-01	3.072e-01	3.872e-01	2.273e-01	6.506e-01	8.204e-01	7.599e-01	8.557e-01
6.000e+02	5.764e-01	4.313e-01	8.930e-01	5.286e-01	4.415e-01	6.091e-01	2.313e-01	2.055e-01	2.767e-01	3.988e-01	2.273e-01	6.292e-01	8.023e-01	7.489e-01	8.278e-01
7.000e+02	5.764e-01	4.313e-01	8.930e-01	5.250e-01	4.401e-01	6.091e-01	2.377e-01	2.068e-01	2.834e-01	3.587e-01	2.238e-01	4.446e-01	7.931e-01	7.457e-01	8.231e-01
8.000e+02	5.623e-01	4.309e-01	8.921e-01	5.022e-01	4.178e-01	6.030e-01	2.377e-01	2.068e-01	2.834e-01	3.760e-01	2.238e-01	4.326e-01	7.599e-01	6.684e-01	8.139e-01
9.000e+02	5.623e-01	4.309e-01	8.921e-01	4.997e-01	4.178e-01	6.001e-01	2.377e-01	2.068e-01	2.834e-01	3.744e-01	2.238e-01	4.273e-01	7.599e-01	6.437e-01	8.047e-01
1.000e+03	5.623e-01	4.309e-01	8.921e-01	4.997e-01	3.914e-01	6.001e-01	2.377e-01	2.068e-01	2.834e-01	3.587e-01	2.223e-01	4.273e-01	7.479e-01	6.376e-01	8.047e-01
1.100e+03	5.623e-01	4.309e-01	8.921e-01	4.997e-01	3.914e-01	6.001e-01	2.408e-01	2.147e-01	2.849e-01	2.785e-01	2.189e-01	4.054e-01	7.420e-01	6.294e-01	7.787e-01
1.200e+03	5.623e-01	4.309e-01	8.921e-01	4.997e-01	3.914e-01	6.001e-01	2.408e-01	2.147e-01	2.849e-01	3.343e-01	2.268e-01	4.054e-01	7.145e-01	6.294e-01	7.787e-01
