x	y	progress.rate.q.0.05.0.00.quality.maturePerformance	progress.rate.q.0.05.0.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.10.quality.maturePerformance	progress.rate.q.0.05.0.10.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.25.quality.maturePerformance	progress.rate.q.0.05.0.25.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.50.quality.maturePerformance	progress.rate.q.0.05.0.50.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.1.00.quality.maturePerformance	progress.rate.q.0.05.1.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.
0	0	nan	nan	1.000e+00	5.253e-02	1.000e+00	5.253e-02	1.000e+00	5.253e-02	1.000e+00	5.253e-02
0	1	nan	nan	1.000e+00	1.014e-01	1.000e+00	1.014e-01	1.000e+00	1.014e-01	1.000e+00	1.014e-01
0	2	nan	nan	9.900e-01	7.096e-02	1.000e+00	8.678e-02	1.000e+00	8.678e-02	1.000e+00	8.678e-02
0	3	nan	nan	1.000e+00	1.007e-01	1.000e+00	1.007e-01	1.000e+00	1.007e-01	1.000e+00	1.007e-01
0	4	nan	nan	5.800e-01	7.738e-02	1.000e+00	8.814e-02	1.000e+00	8.814e-02	1.000e+00	8.814e-02
0	5	nan	nan	5.200e-01	1.348e-01	5.200e-01	1.348e-01	1.000e+00	1.144e-01	1.000e+00	1.144e-01
0	6	nan	nan	4.500e-01	6.812e-02	8.600e-01	1.175e-01	1.000e+00	1.102e-01	1.000e+00	1.102e-01
0	7	nan	nan	5.000e-01	4.253e-02	5.000e-01	4.253e-02	8.500e-01	1.455e-01	9.400e-01	1.022e-01
0	8	nan	nan	4.500e-01	9.506e-03	5.000e-01	7.568e-02	5.000e-01	7.568e-02	8.500e-01	1.447e-01
0	9	5.000e-02	-3.414e-02	5.400e-01	2.115e-01	5.400e-01	2.115e-01	5.400e-01	2.115e-01	5.700e-01	1.152e-01
1	0	nan	nan	nan	nan	1.000e+00	1.180e-01	1.000e+00	1.180e-01	1.000e+00	1.180e-01
