x	y	progress.rate.q.0.05.0.00.quality.maturePerformance	progress.rate.q.0.05.0.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.10.quality.maturePerformance	progress.rate.q.0.05.0.10.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.25.quality.maturePerformance	progress.rate.q.0.05.0.25.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.50.quality.maturePerformance	progress.rate.q.0.05.0.50.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.1.00.quality.maturePerformance	progress.rate.q.0.05.1.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.
0	0	nan	nan	nan	nan	nan	nan	nan	nan	1.000e-01	2.301e-03
0	1	nan	nan	nan	nan	1.000e-01	2.558e-03	9.800e-01	7.304e-02	9.800e-01	7.304e-02
0	2	nan	nan	-3.300e-01	-1.852e-02	1.000e-01	4.943e-03	6.200e-01	2.430e-02	9.700e-01	1.105e-01
0	3	nan	nan	-1.500e-01	1.730e-02	3.300e-01	1.287e-02	6.300e-01	1.763e-02	9.400e-01	7.088e-02
0	4	nan	nan	1.500e-01	-4.213e-05	6.500e-01	5.342e-02	6.500e-01	5.342e-02	6.500e-01	5.342e-02
0	5	-3.100e-01	2.586e-03	4.600e-01	1.037e-01	6.500e-01	6.114e-02	6.500e-01	6.114e-02	6.500e-01	6.114e-02
0	6	nan	nan	4.400e-01	7.310e-02	4.400e-01	7.310e-02	6.400e-01	4.417e-02	6.500e-01	5.046e-02
0	7	nan	nan	-5.000e-02	6.022e-03	2.500e-01	5.657e-02	6.500e-01	4.171e-02	6.500e-01	4.171e-02
0	8	nan	nan	4.000e-01	1.323e-01	4.500e-01	5.605e-02	6.500e-01	5.588e-02	6.500e-01	5.588e-02
0	9	1.500e-01	4.269e-04	6.500e-01	1.424e-02	6.500e-01	1.424e-02	6.500e-01	1.424e-02	6.500e-01	1.424e-02
1	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	1	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	1.299e-01
1	2	nan	nan	nan	nan	nan	nan	1.000e+00	1.835e-01	1.000e+00	1.835e-01
1	3	nan	nan	nan	nan	nan	nan	9.900e-01	1.105e-01	1.000e+00	1.279e-01
1	4	nan	nan	nan	nan	9.000e-01	1.477e-01	9.000e-01	1.477e-01	1.000e+00	2.344e-01
1	5	nan	nan	nan	nan	1.000e+00	1.498e-01	1.000e+00	1.498e-01	1.000e+00	1.498e-01
1	6	nan	nan	4.300e-01	1.064e-01	6.500e-01	1.021e-01	1.000e+00	1.997e-01	1.000e+00	1.997e-01
1	7	nan	nan	nan	nan	5.900e-01	1.073e-01	5.900e-01	1.073e-01	1.000e+00	1.676e-01
1	8	nan	nan	nan	nan	6.400e-01	1.013e-01	1.000e+00	2.001e-01	1.000e+00	2.001e-01
1	9	1.500e-01	-4.303e-07	6.500e-01	5.498e-02	6.500e-01	5.498e-02	7.900e-01	2.290e-01	9.400e-01	2.372e-01
2	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	1	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	2.128e-01
2	2	nan	nan	nan	nan	nan	nan	1.000e+00	2.020e-01	1.000e+00	2.020e-01
2	3	nan	nan	nan	nan	nan	nan	1.000e+00	3.163e-01	1.000e+00	3.163e-01
2	4	nan	nan	nan	nan	nan	nan	1.000e+00	2.473e-01	1.000e+00	2.473e-01
2	5	nan	nan	nan	nan	nan	nan	1.000e+00	2.238e-01	1.000e+00	2.238e-01
2	6	nan	nan	nan	nan	1.000e+00	2.645e-01	1.000e+00	2.645e-01	1.000e+00	2.645e-01
2	7	nan	nan	8.900e-01	2.607e-01	8.900e-01	2.607e-01	1.000e+00	3.535e-01	1.000e+00	3.535e-01
2	8	nan	nan	nan	nan	6.800e-01	2.145e-01	1.000e+00	2.192e-01	1.000e+00	2.192e-01
2	9	5.000e-01	2.747e-01	6.500e-01	2.760e-01	1.000e+00	2.712e-01	1.000e+00	2.712e-01	1.000e+00	2.712e-01
3	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	1	nan	nan	nan	nan	1.000e+00	3.027e-01	1.000e+00	3.027e-01	1.000e+00	3.027e-01
3	2	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	3.007e-01
3	3	nan	nan	nan	nan	nan	nan	1.000e+00	3.769e-01	1.000e+00	3.769e-01
3	4	nan	nan	nan	nan	1.000e+00	3.292e-01	1.000e+00	3.292e-01	1.000e+00	3.292e-01
3	5	nan	nan	nan	nan	1.000e+00	4.586e-01	1.000e+00	4.586e-01	1.000e+00	4.586e-01
3	6	nan	nan	1.000e+00	3.337e-01	1.000e+00	3.337e-01	1.000e+00	3.337e-01	1.000e+00	3.337e-01
3	7	nan	nan	nan	nan	1.000e+00	3.541e-01	1.000e+00	3.541e-01	1.000e+00	3.541e-01
3	8	nan	nan	nan	nan	1.000e+00	2.865e-01	1.000e+00	2.865e-01	1.000e+00	2.865e-01
3	9	5.600e-01	2.741e-01	1.000e+00	4.755e-01	1.000e+00	4.755e-01	1.000e+00	4.755e-01	1.000e+00	4.755e-01
4	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	2	nan	nan	nan	nan	nan	nan	1.000e+00	4.157e-01	1.000e+00	4.157e-01
4	3	nan	nan	nan	nan	nan	nan	1.000e+00	4.970e-01	1.000e+00	4.970e-01
4	4	nan	nan	1.000e+00	4.130e-01	1.000e+00	4.130e-01	1.000e+00	4.130e-01	1.000e+00	4.130e-01
4	5	nan	nan	nan	nan	nan	nan	1.000e+00	4.499e-01	1.000e+00	4.499e-01
4	6	nan	nan	nan	nan	1.000e+00	5.068e-01	1.000e+00	5.068e-01	1.000e+00	5.068e-01
4	7	nan	nan	1.000e+00	4.714e-01	1.000e+00	4.714e-01	1.000e+00	4.714e-01	1.000e+00	4.714e-01
4	8	nan	nan	nan	nan	nan	nan	1.000e+00	4.673e-01	1.000e+00	4.673e-01
4	9	6.500e-01	4.317e-01	1.000e+00	4.715e-01	1.000e+00	4.715e-01	1.000e+00	4.715e-01	1.000e+00	4.715e-01
5	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	1	nan	nan	nan	nan	nan	nan	1.000e+00	5.936e-01	1.000e+00	5.936e-01
5	2	nan	nan	nan	nan	nan	nan	1.000e+00	5.426e-01	1.000e+00	5.426e-01
5	3	nan	nan	nan	nan	nan	nan	1.000e+00	5.756e-01	1.000e+00	5.756e-01
5	4	nan	nan	nan	nan	1.000e+00	6.213e-01	1.000e+00	6.213e-01	1.000e+00	6.213e-01
5	5	nan	nan	nan	nan	1.000e+00	5.406e-01	1.000e+00	5.406e-01	1.000e+00	5.406e-01
5	6	nan	nan	nan	nan	1.000e+00	5.440e-01	1.000e+00	5.440e-01	1.000e+00	5.440e-01
5	7	nan	nan	nan	nan	1.000e+00	6.103e-01	1.000e+00	6.103e-01	1.000e+00	6.103e-01
5	8	nan	nan	nan	nan	1.000e+00	5.822e-01	1.000e+00	5.822e-01	1.000e+00	5.822e-01
5	9	6.200e-01	4.403e-01	1.000e+00	5.830e-01	1.000e+00	5.830e-01	1.000e+00	5.830e-01	1.000e+00	5.830e-01
6	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
6	1	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	6.772e-01
6	2	nan	nan	nan	nan	1.000e+00	6.549e-01	1.000e+00	6.549e-01	1.000e+00	6.549e-01
6	3	nan	nan	nan	nan	1.000e+00	6.553e-01	1.000e+00	6.553e-01	1.000e+00	6.553e-01
6	4	nan	nan	nan	nan	nan	nan	1.000e+00	6.743e-01	1.000e+00	6.743e-01
6	5	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	6.516e-01
6	6	nan	nan	1.000e+00	6.827e-01	1.000e+00	6.827e-01	1.000e+00	6.827e-01	1.000e+00	6.827e-01
6	7	nan	nan	1.000e+00	6.613e-01	1.000e+00	6.613e-01	1.000e+00	6.613e-01	1.000e+00	6.613e-01
6	8	nan	nan	1.000e+00	6.417e-01	1.000e+00	6.417e-01	1.000e+00	6.417e-01	1.000e+00	6.417e-01
6	9	6.500e-01	4.898e-01	1.000e+00	6.138e-01	1.000e+00	6.138e-01	1.000e+00	6.138e-01	1.000e+00	6.138e-01
7	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
7	1	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	7.337e-01
7	2	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	7.750e-01
7	3	nan	nan	1.000e+00	7.869e-01	1.000e+00	7.869e-01	1.000e+00	7.869e-01	1.000e+00	7.869e-01
7	4	nan	nan	nan	nan	1.000e+00	7.835e-01	1.000e+00	7.835e-01	1.000e+00	7.835e-01
7	5	nan	nan	nan	nan	1.000e+00	7.608e-01	1.000e+00	7.608e-01	1.000e+00	7.608e-01
7	6	nan	nan	1.000e+00	7.725e-01	1.000e+00	7.725e-01	1.000e+00	7.725e-01	1.000e+00	7.725e-01
7	7	nan	nan	nan	nan	1.000e+00	7.068e-01	1.000e+00	7.068e-01	1.000e+00	7.068e-01
7	8	nan	nan	1.000e+00	8.002e-01	1.000e+00	8.002e-01	1.000e+00	8.002e-01	1.000e+00	8.002e-01
7	9	nan	nan	1.000e+00	7.407e-01	1.000e+00	7.407e-01	1.000e+00	7.407e-01	1.000e+00	7.407e-01
8	0	nan	nan	nan	nan	1.000e+00	9.084e-01	1.000e+00	9.084e-01	1.000e+00	9.084e-01
8	1	nan	nan	nan	nan	1.000e+00	8.842e-01	1.000e+00	8.842e-01	1.000e+00	8.842e-01
8	2	nan	nan	nan	nan	1.000e+00	8.815e-01	1.000e+00	8.815e-01	1.000e+00	8.815e-01
8	3	nan	nan	1.000e+00	8.181e-01	1.000e+00	8.181e-01	1.000e+00	8.181e-01	1.000e+00	8.181e-01
8	4	nan	nan	1.000e+00	8.831e-01	1.000e+00	8.831e-01	1.000e+00	8.831e-01	1.000e+00	8.831e-01
8	5	nan	nan	1.000e+00	8.978e-01	1.000e+00	8.978e-01	1.000e+00	8.978e-01	1.000e+00	8.978e-01
8	6	nan	nan	1.000e+00	8.641e-01	1.000e+00	8.641e-01	1.000e+00	8.641e-01	1.000e+00	8.641e-01
8	7	nan	nan	1.000e+00	8.653e-01	1.000e+00	8.653e-01	1.000e+00	8.653e-01	1.000e+00	8.653e-01
8	8	nan	nan	1.000e+00	9.004e-01	1.000e+00	9.004e-01	1.000e+00	9.004e-01	1.000e+00	9.004e-01
8	9	nan	nan	1.000e+00	8.837e-01	1.000e+00	8.837e-01	1.000e+00	8.837e-01	1.000e+00	8.837e-01
9	0	nan	nan	1.000e+00	9.999e-01	1.000e+00	9.999e-01	1.000e+00	9.999e-01	1.000e+00	9.999e-01
9	1	nan	nan	1.000e+00	9.846e-01	1.000e+00	9.846e-01	1.000e+00	9.846e-01	1.000e+00	9.846e-01
9	2	nan	nan	1.000e+00	9.707e-01	1.000e+00	9.707e-01	1.000e+00	9.707e-01	1.000e+00	9.707e-01
9	3	nan	nan	1.000e+00	9.604e-01	1.000e+00	9.604e-01	1.000e+00	9.604e-01	1.000e+00	9.604e-01
9	4	nan	nan	1.000e+00	9.944e-01	1.000e+00	9.944e-01	1.000e+00	9.944e-01	1.000e+00	9.944e-01
9	5	nan	nan	1.000e+00	9.369e-01	1.000e+00	9.369e-01	1.000e+00	9.369e-01	1.000e+00	9.369e-01
9	6	nan	nan	1.000e+00	9.770e-01	1.000e+00	9.770e-01	1.000e+00	9.770e-01	1.000e+00	9.770e-01
9	7	nan	nan	1.000e+00	9.082e-01	1.000e+00	9.082e-01	1.000e+00	9.082e-01	1.000e+00	9.082e-01
9	8	nan	nan	1.000e+00	9.393e-01	1.000e+00	9.393e-01	1.000e+00	9.393e-01	1.000e+00	9.393e-01
9	9	nan	nan	1.000e+00	9.471e-01	1.000e+00	9.471e-01	1.000e+00	9.471e-01	1.000e+00	9.471e-01
