n.evals.q.1.0.	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.hebbian.layer.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.layer.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.layer.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.hebbian.neuron.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.neuron.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.neuron.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max
1.000e+02	2.518e-01	8.987e-02	5.000e-01	4.514e-01	2.025e-01	4.894e-01	4.146e-01	1.820e-01	7.131e-01	3.912e-01	2.718e-01	4.976e-01	5.000e-01	5.000e-01	5.000e-01
2.000e+02	2.362e-01	7.057e-02	5.000e-01	8.411e-02	2.702e-02	3.048e-01	4.801e-01	3.709e-01	8.942e-01	3.391e-01	2.716e-01	5.897e-01	5.000e-01	5.000e-01	1.000e+00
3.000e+02	2.362e-01	7.057e-02	5.000e-01	6.715e-02	1.199e-02	2.399e-01	4.934e-01	4.269e-01	7.131e-01	5.079e-01	3.003e-01	5.892e-01	5.000e-01	5.000e-01	1.000e+00
4.000e+02	2.362e-01	7.057e-02	5.000e-01	6.715e-02	1.199e-02	2.399e-01	4.877e-01	4.269e-01	6.923e-01	5.424e-01	3.034e-01	5.897e-01	1.000e+00	5.000e-01	1.000e+00
5.000e+02	2.488e-01	7.057e-02	5.000e-01	6.715e-02	1.199e-02	2.399e-01	4.801e-01	4.001e-01	5.194e-01	5.615e-01	3.298e-01	6.457e-01	1.000e+00	1.000e+00	1.000e+00
6.000e+02	2.488e-01	7.057e-02	5.000e-01	6.605e-02	1.199e-02	1.234e-01	4.805e-01	3.993e-01	5.155e-01	5.710e-01	3.034e-01	6.649e-01	1.000e+00	1.000e+00	1.000e+00
7.000e+02	2.488e-01	7.057e-02	5.000e-01	6.715e-02	1.199e-02	1.399e-01	4.805e-01	3.993e-01	5.155e-01	5.479e-01	3.298e-01	6.271e-01	1.000e+00	1.000e+00	1.000e+00
8.000e+02	2.488e-01	7.057e-02	4.989e-01	6.715e-02	1.199e-02	1.234e-01	4.801e-01	3.987e-01	5.082e-01	5.479e-01	3.345e-01	6.271e-01	1.000e+00	1.000e+00	1.000e+00
9.000e+02	2.488e-01	7.057e-02	4.989e-01	6.715e-02	1.199e-02	2.025e-01	4.669e-01	3.771e-01	4.957e-01	4.896e-01	3.466e-01	6.075e-01	1.000e+00	1.000e+00	1.000e+00
1.000e+03	2.488e-01	7.057e-02	4.989e-01	8.120e-02	1.199e-02	2.272e-01	4.502e-01	3.709e-01	4.934e-01	4.878e-01	3.466e-01	6.075e-01	1.000e+00	1.000e+00	1.000e+00
1.100e+03	2.488e-01	7.057e-02	4.989e-01	6.715e-02	1.199e-02	2.025e-01	4.502e-01	3.709e-01	4.934e-01	4.878e-01	3.466e-01	5.855e-01	1.000e+00	1.000e+00	1.000e+00
1.200e+03	2.488e-01	7.057e-02	4.989e-01	8.120e-02	1.199e-02	2.025e-01	4.460e-01	3.709e-01	4.877e-01	4.833e-01	3.751e-01	6.121e-01	1.000e+00	1.000e+00	1.000e+00
1.300e+03	2.488e-01	7.057e-02	4.989e-01	8.321e-02	1.199e-02	2.272e-01	4.460e-01	3.709e-01	4.877e-01	4.553e-01	3.751e-01	5.855e-01	1.000e+00	1.000e+00	1.000e+00
1.400e+03	2.488e-01	7.057e-02	4.989e-01	8.321e-02	1.199e-02	2.272e-01	4.460e-01	3.709e-01	4.877e-01	4.833e-01	3.591e-01	6.215e-01	1.000e+00	1.000e+00	1.000e+00
1.500e+03	2.488e-01	7.057e-02	4.989e-01	8.321e-02	2.702e-02	2.025e-01	4.460e-01	3.709e-01	4.877e-01	4.896e-01	3.751e-01	6.291e-01	1.000e+00	1.000e+00	1.000e+00
1.600e+03	2.488e-01	7.057e-02	4.989e-01	8.321e-02	2.702e-02	2.025e-01	4.460e-01	3.709e-01	4.877e-01	4.445e-01	3.466e-01	6.121e-01	1.000e+00	1.000e+00	1.000e+00
1.700e+03	2.488e-01	7.057e-02	4.989e-01	8.321e-02	2.702e-02	2.025e-01	4.460e-01	3.709e-01	4.877e-01	4.833e-01	3.466e-01	6.121e-01	1.000e+00	1.000e+00	1.000e+00
