n.evals.q.1.0.	xor._.me.hebbian.network.best.quality.increase	xor._.me.hebbian.network.best.quality.increase.min	xor._.me.hebbian.network.best.quality.increase.max	xor._.me.hebbian.layer.best.quality.increase	xor._.me.hebbian.layer.best.quality.increase.min	xor._.me.hebbian.layer.best.quality.increase.max	xor._.me.hebbian.neuron.best.quality.increase	xor._.me.hebbian.neuron.best.quality.increase.min	xor._.me.hebbian.neuron.best.quality.increase.max	xor._.me.hebbian.synapse.best.quality.increase	xor._.me.hebbian.synapse.best.quality.increase.min	xor._.me.hebbian.synapse.best.quality.increase.max	xor._.me.freeForm.best.quality.increase	xor._.me.freeForm.best.quality.increase.min	xor._.me.freeForm.best.quality.increase.max
1.000e+02	2.392e-01	6.541e-02	4.582e-01	4.535e-01	1.738e-01	4.845e-01	3.787e-01	1.849e-01	6.829e-01	4.715e-01	3.398e-01	6.065e-01	1.251e-01	2.496e-02	2.248e-01
2.000e+02	1.993e-01	6.512e-02	4.574e-01	8.436e-02	3.047e-02	3.203e-01	4.645e-01	3.353e-01	8.475e-01	4.081e-01	2.751e-01	5.909e-01	7.512e-02	2.507e-02	2.248e-01
3.000e+02	1.993e-01	6.512e-02	4.574e-01	6.783e-02	8.973e-03	2.184e-01	4.762e-01	4.072e-01	7.048e-01	4.786e-01	3.398e-01	5.436e-01	4.189e-02	2.479e-02	1.750e-01
4.000e+02	1.993e-01	6.512e-02	4.574e-01	6.783e-02	8.973e-03	2.184e-01	4.762e-01	4.072e-01	6.638e-01	4.994e-01	3.547e-01	5.709e-01	7.512e-02	2.496e-02	2.754e-01
5.000e+02	2.366e-01	6.512e-02	4.574e-01	6.783e-02	8.973e-03	2.184e-01	4.546e-01	3.981e-01	4.836e-01	4.994e-01	3.789e-01	5.823e-01	3.202e-02	2.495e-02	1.391e-01
6.000e+02	2.366e-01	6.512e-02	4.574e-01	6.599e-02	8.973e-03	9.771e-02	4.582e-01	3.981e-01	4.823e-01	4.987e-01	3.547e-01	6.315e-01	2.926e-02	2.495e-02	1.254e-01
7.000e+02	2.366e-01	6.512e-02	4.574e-01	6.783e-02	1.287e-02	1.738e-01	4.582e-01	3.981e-01	4.823e-01	4.934e-01	3.727e-01	5.709e-01	2.926e-02	2.495e-02	1.119e-01
8.000e+02	2.366e-01	6.512e-02	4.560e-01	6.783e-02	1.287e-02	9.771e-02	4.546e-01	3.850e-01	4.821e-01	4.871e-01	3.472e-01	5.709e-01	3.202e-02	2.495e-02	1.119e-01
9.000e+02	2.366e-01	6.512e-02	4.560e-01	6.783e-02	1.287e-02	1.738e-01	4.532e-01	3.639e-01	4.762e-01	4.871e-01	3.597e-01	5.699e-01	2.540e-02	2.493e-02	1.119e-01
1.000e+03	2.366e-01	6.512e-02	4.560e-01	7.526e-02	1.287e-02	2.184e-01	4.409e-01	3.580e-01	4.709e-01	4.786e-01	3.597e-01	5.500e-01	2.540e-02	2.494e-02	9.554e-02
1.100e+03	2.366e-01	6.512e-02	4.560e-01	7.067e-02	1.287e-02	1.792e-01	4.409e-01	3.580e-01	4.709e-01	4.786e-01	3.597e-01	5.500e-01	2.533e-02	2.493e-02	7.455e-02
1.200e+03	2.366e-01	6.512e-02	4.560e-01	7.067e-02	1.287e-02	1.792e-01	4.355e-01	3.580e-01	4.643e-01	4.662e-01	3.597e-01	5.709e-01	2.540e-02	2.494e-02	7.512e-02
1.300e+03	2.366e-01	6.512e-02	4.560e-01	7.067e-02	1.287e-02	2.184e-01	4.355e-01	3.580e-01	4.643e-01	4.617e-01	3.472e-01	5.484e-01	2.533e-02	2.493e-02	7.512e-02
1.400e+03	2.337e-01	6.512e-02	4.560e-01	7.067e-02	1.287e-02	2.184e-01	4.355e-01	3.580e-01	4.643e-01	4.617e-01	3.254e-01	5.998e-01	2.533e-02	2.493e-02	7.512e-02
1.500e+03	2.337e-01	6.512e-02	4.560e-01	7.067e-02	3.047e-02	1.792e-01	4.355e-01	3.580e-01	4.643e-01	4.617e-01	3.472e-01	6.084e-01	2.517e-02	2.493e-02	7.455e-02
1.600e+03	2.337e-01	6.512e-02	4.560e-01	7.067e-02	3.047e-02	1.792e-01	4.355e-01	3.580e-01	4.643e-01	4.171e-01	3.218e-01	5.697e-01	2.517e-02	2.493e-02	7.455e-02
1.700e+03	2.337e-01	6.512e-02	4.560e-01	7.067e-02	3.047e-02	1.792e-01	4.355e-01	3.580e-01	4.643e-01	4.429e-01	3.218e-01	5.697e-01	2.517e-02	2.493e-02	7.455e-02
1.800e+03	2.337e-01	6.512e-02	4.560e-01	7.067e-02	3.047e-02	1.977e-01	4.355e-01	3.580e-01	4.643e-01	4.429e-01	3.218e-01	5.683e-01	2.517e-02	2.493e-02	7.455e-02
1.900e+03	2.337e-01	6.512e-02	4.560e-01	8.145e-02	3.047e-02	1.977e-01	4.355e-01	3.580e-01	4.643e-01	4.443e-01	3.472e-01	5.683e-01	2.512e-02	2.493e-02	4.405e-02
2.000e+03	2.337e-01	6.512e-02	4.170e-01	8.145e-02	3.047e-02	1.977e-01	4.355e-01	3.353e-01	4.643e-01	4.443e-01	3.472e-01	5.505e-01	2.512e-02	2.493e-02	4.405e-02
2.100e+03	2.337e-01	6.512e-02	4.170e-01	8.145e-02	3.047e-02	1.977e-01	4.355e-01	3.353e-01	4.643e-01	4.443e-01	3.472e-01	5.505e-01	2.512e-02	2.493e-02	4.405e-02
2.200e+03	2.360e-01	6.512e-02	4.170e-01	8.145e-02	3.047e-02	1.977e-01	4.355e-01	3.353e-01	4.643e-01	4.443e-01	3.218e-01	5.484e-01	2.512e-02	2.493e-02	4.405e-02
2.300e+03	2.360e-01	6.512e-02	4.170e-01	8.145e-02	3.047e-02	1.977e-01	4.355e-01	3.353e-01	4.643e-01	4.443e-01	3.218e-01	5.484e-01	2.517e-02	2.493e-02	4.495e-02
2.400e+03	2.360e-01	6.512e-02	4.170e-01	8.145e-02	3.047e-02	2.358e-01	4.355e-01	3.353e-01	4.643e-01	4.429e-01	3.218e-01	5.505e-01	2.517e-02	2.493e-02	7.455e-02
2.500e+03	2.360e-01	6.512e-02	4.170e-01	8.145e-02	3.047e-02	2.358e-01	4.355e-01	3.353e-01	4.643e-01	4.429e-01	3.218e-01	5.633e-01	2.517e-02	2.493e-02	7.455e-02
2.600e+03	2.360e-01	6.512e-02	4.170e-01	8.145e-02	3.047e-02	2.358e-01	4.355e-01	3.353e-01	4.643e-01	4.325e-01	3.218e-01	4.987e-01	2.512e-02	2.493e-02	4.495e-02
2.700e+03	2.360e-01	6.512e-02	4.170e-01	8.145e-02	3.533e-02	2.358e-01	4.355e-01	2.983e-01	4.643e-01	4.325e-01	3.218e-01	4.987e-01	2.512e-02	2.493e-02	4.495e-02
2.800e+03	2.360e-01	6.512e-02	4.170e-01	8.436e-02	3.533e-02	2.358e-01	4.089e-01	2.981e-01	4.605e-01	4.126e-01	3.218e-01	4.618e-01	2.512e-02	2.493e-02	4.495e-02
2.900e+03	2.360e-01	6.512e-02	3.442e-01	9.771e-02	3.533e-02	2.463e-01	4.089e-01	2.981e-01	4.605e-01	4.087e-01	3.140e-01	4.618e-01	2.512e-02	2.493e-02	4.495e-02
3.000e+03	2.360e-01	6.512e-02	3.442e-01	9.771e-02	3.533e-02	2.463e-01	4.089e-01	2.981e-01	4.605e-01	4.087e-01	3.140e-01	4.618e-01	2.512e-02	2.493e-02	4.495e-02
3.100e+03	2.360e-01	6.512e-02	3.442e-01	9.657e-02	3.533e-02	2.358e-01	4.089e-01	2.981e-01	4.605e-01	4.087e-01	3.140e-01	4.618e-01	2.512e-02	2.493e-02	4.495e-02
