x	y	progress.rate.q.0.05.0.00.quality.maturePerformance	progress.rate.q.0.05.0.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.10.quality.maturePerformance	progress.rate.q.0.05.0.10.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.25.quality.maturePerformance	progress.rate.q.0.05.0.25.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.50.quality.maturePerformance	progress.rate.q.0.05.0.50.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.1.00.quality.maturePerformance	progress.rate.q.0.05.1.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.
0	0	-1.000e-02	-2.175e-03	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00
0	1	nan	nan	7.000e-02	-9.080e-03	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00
0	2	nan	nan	nan	nan	6.200e-01	-4.702e-02	1.000e+00	1.000e+00	1.000e+00	1.000e+00
0	3	nan	nan	nan	nan	5.800e-01	1.311e-02	7.900e-01	8.455e-02	1.000e+00	1.000e+00
0	4	nan	nan	nan	nan	3.900e-01	1.379e-01	6.000e-01	1.128e-01	1.000e+00	9.628e-01
0	5	nan	nan	nan	nan	4.100e-01	1.232e-01	1.000e+00	1.000e+00	1.000e+00	1.000e+00
0	6	nan	nan	nan	nan	2.000e-01	1.067e-01	2.000e-01	1.067e-01	1.000e+00	9.363e-01
0	7	nan	nan	nan	nan	nan	nan	1.000e+00	9.637e-01	1.000e+00	9.637e-01
0	8	nan	nan	nan	nan	nan	nan	1.000e+00	9.620e-01	1.000e+00	9.620e-01
0	9	4.500e-01	5.000e-01	9.500e-01	1.000e+00	9.500e-01	1.000e+00	1.000e+00	8.982e-01	1.000e+00	8.982e-01
1	0	nan	nan	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00
1	1	nan	nan	nan	nan	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00
1	2	nan	nan	nan	nan	3.900e-01	5.681e-02	1.000e+00	9.999e-01	1.000e+00	9.999e-01
1	3	nan	nan	nan	nan	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00
1	4	nan	nan	nan	nan	nan	nan	2.000e-01	-1.536e-01	1.000e+00	9.991e-01
1	5	nan	nan	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00
1	6	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	9.679e-01
1	7	nan	nan	nan	nan	nan	nan	1.000e+00	1.000e+00	1.000e+00	1.000e+00
1	8	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	9.564e-01
