x	y	progress.rate.q.0.05.0.00.quality.maturePerformance	progress.rate.q.0.05.0.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.10.quality.maturePerformance	progress.rate.q.0.05.0.10.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.25.quality.maturePerformance	progress.rate.q.0.05.0.25.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.50.quality.maturePerformance	progress.rate.q.0.05.0.50.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.1.00.quality.maturePerformance	progress.rate.q.0.05.1.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.
0	0	nan	nan	1.000e+00	9.153e-02	1.000e+00	9.153e-02	1.000e+00	9.153e-02	1.000e+00	9.153e-02
0	1	nan	nan	1.000e+00	5.955e-02	1.000e+00	5.955e-02	1.000e+00	5.955e-02	1.000e+00	5.955e-02
0	2	nan	nan	1.000e+00	9.188e-02	1.000e+00	9.188e-02	1.000e+00	9.188e-02	1.000e+00	9.188e-02
0	3	-1.000e+00	-6.366e-01	1.000e+00	7.706e-02	1.000e+00	7.706e-02	1.000e+00	7.706e-02	1.000e+00	7.706e-02
0	4	nan	nan	4.500e-01	4.070e-03	1.000e+00	9.326e-02	1.000e+00	9.326e-02	1.000e+00	9.326e-02
0	5	nan	nan	4.000e-01	2.043e-02	4.500e-01	8.723e-02	4.600e-01	1.059e-01	8.500e-01	1.071e-01
0	6	nan	nan	4.500e-01	-1.924e-02	6.500e-01	1.028e-01	6.500e-01	1.028e-01	1.000e+00	1.108e-01
0	7	nan	nan	4.500e-01	8.476e-02	4.500e-01	8.476e-02	5.000e-01	8.711e-02	5.000e-01	8.711e-02
0	8	-1.000e+00	-3.982e-01	4.500e-01	9.117e-02	5.000e-01	7.209e-02	5.000e-01	7.209e-02	5.000e-01	7.209e-02
0	9	4.500e-01	3.440e-02	5.000e-01	-1.453e-01	5.000e-01	-1.453e-01	5.000e-01	-1.453e-01	5.000e-01	-1.453e-01
1	0	nan	nan	1.000e+00	1.293e-01	1.000e+00	1.293e-01	1.000e+00	1.293e-01	1.000e+00	1.293e-01
1	1	nan	nan	1.000e+00	1.390e-01	1.000e+00	1.390e-01	1.000e+00	1.390e-01	1.000e+00	1.390e-01
1	2	nan	nan	1.000e+00	1.987e-01	1.000e+00	1.987e-01	1.000e+00	1.987e-01	1.000e+00	1.987e-01
1	3	nan	nan	1.000e+00	1.141e-01	1.000e+00	1.141e-01	1.000e+00	1.141e-01	1.000e+00	1.141e-01
1	4	nan	nan	1.000e+00	1.196e-01	1.000e+00	1.196e-01	1.000e+00	1.196e-01	1.000e+00	1.196e-01
1	5	nan	nan	1.000e+00	1.268e-01	1.000e+00	1.268e-01	1.000e+00	1.268e-01	1.000e+00	1.268e-01
1	6	nan	nan	1.000e+00	1.755e-01	1.000e+00	1.755e-01	1.000e+00	1.755e-01	1.000e+00	1.755e-01
1	7	nan	nan	8.000e-01	2.236e-01	1.000e+00	2.250e-01	1.000e+00	2.250e-01	1.000e+00	2.250e-01
1	8	nan	nan	4.800e-01	2.053e-01	8.100e-01	1.472e-01	9.800e-01	1.867e-01	1.000e+00	2.000e-01
1	9	5.000e-01	1.620e-01	1.000e+00	2.217e-01	1.000e+00	2.217e-01	1.000e+00	2.217e-01	1.000e+00	2.217e-01
2	0	nan	nan	nan	nan	nan	nan	1.000e+00	2.706e-01	1.000e+00	2.706e-01
2	1	nan	nan	1.000e+00	2.387e-01	1.000e+00	2.387e-01	1.000e+00	2.387e-01	1.000e+00	2.387e-01
2	2	nan	nan	1.000e+00	3.043e-01	1.000e+00	3.043e-01	1.000e+00	3.043e-01	1.000e+00	3.043e-01
2	3	nan	nan	1.000e+00	2.855e-01	1.000e+00	2.855e-01	1.000e+00	2.855e-01	1.000e+00	2.855e-01
2	4	nan	nan	1.000e+00	2.713e-01	1.000e+00	2.713e-01	1.000e+00	2.713e-01	1.000e+00	2.713e-01
2	5	nan	nan	1.000e+00	3.100e-01	1.000e+00	3.100e-01	1.000e+00	3.100e-01	1.000e+00	3.100e-01
2	6	nan	nan	1.000e+00	2.756e-01	1.000e+00	2.756e-01	1.000e+00	2.756e-01	1.000e+00	2.756e-01
2	7	nan	nan	1.000e+00	2.304e-01	1.000e+00	2.304e-01	1.000e+00	2.304e-01	1.000e+00	2.304e-01
2	8	nan	nan	1.000e+00	2.865e-01	1.000e+00	2.865e-01	1.000e+00	2.865e-01	1.000e+00	2.865e-01
2	9	5.000e-01	1.820e-01	1.000e+00	3.154e-01	1.000e+00	3.154e-01	1.000e+00	3.154e-01	1.000e+00	3.154e-01
3	0	nan	nan	1.000e+00	2.917e-01	1.000e+00	2.917e-01	1.000e+00	2.917e-01	1.000e+00	2.917e-01
3	1	nan	nan	1.000e+00	3.542e-01	1.000e+00	3.542e-01	1.000e+00	3.542e-01	1.000e+00	3.542e-01
3	2	nan	nan	1.000e+00	3.239e-01	1.000e+00	3.239e-01	1.000e+00	3.239e-01	1.000e+00	3.239e-01
3	3	nan	nan	1.000e+00	3.499e-01	1.000e+00	3.499e-01	1.000e+00	3.499e-01	1.000e+00	3.499e-01
3	4	nan	nan	1.000e+00	3.422e-01	1.000e+00	3.422e-01	1.000e+00	3.422e-01	1.000e+00	3.422e-01
3	5	nan	nan	1.000e+00	3.586e-01	1.000e+00	3.586e-01	1.000e+00	3.586e-01	1.000e+00	3.586e-01
3	6	nan	nan	1.000e+00	4.059e-01	1.000e+00	4.059e-01	1.000e+00	4.059e-01	1.000e+00	4.059e-01
3	7	nan	nan	1.000e+00	3.560e-01	1.000e+00	3.560e-01	1.000e+00	3.560e-01	1.000e+00	3.560e-01
