x	y	progress.rate.q.0.05.0.00.quality.maturePerformance	progress.rate.q.0.05.0.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.10.quality.maturePerformance	progress.rate.q.0.05.0.10.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.25.quality.maturePerformance	progress.rate.q.0.05.0.25.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.50.quality.maturePerformance	progress.rate.q.0.05.0.50.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.1.00.quality.maturePerformance	progress.rate.q.0.05.1.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.
0	0	nan	nan	-1.800e-01	4.274e-04	4.000e-01	8.347e-03	4.000e-01	8.347e-03	6.700e-01	1.802e-02
0	1	nan	nan	6.500e-01	2.044e-02	6.500e-01	2.044e-02	8.600e-01	3.648e-02	9.900e-01	7.823e-02
0	2	nan	nan	5.500e-01	1.591e-02	5.500e-01	1.591e-02	6.400e-01	1.310e-01	1.000e+00	6.955e-02
0	3	nan	nan	6.500e-01	3.632e-02	6.500e-01	3.632e-02	7.700e-01	1.268e-01	1.000e+00	1.513e-01
0	4	nan	nan	6.500e-01	2.879e-02	6.500e-01	2.879e-02	6.600e-01	9.683e-02	9.500e-01	8.163e-02
0	5	nan	nan	6.500e-01	6.657e-02	6.500e-01	6.657e-02	6.500e-01	6.657e-02	7.600e-01	1.850e-01
0	6	nan	nan	5.000e-01	7.162e-02	6.500e-01	5.335e-02	1.000e+00	1.777e-01	1.000e+00	1.777e-01
0	7	nan	nan	4.500e-01	7.387e-02	6.500e-01	7.883e-02	6.500e-01	7.883e-02	6.500e-01	7.883e-02
0	8	nan	nan	6.500e-01	7.122e-02	6.500e-01	7.122e-02	6.500e-01	7.122e-02	6.500e-01	7.122e-02
0	9	2.600e-01	8.761e-02	5.000e-01	5.907e-02	6.500e-01	8.894e-02	6.500e-01	8.894e-02	6.500e-01	8.894e-02
1	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	1	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	1.338e-01
1	2	nan	nan	nan	nan	nan	nan	1.000e+00	1.913e-01	1.000e+00	1.913e-01
1	3	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	2.101e-01
1	4	nan	nan	nan	nan	nan	nan	9.900e-01	2.502e-01	9.900e-01	2.502e-01
1	5	nan	nan	nan	nan	6.500e-01	8.568e-02	6.500e-01	8.568e-02	1.000e+00	1.369e-01
1	6	nan	nan	nan	nan	6.500e-01	1.219e-01	8.400e-01	1.798e-01	1.000e+00	1.910e-01
1	7	nan	nan	6.500e-01	1.077e-01	7.100e-01	1.540e-01	7.600e-01	1.669e-01	1.000e+00	2.594e-01
1	8	nan	nan	6.500e-01	8.410e-02	6.600e-01	1.306e-01	6.600e-01	1.306e-01	1.000e+00	2.292e-01
1	9	1.500e-01	1.211e-04	6.500e-01	1.739e-01	6.500e-01	1.739e-01	1.000e+00	1.408e-01	1.000e+00	1.408e-01
2	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	1	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	2.465e-01
2	2	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	2.788e-01
2	3	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	2.473e-01
2	4	nan	nan	nan	nan	nan	nan	1.000e+00	2.622e-01	1.000e+00	2.622e-01
2	5	nan	nan	nan	nan	nan	nan	1.000e+00	2.660e-01	1.000e+00	2.660e-01
2	6	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	3.082e-01
2	7	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	2.245e-01
2	8	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	3.087e-01
2	9	5.000e-01	3.041e-01	7.000e-01	1.892e-01	1.000e+00	3.728e-01	1.000e+00	3.728e-01	1.000e+00	3.728e-01
