x	y	progress.rate.q.0.05.0.00.quality.maturePerformance	progress.rate.q.0.05.0.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.10.quality.maturePerformance	progress.rate.q.0.05.0.10.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.25.quality.maturePerformance	progress.rate.q.0.05.0.25.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.50.quality.maturePerformance	progress.rate.q.0.05.0.50.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.1.00.quality.maturePerformance	progress.rate.q.0.05.1.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.
0	0	-5.000e-02	-8.858e-05	3.100e-01	3.756e-03	1.000e+00	4.599e-02	1.000e+00	4.599e-02	1.000e+00	4.599e-02
0	1	nan	nan	1.000e+00	7.166e-02	1.000e+00	7.166e-02	1.000e+00	7.166e-02	1.000e+00	7.166e-02
0	2	-9.200e-01	-1.108e-01	1.000e+00	8.298e-02	1.000e+00	8.298e-02	1.000e+00	8.298e-02	1.000e+00	8.298e-02
0	3	1.000e-02	8.355e-03	3.800e-01	5.396e-02	1.000e+00	1.272e-01	1.000e+00	1.272e-01	1.000e+00	1.272e-01
0	4	nan	nan	5.000e-01	6.756e-02	6.000e-01	6.008e-02	1.000e+00	9.332e-02	1.000e+00	9.332e-02
0	5	nan	nan	2.300e-01	-1.001e-02	7.900e-01	7.391e-02	7.900e-01	7.391e-02	9.200e-01	8.467e-02
0	6	nan	nan	4.900e-01	8.557e-02	5.000e-01	5.374e-02	5.000e-01	5.374e-02	6.900e-01	9.525e-02
0	7	nan	nan	5.000e-01	5.445e-02	5.000e-01	5.445e-02	7.100e-01	1.644e-01	7.100e-01	1.644e-01
0	8	5.000e-02	-5.021e-02	5.000e-01	1.250e-01	5.000e-01	1.250e-01	5.000e-01	1.250e-01	8.400e-01	1.079e-01
0	9	5.000e-02	-1.901e-14	5.000e-01	1.196e-01	5.000e-01	1.196e-01	6.000e-01	2.389e-02	6.000e-01	2.389e-02
1	0	nan	nan	nan	nan	1.000e+00	1.518e-01	1.000e+00	1.518e-01	1.000e+00	1.518e-01
