x	y	progress.rate.q.0.05.0.00.quality.maturePerformance	progress.rate.q.0.05.0.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.10.quality.maturePerformance	progress.rate.q.0.05.0.10.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.25.quality.maturePerformance	progress.rate.q.0.05.0.25.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.50.quality.maturePerformance	progress.rate.q.0.05.0.50.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.1.00.quality.maturePerformance	progress.rate.q.0.05.1.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.
0	0	nan	nan	5.000e-02	2.863e-14	9.000e-02	1.784e-03	1.000e+00	1.252e-01	1.000e+00	1.252e-01
0	1	nan	nan	5.000e-02	1.124e-05	5.000e-01	1.117e-02	1.000e+00	1.150e-01	1.000e+00	1.150e-01
0	2	nan	nan	3.600e-01	-5.285e-03	5.200e-01	5.427e-02	1.000e+00	1.630e-01	1.000e+00	1.630e-01
0	3	nan	nan	5.000e-02	-1.831e-09	9.900e-01	5.732e-02	1.000e+00	1.353e-01	1.000e+00	1.353e-01
0	4	5.000e-02	1.284e-03	5.000e-01	1.020e-01	9.400e-01	6.690e-02	1.000e+00	1.999e-01	1.000e+00	1.999e-01
0	5	5.000e-02	-3.888e-03	4.400e-01	9.957e-02	5.000e-01	6.367e-02	1.000e+00	9.865e-02	1.000e+00	9.865e-02
0	6	nan	nan	8.000e-02	6.515e-02	5.000e-01	4.259e-02	6.500e-01	1.378e-01	1.000e+00	2.426e-01
0	7	nan	nan	5.800e-01	3.120e-02	5.800e-01	3.120e-02	6.500e-01	1.409e-01	1.000e+00	1.974e-01
0	8	nan	nan	4.500e-01	7.152e-02	5.000e-01	7.578e-02	1.000e+00	1.799e-01	1.000e+00	1.799e-01
0	9	1.500e-01	-5.039e-02	5.000e-01	5.561e-02	6.500e-01	7.670e-02	8.100e-01	2.081e-01	1.000e+00	2.514e-01
1	0	nan	nan	nan	nan	nan	nan	1.000e+00	2.448e-01	1.000e+00	2.448e-01
1	1	nan	nan	nan	nan	nan	nan	1.000e+00	2.692e-01	1.000e+00	2.692e-01
1	2	nan	nan	nan	nan	nan	nan	1.000e+00	2.086e-01	1.000e+00	2.086e-01
1	3	nan	nan	nan	nan	nan	nan	1.000e+00	2.101e-01	1.000e+00	2.101e-01
1	4	nan	nan	nan	nan	nan	nan	1.000e+00	1.519e-01	1.000e+00	1.519e-01
1	5	nan	nan	nan	nan	1.000e+00	1.694e-01	1.000e+00	1.694e-01	1.000e+00	1.694e-01
