n.evals.q.1.0.	xor._.me.hebbian.network.best.quality.increase	xor._.me.hebbian.network.best.quality.increase.min	xor._.me.hebbian.network.best.quality.increase.max	xor._.me.hebbian.layer.best.quality.increase	xor._.me.hebbian.layer.best.quality.increase.min	xor._.me.hebbian.layer.best.quality.increase.max	xor._.me.hebbian.neuron.best.quality.increase	xor._.me.hebbian.neuron.best.quality.increase.min	xor._.me.hebbian.neuron.best.quality.increase.max	xor._.me.hebbian.synapse.best.quality.increase	xor._.me.hebbian.synapse.best.quality.increase.min	xor._.me.hebbian.synapse.best.quality.increase.max	xor._.me.freeForm.best.quality.increase	xor._.me.freeForm.best.quality.increase.min	xor._.me.freeForm.best.quality.increase.max
1.000e+02	4.537e-01	7.565e-02	4.703e-01	4.762e-01	3.784e-01	4.993e-01	4.793e-01	2.660e-01	5.814e-01	5.666e-01	4.878e-01	6.358e-01	2.695e-01	1.339e-01	4.263e-01
2.000e+02	2.292e-01	5.338e-02	4.543e-01	4.615e-01	3.294e-01	4.819e-01	5.894e-01	3.708e-01	7.148e-01	6.231e-01	5.159e-01	7.487e-01	3.134e-01	2.248e-01	4.471e-01
3.000e+02	2.292e-01	3.755e-02	4.543e-01	4.059e-01	1.814e-01	4.819e-01	6.159e-01	3.708e-01	7.545e-01	6.231e-01	5.332e-01	7.505e-01	3.002e-01	2.118e-01	4.471e-01
4.000e+02	2.292e-01	3.755e-02	4.543e-01	3.612e-01	1.814e-01	4.762e-01	5.946e-01	3.773e-01	7.156e-01	6.789e-01	5.440e-01	8.711e-01	3.002e-01	1.652e-01	4.896e-01
5.000e+02	2.292e-01	3.755e-02	4.543e-01	3.294e-01	1.634e-01	4.621e-01	5.774e-01	3.839e-01	6.325e-01	6.164e-01	5.416e-01	8.217e-01	2.863e-01	1.652e-01	4.721e-01
6.000e+02	2.299e-01	3.755e-02	4.543e-01	3.294e-01	1.634e-01	4.621e-01	5.590e-01	3.839e-01	6.188e-01	6.231e-01	5.416e-01	8.217e-01	3.849e-01	1.751e-01	4.740e-01
7.000e+02	2.299e-01	3.755e-02	4.543e-01	3.219e-01	1.374e-01	4.621e-01	4.908e-01	3.765e-01	6.176e-01	6.448e-01	5.435e-01	7.938e-01	3.849e-01	1.751e-01	5.251e-01
8.000e+02	2.299e-01	3.755e-02	4.543e-01	3.219e-01	1.374e-01	4.621e-01	4.843e-01	3.765e-01	5.946e-01	5.917e-01	5.048e-01	7.788e-01	4.044e-01	2.251e-01	5.593e-01
9.000e+02	2.299e-01	3.755e-02	4.537e-01	2.855e-01	1.090e-01	3.784e-01	4.843e-01	3.708e-01	5.859e-01	6.773e-01	5.361e-01	8.351e-01	4.471e-01	2.250e-01	5.749e-01
1.000e+03	2.299e-01	3.755e-02	4.537e-01	2.824e-01	1.090e-01	3.612e-01	4.843e-01	3.708e-01	5.858e-01	6.117e-01	5.361e-01	7.938e-01	4.044e-01	2.250e-01	5.380e-01
1.100e+03	2.303e-01	3.755e-02	4.537e-01	2.824e-01	1.090e-01	3.612e-01	4.592e-01	3.539e-01	5.814e-01	5.777e-01	5.285e-01	7.938e-01	3.022e-01	1.928e-01	5.380e-01
1.200e+03	2.303e-01	3.755e-02	4.537e-01	2.748e-01	9.507e-02	3.612e-01	4.311e-01	3.476e-01	5.814e-01	5.748e-01	5.048e-01	7.938e-01	2.899e-01	1.928e-01	5.251e-01
1.300e+03	2.303e-01	3.755e-02	4.537e-01	2.490e-01	9.282e-02	3.612e-01	4.522e-01	3.476e-01	5.774e-01	5.748e-01	5.084e-01	7.938e-01	2.849e-01	1.751e-01	5.251e-01
