x	y	progress.rate.q.0.05.0.00.quality.maturePerformance	progress.rate.q.0.05.0.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.10.quality.maturePerformance	progress.rate.q.0.05.0.10.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.25.quality.maturePerformance	progress.rate.q.0.05.0.25.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.50.quality.maturePerformance	progress.rate.q.0.05.0.50.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.1.00.quality.maturePerformance	progress.rate.q.0.05.1.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.
0	0	-1.000e-02	-4.202e-09	2.200e-01	-6.064e-05	4.800e-01	0.000e+00	5.000e-01	4.700e-03	5.000e-01	4.700e-03
0	1	nan	nan	1.300e-01	1.942e-10	2.000e-01	6.055e-07	2.500e-01	9.645e-02	5.700e-01	1.031e-07
0	2	nan	nan	1.300e-01	4.034e-04	2.000e-01	0.000e+00	3.100e-01	3.109e-04	5.900e-01	5.642e-08
0	3	nan	nan	2.400e-01	-9.532e-04	2.400e-01	-9.532e-04	4.300e-01	2.621e-03	6.000e-01	2.582e-03
0	4	nan	nan	2.000e-01	5.994e-04	2.000e-01	5.994e-04	4.000e-01	2.807e-03	5.900e-01	1.048e-07
0	5	nan	nan	1.200e-01	2.159e-03	2.500e-01	7.701e-02	4.600e-01	6.544e-05	5.500e-01	6.134e-05
0	6	nan	nan	1.300e-01	2.818e-05	3.500e-01	0.000e+00	4.700e-01	3.991e-05	5.700e-01	2.562e-03
0	7	nan	nan	1.400e-01	6.120e-05	2.500e-01	-2.000e-03	4.300e-01	2.656e-03	6.000e-01	3.824e-05
0	8	nan	nan	1.000e-01	-2.381e-04	2.400e-01	2.967e-07	4.900e-01	2.591e-03	6.100e-01	3.086e-03
0	9	4.500e-01	5.000e-01	4.500e-01	5.000e-01	5.500e-01	5.000e-01	5.500e-01	5.000e-01	6.400e-01	2.751e-03
