x	y	progress.rate.q.0.05.0.00.quality.maturePerformance	progress.rate.q.0.05.0.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.10.quality.maturePerformance	progress.rate.q.0.05.0.10.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.25.quality.maturePerformance	progress.rate.q.0.05.0.25.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.50.quality.maturePerformance	progress.rate.q.0.05.0.50.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.1.00.quality.maturePerformance	progress.rate.q.0.05.1.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.
0	0	nan	nan	9.100e-01	6.286e-03	1.000e+00	2.806e-02	1.000e+00	2.806e-02	1.000e+00	2.806e-02
0	1	nan	nan	1.000e+00	5.225e-02	1.000e+00	5.225e-02	1.000e+00	5.225e-02	1.000e+00	5.225e-02
0	2	5.000e-02	-1.479e-11	7.700e-01	4.426e-02	1.000e+00	9.203e-02	1.000e+00	9.203e-02	1.000e+00	9.203e-02
0	3	nan	nan	9.200e-01	4.881e-02	9.600e-01	1.050e-01	1.000e+00	8.129e-02	1.000e+00	8.129e-02
0	4	nan	nan	5.300e-01	7.654e-02	7.500e-01	9.858e-02	1.000e+00	9.295e-02	1.000e+00	9.295e-02
0	5	-5.000e-02	-4.362e-03	5.000e-01	1.231e-02	6.500e-01	3.972e-02	7.500e-01	8.781e-02	7.500e-01	8.781e-02
0	6	nan	nan	6.400e-01	8.381e-02	8.100e-01	1.137e-01	8.100e-01	1.137e-01	8.100e-01	1.137e-01
0	7	-5.000e-02	1.735e-16	4.500e-01	6.907e-02	7.400e-01	9.631e-02	7.400e-01	9.631e-02	7.400e-01	9.631e-02
0	8	nan	nan	5.000e-01	1.693e-02	5.000e-01	1.693e-02	5.000e-01	1.693e-02	5.000e-01	1.693e-02
0	9	5.000e-02	-1.334e-04	5.000e-01	-3.291e-04	5.900e-01	-2.372e-01	5.900e-01	-2.372e-01	5.900e-01	-2.372e-01
1	0	nan	nan	nan	nan	nan	nan	1.000e+00	1.503e-01	1.000e+00	1.503e-01
1	1	nan	nan	1.000e+00	1.028e-01	1.000e+00	1.028e-01	1.000e+00	1.028e-01	1.000e+00	1.028e-01
1	2	nan	nan	nan	nan	1.000e+00	1.023e-01	1.000e+00	1.023e-01	1.000e+00	1.023e-01
1	3	nan	nan	1.000e+00	2.226e-01	1.000e+00	2.226e-01	1.000e+00	2.226e-01	1.000e+00	2.226e-01
1	4	nan	nan	1.000e+00	1.929e-01	1.000e+00	1.929e-01	1.000e+00	1.929e-01	1.000e+00	1.929e-01
1	5	nan	nan	1.000e+00	1.196e-01	1.000e+00	1.196e-01	1.000e+00	1.196e-01	1.000e+00	1.196e-01
1	6	nan	nan	1.000e+00	1.520e-01	1.000e+00	1.520e-01	1.000e+00	1.520e-01	1.000e+00	1.520e-01
1	7	nan	nan	8.800e-01	9.294e-02	1.000e+00	1.681e-01	1.000e+00	1.681e-01	1.000e+00	1.681e-01
1	8	nan	nan	6.900e-01	1.400e-01	9.100e-01	2.518e-01	1.000e+00	1.712e-01	1.000e+00	1.712e-01
1	9	5.000e-02	7.254e-02	9.000e-01	1.925e-01	9.200e-01	1.719e-01	9.200e-01	1.719e-01	1.000e+00	1.648e-01
2	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	1	nan	nan	nan	nan	1.000e+00	2.265e-01	1.000e+00	2.265e-01	1.000e+00	2.265e-01
2	2	nan	nan	nan	nan	1.000e+00	2.028e-01	1.000e+00	2.028e-01	1.000e+00	2.028e-01
2	3	nan	nan	1.000e+00	2.504e-01	1.000e+00	2.504e-01	1.000e+00	2.504e-01	1.000e+00	2.504e-01
2	4	nan	nan	1.000e+00	2.353e-01	1.000e+00	2.353e-01	1.000e+00	2.353e-01	1.000e+00	2.353e-01
2	5	nan	nan	nan	nan	1.000e+00	2.535e-01	1.000e+00	2.535e-01	1.000e+00	2.535e-01
2	6	nan	nan	1.000e+00	2.855e-01	1.000e+00	2.855e-01	1.000e+00	2.855e-01	1.000e+00	2.855e-01
2	7	nan	nan	1.000e+00	3.610e-01	1.000e+00	3.610e-01	1.000e+00	3.610e-01	1.000e+00	3.610e-01
2	8	nan	nan	8.900e-01	2.450e-01	1.000e+00	1.730e-01	1.000e+00	1.730e-01	1.000e+00	1.730e-01
2	9	5.000e-01	2.023e-01	9.500e-01	2.482e-01	1.000e+00	2.535e-01	1.000e+00	2.535e-01	1.000e+00	2.535e-01
3	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	1	nan	nan	nan	nan	nan	nan	1.000e+00	3.384e-01	1.000e+00	3.384e-01
3	2	nan	nan	1.000e+00	3.345e-01	1.000e+00	3.345e-01	1.000e+00	3.345e-01	1.000e+00	3.345e-01
3	3	nan	nan	nan	nan	1.000e+00	4.286e-01	1.000e+00	4.286e-01	1.000e+00	4.286e-01
3	4	nan	nan	1.000e+00	3.682e-01	1.000e+00	3.682e-01	1.000e+00	3.682e-01	1.000e+00	3.682e-01
3	5	nan	nan	nan	nan	1.000e+00	3.380e-01	1.000e+00	3.380e-01	1.000e+00	3.380e-01
3	6	nan	nan	1.000e+00	2.507e-01	1.000e+00	2.507e-01	1.000e+00	2.507e-01	1.000e+00	2.507e-01
3	7	nan	nan	1.000e+00	2.724e-01	1.000e+00	2.724e-01	1.000e+00	2.724e-01	1.000e+00	2.724e-01
3	8	nan	nan	1.000e+00	3.053e-01	1.000e+00	3.053e-01	1.000e+00	3.053e-01	1.000e+00	3.053e-01
3	9	nan	nan	1.000e+00	4.049e-01	1.000e+00	4.049e-01	1.000e+00	4.049e-01	1.000e+00	4.049e-01
4	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	1	nan	nan	nan	nan	nan	nan	1.000e+00	4.303e-01	1.000e+00	4.303e-01
4	2	nan	nan	nan	nan	1.000e+00	4.279e-01	1.000e+00	4.279e-01	1.000e+00	4.279e-01
4	3	nan	nan	1.000e+00	4.612e-01	1.000e+00	4.612e-01	1.000e+00	4.612e-01	1.000e+00	4.612e-01
4	4	nan	nan	1.000e+00	4.436e-01	1.000e+00	4.436e-01	1.000e+00	4.436e-01	1.000e+00	4.436e-01
4	5	nan	nan	1.000e+00	5.138e-01	1.000e+00	5.138e-01	1.000e+00	5.138e-01	1.000e+00	5.138e-01
4	6	nan	nan	nan	nan	1.000e+00	4.388e-01	1.000e+00	4.388e-01	1.000e+00	4.388e-01
4	7	nan	nan	1.000e+00	6.004e-01	1.000e+00	6.004e-01	1.000e+00	6.004e-01	1.000e+00	6.004e-01
4	8	nan	nan	nan	nan	1.000e+00	4.356e-01	1.000e+00	4.356e-01	1.000e+00	4.356e-01
4	9	nan	nan	1.000e+00	5.264e-01	1.000e+00	5.264e-01	1.000e+00	5.264e-01	1.000e+00	5.264e-01
5	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	1	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	5.609e-01
5	2	nan	nan	nan	nan	1.000e+00	5.249e-01	1.000e+00	5.249e-01	1.000e+00	5.249e-01
5	3	nan	nan	1.000e+00	5.439e-01	1.000e+00	5.439e-01	1.000e+00	5.439e-01	1.000e+00	5.439e-01
5	4	nan	nan	nan	nan	1.000e+00	6.126e-01	1.000e+00	6.126e-01	1.000e+00	6.126e-01
5	5	nan	nan	nan	nan	1.000e+00	3.751e-01	1.000e+00	3.751e-01	1.000e+00	3.751e-01
5	6	nan	nan	nan	nan	1.000e+00	5.780e-01	1.000e+00	5.780e-01	1.000e+00	5.780e-01
5	7	nan	nan	1.000e+00	5.668e-01	1.000e+00	5.668e-01	1.000e+00	5.668e-01	1.000e+00	5.668e-01
