x	y	progress.rate.q.0.05.0.00.quality.maturePerformance	progress.rate.q.0.05.0.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.10.quality.maturePerformance	progress.rate.q.0.05.0.10.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.25.quality.maturePerformance	progress.rate.q.0.05.0.25.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.50.quality.maturePerformance	progress.rate.q.0.05.0.50.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.1.00.quality.maturePerformance	progress.rate.q.0.05.1.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.
0	0	nan	nan	5.000e-02	3.721e-10	5.000e-02	3.721e-10	1.000e+00	1.131e-01	1.000e+00	1.131e-01
0	1	nan	nan	1.700e-01	3.800e-05	1.700e-01	3.800e-05	1.000e+00	9.235e-03	1.000e+00	9.235e-03
0	2	nan	nan	5.200e-01	2.698e-02	6.500e-01	1.969e-02	7.400e-01	-1.120e-02	1.000e+00	2.893e-02
0	3	nan	nan	4.000e-01	2.570e-02	5.000e-01	6.058e-02	6.500e-01	7.462e-02	8.200e-01	9.110e-02
0	4	nan	nan	1.600e-01	2.608e-08	5.200e-01	9.042e-02	6.500e-01	4.077e-02	7.900e-01	1.547e-01
0	5	nan	nan	5.000e-01	5.321e-02	5.000e-01	5.321e-02	6.500e-01	8.996e-02	1.000e+00	4.230e-02
0	6	-5.000e-02	-4.245e-06	2.400e-01	8.386e-02	6.500e-01	8.824e-02	6.500e-01	8.824e-02	8.900e-01	4.441e-02
0	7	nan	nan	2.100e-01	2.582e-02	5.100e-01	9.720e-03	5.100e-01	9.720e-03	8.600e-01	9.963e-02
0	8	nan	nan	1.500e-01	1.397e-06	5.000e-01	9.381e-02	6.500e-01	1.489e-01	7.500e-01	1.275e-01
0	9	1.000e-01	-1.047e-02	5.700e-01	6.982e-02	6.500e-01	3.482e-02	6.500e-01	3.482e-02	9.800e-01	2.539e-01
1	0	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	1.949e-01
1	1	nan	nan	nan	nan	nan	nan	1.000e+00	1.691e-01	1.000e+00	1.691e-01
1	2	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	1.537e-01
1	3	nan	nan	nan	nan	7.100e-01	2.355e-01	7.100e-01	2.355e-01	1.000e+00	1.432e-01
1	4	nan	nan	nan	nan	nan	nan	1.000e+00	2.088e-01	1.000e+00	2.088e-01
1	5	nan	nan	nan	nan	4.900e-01	1.579e-01	8.300e-01	1.693e-01	1.000e+00	1.532e-01
1	6	nan	nan	nan	nan	5.900e-01	1.115e-01	6.500e-01	9.679e-02	9.000e-01	6.917e-02
1	7	nan	nan	6.000e-01	1.222e-01	6.000e-01	1.222e-01	6.000e-01	1.222e-01	7.900e-01	1.623e-01
1	8	nan	nan	5.000e-01	1.200e-01	5.000e-01	1.200e-01	5.000e-01	1.200e-01	1.000e+00	2.868e-01
1	9	1.500e-01	3.790e-04	6.500e-01	1.945e-01	6.500e-01	1.945e-01	6.700e-01	2.968e-01	1.000e+00	1.999e-01
2	0	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	3.397e-01
2	1	nan	nan	nan	nan	nan	nan	1.000e+00	2.324e-01	1.000e+00	2.324e-01
2	2	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	2.859e-01
2	3	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	1.944e-01
2	4	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	2.277e-01
2	5	nan	nan	nan	nan	nan	nan	6.400e-01	3.252e-01	1.000e+00	3.944e-01
2	6	nan	nan	nan	nan	9.700e-01	1.654e-01	9.700e-01	1.654e-01	1.000e+00	1.785e-01
2	7	nan	nan	nan	nan	nan	nan	nan	nan	8.200e-01	8.450e-02
2	8	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	3.289e-01
2	9	4.500e-01	2.773e-01	6.500e-01	2.552e-01	8.100e-01	3.769e-01	1.000e+00	2.784e-01	1.000e+00	2.784e-01
3	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	1	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	3.457e-01
3	2	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	3.440e-01
3	3	nan	nan	nan	nan	nan	nan	1.000e+00	4.378e-01	1.000e+00	4.378e-01
3	4	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	3.244e-01
3	5	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	3.752e-01
3	6	nan	nan	nan	nan	nan	nan	1.000e+00	2.982e-01	1.000e+00	2.982e-01
3	7	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	3.402e-01
3	8	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	2.746e-01
3	9	5.000e-01	3.703e-01	6.500e-01	3.220e-01	1.000e+00	3.325e-01	1.000e+00	3.325e-01	1.000e+00	3.325e-01
4	0	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	4.695e-01
4	1	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	5.004e-01
4	2	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	4.637e-01
4	3	nan	nan	nan	nan	nan	nan	1.000e+00	3.968e-01	1.000e+00	3.968e-01
4	4	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	3.600e-01
4	5	nan	nan	nan	nan	nan	nan	1.000e+00	4.199e-01	1.000e+00	4.199e-01
4	6	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	4.694e-01
4	7	nan	nan	nan	nan	nan	nan	1.000e+00	4.691e-01	1.000e+00	4.691e-01
4	8	nan	nan	nan	nan	nan	nan	1.000e+00	4.331e-01	1.000e+00	4.331e-01
4	9	4.000e-01	4.993e-01	7.600e-01	4.123e-01	1.000e+00	4.070e-01	1.000e+00	4.070e-01	1.000e+00	4.070e-01
5	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	1	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	4.836e-01
5	2	nan	nan	nan	nan	nan	nan	1.000e+00	5.694e-01	1.000e+00	5.694e-01
5	3	nan	nan	nan	nan	nan	nan	1.000e+00	5.885e-01	1.000e+00	5.885e-01
5	4	nan	nan	nan	nan	nan	nan	1.000e+00	5.655e-01	1.000e+00	5.655e-01
5	5	nan	nan	nan	nan	nan	nan	1.000e+00	4.426e-01	1.000e+00	4.426e-01
5	6	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	5.582e-01
5	7	nan	nan	nan	nan	nan	nan	1.000e+00	5.237e-01	1.000e+00	5.237e-01
5	8	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	5.560e-01
5	9	5.000e-01	4.985e-01	1.000e+00	5.447e-01	1.000e+00	5.447e-01	1.000e+00	5.447e-01	1.000e+00	5.447e-01
6	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
6	1	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	7.106e-01
6	2	nan	nan	nan	nan	nan	nan	1.000e+00	6.842e-01	1.000e+00	6.842e-01
6	3	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	5.770e-01
6	4	nan	nan	nan	nan	nan	nan	1.000e+00	7.306e-01	1.000e+00	7.306e-01
6	5	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	6.161e-01
6	6	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	6.493e-01
6	7	nan	nan	nan	nan	nan	nan	1.000e+00	6.429e-01	1.000e+00	6.429e-01
6	8	nan	nan	nan	nan	9.800e-01	4.106e-01	1.000e+00	6.940e-01	1.000e+00	6.940e-01
6	9	nan	nan	1.000e+00	6.844e-01	1.000e+00	6.844e-01	1.000e+00	6.844e-01	1.000e+00	6.844e-01
7	0	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	7.971e-01
7	1	nan	nan	nan	nan	nan	nan	1.000e+00	7.659e-01	1.000e+00	7.659e-01
7	2	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	7.005e-01
7	3	nan	nan	nan	nan	nan	nan	1.000e+00	8.657e-01	1.000e+00	8.657e-01
7	4	nan	nan	nan	nan	nan	nan	1.000e+00	7.769e-01	1.000e+00	7.769e-01
7	5	nan	nan	nan	nan	nan	nan	1.000e+00	8.336e-01	1.000e+00	8.336e-01
7	6	nan	nan	nan	nan	1.000e+00	8.073e-01	1.000e+00	8.073e-01	1.000e+00	8.073e-01
7	7	nan	nan	nan	nan	1.000e+00	7.455e-01	1.000e+00	7.455e-01	1.000e+00	7.455e-01
7	8	nan	nan	1.000e+00	7.660e-01	1.000e+00	7.660e-01	1.000e+00	7.660e-01	1.000e+00	7.660e-01
7	9	nan	nan	1.000e+00	7.116e-01	1.000e+00	7.116e-01	1.000e+00	7.116e-01	1.000e+00	7.116e-01
8	0	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	8.787e-01
8	1	nan	nan	nan	nan	nan	nan	1.000e+00	8.779e-01	1.000e+00	8.779e-01
8	2	nan	nan	nan	nan	nan	nan	1.000e+00	8.209e-01	1.000e+00	8.209e-01
8	3	nan	nan	1.000e+00	9.091e-01	1.000e+00	9.091e-01	1.000e+00	9.091e-01	1.000e+00	9.091e-01
8	4	nan	nan	nan	nan	1.000e+00	8.971e-01	1.000e+00	8.971e-01	1.000e+00	8.971e-01
8	5	nan	nan	nan	nan	1.000e+00	8.317e-01	1.000e+00	8.317e-01	1.000e+00	8.317e-01
8	6	nan	nan	nan	nan	1.000e+00	9.086e-01	1.000e+00	9.086e-01	1.000e+00	9.086e-01
8	7	nan	nan	1.000e+00	7.791e-01	1.000e+00	7.791e-01	1.000e+00	7.791e-01	1.000e+00	7.791e-01
8	8	nan	nan	1.000e+00	9.218e-01	1.000e+00	9.218e-01	1.000e+00	9.218e-01	1.000e+00	9.218e-01
8	9	nan	nan	1.000e+00	7.247e-01	1.000e+00	7.247e-01	1.000e+00	7.247e-01	1.000e+00	7.247e-01
9	0	nan	nan	1.000e+00	9.974e-01	1.000e+00	9.974e-01	1.000e+00	9.974e-01	1.000e+00	9.974e-01
9	1	nan	nan	nan	nan	nan	nan	1.000e+00	9.684e-01	1.000e+00	9.684e-01
9	2	nan	nan	nan	nan	1.000e+00	9.432e-01	1.000e+00	9.432e-01	1.000e+00	9.432e-01
9	3	nan	nan	1.000e+00	8.915e-01	1.000e+00	8.915e-01	1.000e+00	8.915e-01	1.000e+00	8.915e-01
9	4	nan	nan	nan	nan	9.700e-01	9.760e-01	1.000e+00	9.554e-01	1.000e+00	9.554e-01
9	5	nan	nan	9.600e-01	9.947e-01	1.000e+00	8.806e-01	1.000e+00	8.806e-01	1.000e+00	8.806e-01
9	6	nan	nan	nan	nan	1.000e+00	9.283e-01	1.000e+00	9.283e-01	1.000e+00	9.283e-01
9	7	nan	nan	nan	nan	nan	nan	9.800e-01	7.204e-01	1.000e+00	9.191e-01
9	8	nan	nan	nan	nan	nan	nan	1.000e+00	9.605e-01	1.000e+00	9.605e-01
9	9	nan	nan	9.500e-01	5.007e-01	9.600e-01	9.960e-01	9.700e-01	9.950e-01	9.900e-01	6.537e-01
