x	y	progress.rate.q.0.05.0.00.quality.maturePerformance	progress.rate.q.0.05.0.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.10.quality.maturePerformance	progress.rate.q.0.05.0.10.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.25.quality.maturePerformance	progress.rate.q.0.05.0.25.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.50.quality.maturePerformance	progress.rate.q.0.05.0.50.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.1.00.quality.maturePerformance	progress.rate.q.0.05.1.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.
0	0	-1.000e-02	-2.486e-08	1.000e-01	3.989e-09	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00
0	1	nan	nan	nan	nan	nan	nan	nan	nan	4.100e-01	6.466e-02
0	2	nan	nan	nan	nan	nan	nan	2.200e-01	4.674e-02	8.100e-01	8.579e-02
0	3	nan	nan	nan	nan	nan	nan	-3.000e-02	4.898e-03	1.000e+00	5.230e-02
0	4	nan	nan	nan	nan	nan	nan	nan	nan	6.200e-01	1.149e-01
0	5	nan	nan	nan	nan	nan	nan	nan	nan	4.000e-01	1.902e-02
0	6	nan	nan	nan	nan	nan	nan	-2.200e-01	-1.000e+00	4.100e-01	-1.875e-02
0	7	nan	nan	nan	nan	nan	nan	nan	nan	5.400e-01	-5.566e-02
0	8	nan	nan	nan	nan	-9.000e-01	-1.000e+00	-9.000e-01	-1.000e+00	9.500e-01	9.999e-01
0	9	4.500e-01	5.000e-01	5.000e-01	5.000e-01	9.000e-01	1.000e+00	9.000e-01	1.000e+00	9.000e-01	1.000e+00
1	0	nan	nan	nan	nan	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00
1	1	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	1.000e+00
1	2	nan	nan	nan	nan	nan	nan	1.000e+00	1.000e+00	1.000e+00	1.000e+00
1	3	nan	nan	nan	nan	nan	nan	1.000e+00	1.000e+00	1.000e+00	1.000e+00
1	4	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	1.000e+00
1	5	nan	nan	nan	nan	nan	nan	1.000e+00	1.000e+00	1.000e+00	1.000e+00
1	6	nan	nan	nan	nan	1.000e+00	9.998e-01	1.000e+00	9.998e-01	1.000e+00	9.998e-01
1	7	nan	nan	nan	nan	9.900e-01	9.998e-01	1.000e+00	9.999e-01	1.000e+00	9.999e-01
1	8	nan	nan	nan	nan	nan	nan	1.000e+00	1.000e+00	1.000e+00	1.000e+00
1	9	4.500e-01	5.000e-01	6.000e-01	4.392e-01	9.800e-01	9.998e-01	9.800e-01	9.998e-01	1.000e+00	9.969e-01
2	0	nan	nan	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00
2	1	nan	nan	nan	nan	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00
2	2	nan	nan	nan	nan	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00
2	3	nan	nan	nan	nan	nan	nan	1.000e+00	9.976e-01	1.000e+00	9.976e-01
2	4	nan	nan	nan	nan	nan	nan	1.000e+00	1.000e+00	1.000e+00	1.000e+00
