n.evals.q.1.0.	xor._.me.hebbian.network.best.quality.inconsistency	xor._.me.hebbian.network.best.quality.inconsistency.min	xor._.me.hebbian.network.best.quality.inconsistency.max	xor._.me.hebbian.layer.best.quality.inconsistency	xor._.me.hebbian.layer.best.quality.inconsistency.min	xor._.me.hebbian.layer.best.quality.inconsistency.max	xor._.me.hebbian.neuron.best.quality.inconsistency	xor._.me.hebbian.neuron.best.quality.inconsistency.min	xor._.me.hebbian.neuron.best.quality.inconsistency.max	xor._.me.hebbian.synapse.best.quality.inconsistency	xor._.me.hebbian.synapse.best.quality.inconsistency.min	xor._.me.hebbian.synapse.best.quality.inconsistency.max	xor._.me.freeForm.best.quality.inconsistency	xor._.me.freeForm.best.quality.inconsistency.min	xor._.me.freeForm.best.quality.inconsistency.max
1.000e+02	7.289e-01	5.160e-01	8.930e-01	8.282e-01	5.814e-01	8.568e-01	2.986e-01	1.439e-01	6.673e-01	6.562e-01	4.392e-01	7.271e-01	8.660e-01	8.116e-01	8.660e-01
2.000e+02	6.891e-01	4.318e-01	8.930e-01	5.814e-01	4.392e-01	7.523e-01	2.536e-01	1.080e-01	3.380e-01	5.942e-01	3.132e-01	7.234e-01	8.352e-01	7.529e-01	8.660e-01
3.000e+02	6.891e-01	4.318e-01	8.930e-01	5.284e-01	4.424e-01	6.371e-01	2.250e-01	1.931e-01	3.011e-01	4.251e-01	3.052e-01	6.973e-01	8.352e-01	7.310e-01	8.660e-01
4.000e+02	6.891e-01	4.318e-01	8.930e-01	5.284e-01	4.424e-01	6.371e-01	2.375e-01	2.116e-01	3.099e-01	3.927e-01	2.281e-01	6.523e-01	8.000e-01	4.668e-01	8.352e-01
5.000e+02	6.381e-01	4.312e-01	8.930e-01	5.007e-01	4.392e-01	6.219e-01	2.490e-01	2.134e-01	3.286e-01	3.927e-01	2.894e-01	6.295e-01	8.000e-01	4.668e-01	8.352e-01
6.000e+02	6.381e-01	4.312e-01	8.930e-01	4.993e-01	4.315e-01	6.018e-01	2.490e-01	2.172e-01	2.976e-01	3.502e-01	2.647e-01	4.697e-01	7.529e-01	1.477e-02	8.233e-01
7.000e+02	6.381e-01	4.312e-01	8.930e-01	4.837e-01	4.182e-01	6.018e-01	2.490e-01	2.172e-01	2.976e-01	3.164e-01	2.454e-01	4.445e-01	7.598e-01	1.477e-02	8.000e-01
8.000e+02	6.381e-01	4.312e-01	8.930e-01	4.775e-01	4.085e-01	6.018e-01	2.534e-01	2.208e-01	3.286e-01	2.928e-01	2.292e-01	4.048e-01	7.141e-01	1.477e-02	8.000e-01
9.000e+02	6.381e-01	4.312e-01	8.930e-01	4.775e-01	4.085e-01	6.018e-01	2.534e-01	2.144e-01	3.286e-01	2.928e-01	2.292e-01	3.387e-01	7.141e-01	1.914e-06	8.000e-01
1.000e+03	6.381e-01	4.312e-01	8.930e-01	4.775e-01	4.085e-01	6.018e-01	2.534e-01	2.134e-01	3.286e-01	2.997e-01	2.049e-01	3.765e-01	7.141e-01	4.494e-07	7.956e-01
1.100e+03	6.381e-01	4.312e-01	8.930e-01	4.772e-01	3.784e-01	5.830e-01	2.534e-01	2.134e-01	3.286e-01	2.735e-01	2.049e-01	3.274e-01	7.141e-01	4.494e-07	7.956e-01
1.200e+03	6.381e-01	4.312e-01	8.930e-01	4.772e-01	3.784e-01	5.830e-01	2.536e-01	2.134e-01	3.333e-01	3.042e-01	2.454e-01	3.673e-01	7.141e-01	4.259e-07	7.956e-01
