x	y	progress.rate.q.0.05.0.00.quality.maturePerformance	progress.rate.q.0.05.0.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.10.quality.maturePerformance	progress.rate.q.0.05.0.10.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.25.quality.maturePerformance	progress.rate.q.0.05.0.25.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.50.quality.maturePerformance	progress.rate.q.0.05.0.50.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.1.00.quality.maturePerformance	progress.rate.q.0.05.1.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.
0	0	nan	nan	3.500e-01	1.702e-02	1.000e+00	8.569e-02	1.000e+00	8.569e-02	1.000e+00	8.569e-02
0	1	nan	nan	1.000e+00	7.162e-02	1.000e+00	7.162e-02	1.000e+00	7.162e-02	1.000e+00	7.162e-02
0	2	nan	nan	9.000e-01	9.756e-02	9.000e-01	9.756e-02	1.000e+00	9.982e-02	1.000e+00	9.982e-02
0	3	nan	nan	5.000e-01	7.589e-02	1.000e+00	7.654e-02	1.000e+00	7.654e-02	1.000e+00	7.654e-02
0	4	-5.000e-02	4.604e-02	6.000e-01	1.133e-01	6.500e-01	1.026e-01	1.000e+00	7.994e-02	1.000e+00	7.994e-02
0	5	-1.000e+00	-8.721e-01	4.500e-01	7.868e-02	7.500e-01	1.077e-01	7.500e-01	1.077e-01	9.300e-01	9.200e-02
0	6	nan	nan	5.000e-01	7.923e-02	5.000e-01	7.923e-02	5.000e-01	7.923e-02	1.000e+00	9.542e-02
0	7	nan	nan	5.000e-01	6.130e-02	5.000e-01	6.130e-02	8.500e-01	1.061e-01	8.500e-01	1.061e-01
0	8	nan	nan	5.000e-01	6.687e-02	5.000e-01	6.687e-02	5.000e-01	6.687e-02	5.000e-01	6.687e-02
0	9	3.900e-01	7.750e-02	5.600e-01	3.718e-01	5.600e-01	3.718e-01	6.000e-01	4.784e-01	6.000e-01	4.784e-01
1	0	nan	nan	nan	nan	1.000e+00	1.611e-01	1.000e+00	1.611e-01	1.000e+00	1.611e-01
1	1	nan	nan	1.000e+00	1.931e-01	1.000e+00	1.931e-01	1.000e+00	1.931e-01	1.000e+00	1.931e-01
1	2	nan	nan	1.000e+00	1.538e-01	1.000e+00	1.538e-01	1.000e+00	1.538e-01	1.000e+00	1.538e-01
1	3	nan	nan	1.000e+00	2.060e-01	1.000e+00	2.060e-01	1.000e+00	2.060e-01	1.000e+00	2.060e-01
1	4	nan	nan	1.000e+00	2.094e-01	1.000e+00	2.094e-01	1.000e+00	2.094e-01	1.000e+00	2.094e-01
1	5	nan	nan	1.000e+00	2.121e-01	1.000e+00	2.121e-01	1.000e+00	2.121e-01	1.000e+00	2.121e-01
1	6	nan	nan	1.000e+00	1.573e-01	1.000e+00	1.573e-01	1.000e+00	1.573e-01	1.000e+00	1.573e-01
1	7	nan	nan	1.000e+00	2.110e-01	1.000e+00	2.110e-01	1.000e+00	2.110e-01	1.000e+00	2.110e-01
1	8	nan	nan	8.300e-01	3.516e-01	9.200e-01	2.089e-01	1.000e+00	1.960e-01	1.000e+00	1.960e-01
1	9	5.000e-02	1.379e-01	1.000e+00	2.101e-01	1.000e+00	2.101e-01	1.000e+00	2.101e-01	1.000e+00	2.101e-01
2	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	1	nan	nan	1.000e+00	2.374e-01	1.000e+00	2.374e-01	1.000e+00	2.374e-01	1.000e+00	2.374e-01
2	2	nan	nan	1.000e+00	2.585e-01	1.000e+00	2.585e-01	1.000e+00	2.585e-01	1.000e+00	2.585e-01
2	3	nan	nan	1.000e+00	2.791e-01	1.000e+00	2.791e-01	1.000e+00	2.791e-01	1.000e+00	2.791e-01
2	4	nan	nan	1.000e+00	2.399e-01	1.000e+00	2.399e-01	1.000e+00	2.399e-01	1.000e+00	2.399e-01
2	5	nan	nan	1.000e+00	2.383e-01	1.000e+00	2.383e-01	1.000e+00	2.383e-01	1.000e+00	2.383e-01
2	6	nan	nan	1.000e+00	2.333e-01	1.000e+00	2.333e-01	1.000e+00	2.333e-01	1.000e+00	2.333e-01
2	7	nan	nan	1.000e+00	2.673e-01	1.000e+00	2.673e-01	1.000e+00	2.673e-01	1.000e+00	2.673e-01
2	8	nan	nan	1.000e+00	2.806e-01	1.000e+00	2.806e-01	1.000e+00	2.806e-01	1.000e+00	2.806e-01
2	9	5.000e-01	2.444e-01	1.000e+00	3.130e-01	1.000e+00	3.130e-01	1.000e+00	3.130e-01	1.000e+00	3.130e-01
3	0	nan	nan	nan	nan	nan	nan	1.000e+00	3.245e-01	1.000e+00	3.245e-01
3	1	nan	nan	1.000e+00	3.055e-01	1.000e+00	3.055e-01	1.000e+00	3.055e-01	1.000e+00	3.055e-01
3	2	nan	nan	1.000e+00	3.365e-01	1.000e+00	3.365e-01	1.000e+00	3.365e-01	1.000e+00	3.365e-01
3	3	nan	nan	1.000e+00	3.241e-01	1.000e+00	3.241e-01	1.000e+00	3.241e-01	1.000e+00	3.241e-01
3	4	1.000e+00	3.576e-01	1.000e+00	3.576e-01	1.000e+00	3.576e-01	1.000e+00	3.576e-01	1.000e+00	3.576e-01
3	5	nan	nan	1.000e+00	4.089e-01	1.000e+00	4.089e-01	1.000e+00	4.089e-01	1.000e+00	4.089e-01
3	6	nan	nan	1.000e+00	4.309e-01	1.000e+00	4.309e-01	1.000e+00	4.309e-01	1.000e+00	4.309e-01
3	7	nan	nan	1.000e+00	4.093e-01	1.000e+00	4.093e-01	1.000e+00	4.093e-01	1.000e+00	4.093e-01
3	8	nan	nan	1.000e+00	3.243e-01	1.000e+00	3.243e-01	1.000e+00	3.243e-01	1.000e+00	3.243e-01
3	9	5.000e-01	3.053e-01	1.000e+00	3.850e-01	1.000e+00	3.850e-01	1.000e+00	3.850e-01	1.000e+00	3.850e-01
4	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	1	nan	nan	nan	nan	1.000e+00	4.124e-01	1.000e+00	4.124e-01	1.000e+00	4.124e-01
4	2	nan	nan	nan	nan	1.000e+00	3.832e-01	1.000e+00	3.832e-01	1.000e+00	3.832e-01
4	3	nan	nan	1.000e+00	4.381e-01	1.000e+00	4.381e-01	1.000e+00	4.381e-01	1.000e+00	4.381e-01
4	4	nan	nan	1.000e+00	5.066e-01	1.000e+00	5.066e-01	1.000e+00	5.066e-01	1.000e+00	5.066e-01
4	5	nan	nan	1.000e+00	4.507e-01	1.000e+00	4.507e-01	1.000e+00	4.507e-01	1.000e+00	4.507e-01
4	6	nan	nan	1.000e+00	4.630e-01	1.000e+00	4.630e-01	1.000e+00	4.630e-01	1.000e+00	4.630e-01
4	7	nan	nan	1.000e+00	4.451e-01	1.000e+00	4.451e-01	1.000e+00	4.451e-01	1.000e+00	4.451e-01
4	8	nan	nan	1.000e+00	5.158e-01	1.000e+00	5.158e-01	1.000e+00	5.158e-01	1.000e+00	5.158e-01
4	9	5.000e-01	5.000e-01	1.000e+00	4.589e-01	1.000e+00	4.589e-01	1.000e+00	4.589e-01	1.000e+00	4.589e-01
5	0	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	6.089e-01
5	1	nan	nan	nan	nan	nan	nan	1.000e+00	5.157e-01	1.000e+00	5.157e-01
5	2	nan	nan	1.000e+00	5.290e-01	1.000e+00	5.290e-01	1.000e+00	5.290e-01	1.000e+00	5.290e-01
5	3	nan	nan	1.000e+00	5.692e-01	1.000e+00	5.692e-01	1.000e+00	5.692e-01	1.000e+00	5.692e-01
5	4	nan	nan	1.000e+00	5.767e-01	1.000e+00	5.767e-01	1.000e+00	5.767e-01	1.000e+00	5.767e-01
5	5	nan	nan	1.000e+00	5.193e-01	1.000e+00	5.193e-01	1.000e+00	5.193e-01	1.000e+00	5.193e-01
5	6	nan	nan	1.000e+00	5.494e-01	1.000e+00	5.494e-01	1.000e+00	5.494e-01	1.000e+00	5.494e-01
5	7	nan	nan	1.000e+00	5.688e-01	1.000e+00	5.688e-01	1.000e+00	5.688e-01	1.000e+00	5.688e-01
5	8	nan	nan	1.000e+00	6.236e-01	1.000e+00	6.236e-01	1.000e+00	6.236e-01	1.000e+00	6.236e-01
5	9	nan	nan	1.000e+00	5.326e-01	1.000e+00	5.326e-01	1.000e+00	5.326e-01	1.000e+00	5.326e-01
6	0	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	6.991e-01
6	1	nan	nan	nan	nan	1.000e+00	6.646e-01	1.000e+00	6.646e-01	1.000e+00	6.646e-01
6	2	nan	nan	1.000e+00	6.952e-01	1.000e+00	6.952e-01	1.000e+00	6.952e-01	1.000e+00	6.952e-01
6	3	nan	nan	1.000e+00	6.869e-01	1.000e+00	6.869e-01	1.000e+00	6.869e-01	1.000e+00	6.869e-01
6	4	nan	nan	1.000e+00	6.948e-01	1.000e+00	6.948e-01	1.000e+00	6.948e-01	1.000e+00	6.948e-01
6	5	nan	nan	1.000e+00	7.418e-01	1.000e+00	7.418e-01	1.000e+00	7.418e-01	1.000e+00	7.418e-01
6	6	nan	nan	1.000e+00	7.196e-01	1.000e+00	7.196e-01	1.000e+00	7.196e-01	1.000e+00	7.196e-01
6	7	nan	nan	1.000e+00	6.978e-01	1.000e+00	6.978e-01	1.000e+00	6.978e-01	1.000e+00	6.978e-01
6	8	nan	nan	1.000e+00	6.264e-01	1.000e+00	6.264e-01	1.000e+00	6.264e-01	1.000e+00	6.264e-01
6	9	9.600e-01	6.188e-01	1.000e+00	6.512e-01	1.000e+00	6.512e-01	1.000e+00	6.512e-01	1.000e+00	6.512e-01
7	0	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	7.849e-01
7	1	nan	nan	1.000e+00	7.634e-01	1.000e+00	7.634e-01	1.000e+00	7.634e-01	1.000e+00	7.634e-01
7	2	nan	nan	1.000e+00	7.884e-01	1.000e+00	7.884e-01	1.000e+00	7.884e-01	1.000e+00	7.884e-01
7	3	nan	nan	1.000e+00	7.275e-01	1.000e+00	7.275e-01	1.000e+00	7.275e-01	1.000e+00	7.275e-01
7	4	nan	nan	1.000e+00	7.711e-01	1.000e+00	7.711e-01	1.000e+00	7.711e-01	1.000e+00	7.711e-01
7	5	nan	nan	1.000e+00	8.143e-01	1.000e+00	8.143e-01	1.000e+00	8.143e-01	1.000e+00	8.143e-01
7	6	nan	nan	1.000e+00	8.358e-01	1.000e+00	8.358e-01	1.000e+00	8.358e-01	1.000e+00	8.358e-01
7	7	nan	nan	1.000e+00	7.572e-01	1.000e+00	7.572e-01	1.000e+00	7.572e-01	1.000e+00	7.572e-01
7	8	nan	nan	1.000e+00	7.807e-01	1.000e+00	7.807e-01	1.000e+00	7.807e-01	1.000e+00	7.807e-01
7	9	nan	nan	1.000e+00	8.603e-01	1.000e+00	8.603e-01	1.000e+00	8.603e-01	1.000e+00	8.603e-01
8	0	nan	nan	nan	nan	nan	nan	1.000e+00	8.645e-01	1.000e+00	8.645e-01
8	1	nan	nan	1.000e+00	9.082e-01	1.000e+00	9.082e-01	1.000e+00	9.082e-01	1.000e+00	9.082e-01
8	2	nan	nan	nan	nan	1.000e+00	8.382e-01	1.000e+00	8.382e-01	1.000e+00	8.382e-01
8	3	nan	nan	1.000e+00	9.410e-01	1.000e+00	9.410e-01	1.000e+00	9.410e-01	1.000e+00	9.410e-01
8	4	nan	nan	1.000e+00	9.029e-01	1.000e+00	9.029e-01	1.000e+00	9.029e-01	1.000e+00	9.029e-01
8	5	nan	nan	1.000e+00	8.560e-01	1.000e+00	8.560e-01	1.000e+00	8.560e-01	1.000e+00	8.560e-01
8	6	nan	nan	1.000e+00	9.496e-01	1.000e+00	9.496e-01	1.000e+00	9.496e-01	1.000e+00	9.496e-01
8	7	nan	nan	1.000e+00	8.967e-01	1.000e+00	8.967e-01	1.000e+00	8.967e-01	1.000e+00	8.967e-01
8	8	nan	nan	1.000e+00	8.805e-01	1.000e+00	8.805e-01	1.000e+00	8.805e-01	1.000e+00	8.805e-01
8	9	nan	nan	1.000e+00	8.680e-01	1.000e+00	8.680e-01	1.000e+00	8.680e-01	1.000e+00	8.680e-01
9	0	nan	nan	1.000e+00	9.825e-01	1.000e+00	9.825e-01	1.000e+00	9.825e-01	1.000e+00	9.825e-01
