x	y	progress.rate.q.0.05.0.00.quality.maturePerformance	progress.rate.q.0.05.0.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.10.quality.maturePerformance	progress.rate.q.0.05.0.10.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.25.quality.maturePerformance	progress.rate.q.0.05.0.25.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.50.quality.maturePerformance	progress.rate.q.0.05.0.50.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.1.00.quality.maturePerformance	progress.rate.q.0.05.1.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.
0	0	nan	nan	-1.000e+00	-9.995e-01	-1.000e+00	-9.995e-01	-1.000e+00	-9.995e-01	-1.000e+00	-9.995e-01
0	1	nan	nan	nan	nan	-1.000e+00	-9.797e-01	-1.000e+00	-9.797e-01	-1.000e+00	-9.797e-01
0	2	nan	nan	nan	nan	-1.000e+00	-9.703e-01	-1.000e+00	-9.703e-01	-1.000e+00	-9.703e-01
0	3	nan	nan	-1.000e+00	-9.633e-01	-1.000e+00	-9.633e-01	-1.000e+00	-9.633e-01	7.400e-01	-9.139e-03
0	4	nan	nan	nan	nan	-1.000e+00	-9.462e-01	-1.000e+00	-9.462e-01	-1.000e+00	-9.462e-01
0	5	nan	nan	-1.000e+00	-8.936e-01	-1.000e+00	-8.936e-01	-1.000e+00	-8.936e-01	5.000e-01	1.241e-01
0	6	nan	nan	-1.000e+00	-8.052e-01	-1.000e+00	-8.052e-01	-5.000e-01	-1.256e-01	4.000e-01	7.993e-02
0	7	nan	nan	-1.000e+00	-5.388e-01	-6.000e-02	-5.660e-02	1.700e-01	-5.588e-02	3.500e-01	2.091e-02
0	8	nan	nan	-1.000e+00	-8.057e-01	-1.000e+00	-8.057e-01	-1.300e-01	5.724e-02	4.000e-01	1.563e-02
0	9	1.500e-01	-1.089e-02	4.500e-01	4.702e-02	4.500e-01	4.702e-02	5.000e-01	6.482e-03	6.500e-01	2.517e-01
1	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	2	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	6	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	7	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	8	nan	nan	nan	nan	nan	nan	7.300e-01	1.890e-01	7.300e-01	1.890e-01
1	9	4.100e-01	2.067e-01	4.700e-01	2.130e-01	5.000e-01	4.865e-02	7.000e-01	3.749e-01	7.000e-01	3.749e-01
2	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	2	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	6	nan	nan	nan	nan	nan	nan	7.900e-01	2.529e-01	1.000e+00	2.116e-01
2	7	nan	nan	nan	nan	nan	nan	9.600e-01	2.501e-01	9.600e-01	2.501e-01
2	8	nan	nan	nan	nan	nan	nan	8.100e-01	2.073e-01	9.800e-01	2.333e-01
2	9	4.500e-01	3.705e-01	5.000e-01	2.793e-01	6.500e-01	1.600e-01	9.500e-01	2.371e-01	9.500e-01	2.371e-01
3	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	2	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
