n.evals.q.1.0.	mopm._.me.hebbian.network.best.quality.inconsistency	mopm._.me.hebbian.network.best.quality.inconsistency.min	mopm._.me.hebbian.network.best.quality.inconsistency.max	mopm._.me.hebbian.layer.best.quality.inconsistency	mopm._.me.hebbian.layer.best.quality.inconsistency.min	mopm._.me.hebbian.layer.best.quality.inconsistency.max	mopm._.me.hebbian.neuron.best.quality.inconsistency	mopm._.me.hebbian.neuron.best.quality.inconsistency.min	mopm._.me.hebbian.neuron.best.quality.inconsistency.max	mopm._.me.hebbian.synapse.best.quality.inconsistency	mopm._.me.hebbian.synapse.best.quality.inconsistency.min	mopm._.me.hebbian.synapse.best.quality.inconsistency.max	mopm._.me.freeForm.best.quality.inconsistency	mopm._.me.freeForm.best.quality.inconsistency.min	mopm._.me.freeForm.best.quality.inconsistency.max
1.000e+02	3.821e-01	3.608e-01	3.971e-01	3.943e-01	3.744e-01	3.971e-01	3.595e-01	3.258e-01	3.986e-01	3.779e-01	3.453e-01	4.171e-01	3.971e-01	3.971e-01	3.971e-01
2.000e+02	3.700e-01	3.597e-01	3.845e-01	3.725e-01	3.592e-01	3.872e-01	3.787e-01	3.436e-01	4.119e-01	3.937e-01	3.690e-01	4.109e-01	3.971e-01	3.971e-01	3.971e-01
3.000e+02	3.601e-01	3.496e-01	3.713e-01	3.704e-01	3.542e-01	3.872e-01	3.610e-01	3.298e-01	3.820e-01	3.770e-01	3.667e-01	4.100e-01	3.971e-01	3.971e-01	3.971e-01
4.000e+02	3.597e-01	3.496e-01	3.682e-01	3.691e-01	3.528e-01	3.748e-01	3.763e-01	3.342e-01	3.988e-01	3.767e-01	3.580e-01	3.872e-01	3.971e-01	3.966e-01	3.971e-01
5.000e+02	3.587e-01	3.496e-01	3.635e-01	3.606e-01	3.496e-01	3.741e-01	3.745e-01	3.342e-01	3.934e-01	3.672e-01	3.525e-01	3.970e-01	3.971e-01	3.966e-01	3.971e-01
6.000e+02	3.584e-01	3.496e-01	3.652e-01	3.547e-01	3.142e-01	3.691e-01	3.707e-01	3.423e-01	3.843e-01	3.831e-01	3.586e-01	3.976e-01	3.971e-01	3.933e-01	3.971e-01
7.000e+02	3.574e-01	3.503e-01	3.652e-01	3.547e-01	3.467e-01	3.628e-01	3.639e-01	3.272e-01	3.810e-01	3.782e-01	3.605e-01	3.872e-01	3.971e-01	3.924e-01	3.971e-01
8.000e+02	3.574e-01	3.496e-01	3.652e-01	3.547e-01	3.461e-01	3.619e-01	3.645e-01	3.262e-01	3.810e-01	3.795e-01	3.538e-01	3.962e-01	3.971e-01	3.932e-01	3.971e-01
9.000e+02	3.573e-01	3.482e-01	3.624e-01	3.542e-01	3.461e-01	3.599e-01	3.622e-01	3.299e-01	3.801e-01	3.686e-01	3.449e-01	3.933e-01	3.971e-01	3.932e-01	3.971e-01
1.000e+03	3.569e-01	3.473e-01	3.612e-01	3.542e-01	3.461e-01	3.599e-01	3.642e-01	3.272e-01	3.810e-01	3.745e-01	3.499e-01	3.962e-01	3.971e-01	3.894e-01	3.971e-01
1.100e+03	3.517e-01	3.470e-01	3.592e-01	3.528e-01	2.814e-01	3.582e-01	3.642e-01	3.272e-01	3.778e-01	3.651e-01	3.433e-01	3.933e-01	3.933e-01	3.891e-01	3.971e-01
1.200e+03	3.517e-01	3.473e-01	3.597e-01	3.528e-01	3.463e-01	3.577e-01	3.671e-01	3.342e-01	3.810e-01	3.651e-01	3.489e-01	3.940e-01	3.933e-01	3.891e-01	3.971e-01
1.300e+03	3.517e-01	3.473e-01	3.574e-01	3.528e-01	3.463e-01	3.577e-01	3.671e-01	3.390e-01	3.810e-01	3.651e-01	3.477e-01	3.933e-01	3.933e-01	3.871e-01	3.971e-01
1.400e+03	3.517e-01	3.482e-01	3.597e-01	3.528e-01	3.465e-01	3.571e-01	3.671e-01	3.331e-01	3.810e-01	3.651e-01	3.516e-01	3.884e-01	3.933e-01	3.871e-01	3.971e-01
1.500e+03	3.517e-01	3.482e-01	3.574e-01	3.505e-01	3.465e-01	3.543e-01	3.671e-01	3.331e-01	3.810e-01	3.731e-01	3.518e-01	3.884e-01	3.933e-01	3.871e-01	3.971e-01
1.600e+03	3.517e-01	3.473e-01	3.573e-01	3.505e-01	3.465e-01	3.543e-01	3.671e-01	3.282e-01	3.802e-01	3.649e-01	3.419e-01	3.886e-01	3.933e-01	3.871e-01	3.971e-01
1.700e+03	3.515e-01	3.467e-01	3.552e-01	3.500e-01	3.461e-01	3.543e-01	3.671e-01	3.282e-01	3.766e-01	3.621e-01	3.284e-01	3.906e-01	3.918e-01	3.866e-01	3.971e-01
1.800e+03	3.497e-01	3.462e-01	3.544e-01	3.486e-01	3.461e-01	3.528e-01	3.671e-01	3.269e-01	3.766e-01	3.619e-01	3.274e-01	3.829e-01	3.895e-01	3.866e-01	3.971e-01
1.900e+03	3.497e-01	3.462e-01	3.544e-01	3.500e-01	3.461e-01	3.528e-01	3.700e-01	3.269e-01	3.766e-01	3.563e-01	3.274e-01	3.810e-01	3.894e-01	3.814e-01	3.971e-01
