n.evals.q.1.0.	mopm._.me.hebbian.network.best.quality.increase	mopm._.me.hebbian.network.best.quality.increase.min	mopm._.me.hebbian.network.best.quality.increase.max	mopm._.me.hebbian.layer.best.quality.increase	mopm._.me.hebbian.layer.best.quality.increase.min	mopm._.me.hebbian.layer.best.quality.increase.max	mopm._.me.hebbian.neuron.best.quality.increase	mopm._.me.hebbian.neuron.best.quality.increase.min	mopm._.me.hebbian.neuron.best.quality.increase.max	mopm._.me.hebbian.synapse.best.quality.increase	mopm._.me.hebbian.synapse.best.quality.increase.min	mopm._.me.hebbian.synapse.best.quality.increase.max	mopm._.me.freeForm.best.quality.increase	mopm._.me.freeForm.best.quality.increase.min	mopm._.me.freeForm.best.quality.increase.max
1.000e+02	1.943e-01	1.551e-01	2.961e-01	1.622e-01	9.315e-02	1.852e-01	1.983e-01	1.483e-01	2.350e-01	1.202e-01	7.679e-02	1.754e-01	1.663e-03	-6.015e-03	4.402e-02
2.000e+02	1.713e-01	1.390e-01	2.417e-01	1.852e-01	9.859e-02	3.109e-01	2.218e-01	1.736e-01	2.506e-01	1.466e-01	9.859e-02	1.850e-01	6.191e-03	-5.984e-03	4.394e-02
3.000e+02	1.771e-01	1.411e-01	2.126e-01	1.778e-01	8.270e-02	3.109e-01	1.940e-01	1.515e-01	2.571e-01	1.590e-01	9.859e-02	1.869e-01	6.654e-03	-3.778e-03	5.118e-02
4.000e+02	1.841e-01	1.639e-01	2.381e-01	1.948e-01	1.099e-01	3.642e-01	1.963e-01	1.410e-01	2.735e-01	1.384e-01	7.851e-02	1.766e-01	6.910e-03	-1.490e-03	5.578e-02
5.000e+02	1.771e-01	1.542e-01	2.052e-01	1.953e-01	1.105e-01	3.642e-01	1.963e-01	1.437e-01	2.415e-01	1.440e-01	1.204e-01	1.809e-01	6.910e-03	-1.490e-03	5.578e-02
6.000e+02	1.771e-01	1.542e-01	2.410e-01	1.953e-01	1.101e-01	4.180e-01	1.901e-01	1.555e-01	2.415e-01	1.639e-01	1.278e-01	1.926e-01	1.261e-02	-2.260e-05	8.215e-02
7.000e+02	1.760e-01	1.423e-01	2.257e-01	2.189e-01	1.166e-01	4.727e-01	2.014e-01	1.555e-01	2.785e-01	1.721e-01	1.278e-01	1.990e-01	1.261e-02	-2.260e-05	1.900e-01
8.000e+02	1.760e-01	1.423e-01	1.929e-01	1.792e-01	1.101e-01	3.642e-01	2.109e-01	1.538e-01	2.797e-01	1.695e-01	1.266e-01	1.990e-01	1.261e-02	-2.260e-05	8.170e-02
9.000e+02	1.763e-01	1.384e-01	2.057e-01	1.901e-01	1.166e-01	4.180e-01	2.109e-01	1.467e-01	2.797e-01	1.866e-01	1.303e-01	2.038e-01	1.261e-02	-2.260e-05	6.286e-02
1.000e+03	1.820e-01	1.527e-01	2.094e-01	1.901e-01	1.166e-01	3.787e-01	1.948e-01	1.603e-01	2.415e-01	1.944e-01	1.391e-01	2.057e-01	2.106e-02	2.564e-04	1.327e-01
