n.evals.q.1.0.	mopm._.me.hebbian.network.best.quality.maturePerformance	mopm._.me.hebbian.network.best.quality.maturePerformance.min	mopm._.me.hebbian.network.best.quality.maturePerformance.max	mopm._.me.hebbian.layer.best.quality.maturePerformance	mopm._.me.hebbian.layer.best.quality.maturePerformance.min	mopm._.me.hebbian.layer.best.quality.maturePerformance.max	mopm._.me.hebbian.neuron.best.quality.maturePerformance	mopm._.me.hebbian.neuron.best.quality.maturePerformance.min	mopm._.me.hebbian.neuron.best.quality.maturePerformance.max	mopm._.me.hebbian.synapse.best.quality.maturePerformance	mopm._.me.hebbian.synapse.best.quality.maturePerformance.min	mopm._.me.hebbian.synapse.best.quality.maturePerformance.max	mopm._.me.freeForm.best.quality.maturePerformance	mopm._.me.freeForm.best.quality.maturePerformance.min	mopm._.me.freeForm.best.quality.maturePerformance.max
1.000e+02	4.396e-01	4.340e-01	4.479e-01	4.340e-01	4.340e-01	4.514e-01	4.045e-01	3.559e-01	4.319e-01	3.177e-01	2.875e-01	3.507e-01	4.340e-01	4.340e-01	4.340e-01
2.000e+02	4.479e-01	4.410e-01	4.597e-01	4.528e-01	4.375e-01	4.604e-01	4.635e-01	4.323e-01	5.052e-01	3.882e-01	3.503e-01	4.122e-01	4.340e-01	4.340e-01	4.340e-01
3.000e+02	4.590e-01	4.444e-01	4.653e-01	4.549e-01	4.424e-01	4.618e-01	5.052e-01	4.740e-01	5.104e-01	4.167e-01	3.990e-01	4.361e-01	4.340e-01	4.340e-01	4.354e-01
4.000e+02	4.611e-01	4.514e-01	4.660e-01	4.563e-01	4.514e-01	4.660e-01	5.104e-01	4.983e-01	5.208e-01	4.344e-01	4.069e-01	4.462e-01	4.340e-01	4.340e-01	4.375e-01
5.000e+02	4.639e-01	4.514e-01	4.660e-01	4.618e-01	4.528e-01	4.681e-01	5.118e-01	5.035e-01	5.243e-01	4.712e-01	4.333e-01	4.896e-01	4.340e-01	4.340e-01	4.375e-01
6.000e+02	4.646e-01	4.549e-01	4.674e-01	4.653e-01	4.549e-01	4.694e-01	5.142e-01	5.052e-01	5.295e-01	4.813e-01	4.535e-01	4.955e-01	4.340e-01	4.340e-01	4.410e-01
7.000e+02	4.653e-01	4.549e-01	4.694e-01	4.656e-01	4.604e-01	4.694e-01	5.240e-01	5.104e-01	5.313e-01	4.927e-01	4.566e-01	5.052e-01	4.354e-01	4.340e-01	4.410e-01
8.000e+02	4.653e-01	4.549e-01	4.708e-01	4.667e-01	4.604e-01	4.694e-01	5.264e-01	5.122e-01	5.347e-01	4.962e-01	4.653e-01	5.174e-01	4.354e-01	4.340e-01	4.410e-01
9.000e+02	4.653e-01	4.549e-01	4.715e-01	4.681e-01	4.618e-01	4.708e-01	5.295e-01	5.132e-01	5.382e-01	5.045e-01	4.715e-01	5.191e-01	4.354e-01	4.340e-01	4.417e-01
1.000e+03	4.653e-01	4.576e-01	4.715e-01	4.681e-01	4.625e-01	4.708e-01	5.344e-01	5.142e-01	5.476e-01	5.115e-01	4.816e-01	5.236e-01	4.375e-01	4.340e-01	4.417e-01
1.100e+03	4.674e-01	4.576e-01	4.715e-01	4.681e-01	4.646e-01	4.715e-01	5.347e-01	5.191e-01	5.573e-01	5.115e-01	4.931e-01	5.236e-01	4.375e-01	4.340e-01	4.444e-01
1.200e+03	4.688e-01	4.646e-01	4.729e-01	4.688e-01	4.653e-01	4.736e-01	5.385e-01	5.191e-01	5.573e-01	5.122e-01	5.000e-01	5.299e-01	4.375e-01	4.340e-01	4.479e-01
