x	y	progress.rate.q.0.05.0.00.fitness	progress.rate.q.0.05.0.00.frozen	progress.rate.q.0.05.0.10.fitness	progress.rate.q.0.05.0.10.frozen	progress.rate.q.0.05.0.25.fitness	progress.rate.q.0.05.0.25.frozen	progress.rate.q.0.05.0.50.fitness	progress.rate.q.0.05.0.50.frozen	progress.rate.q.0.05.1.00.fitness	progress.rate.q.0.05.1.00.frozen
0	0	nan	nan	4.340e-01	7.224e-03	4.469e-01	2.162e-02	4.642e-01	2.474e-02	4.684e-01	2.494e-02
0	1	4.167e-01	1.371e-02	4.340e-01	2.961e-02	4.608e-01	5.500e-02	4.712e-01	4.498e-02	4.757e-01	6.662e-02
0	2	nan	nan	4.608e-01	6.380e-02	4.608e-01	6.380e-02	4.705e-01	6.695e-02	4.760e-01	8.210e-02
0	3	nan	nan	4.712e-01	1.205e-01	4.712e-01	1.205e-01	4.712e-01	1.205e-01	4.767e-01	1.259e-01
0	4	nan	nan	4.340e-01	3.248e-02	4.646e-01	1.472e-01	4.757e-01	1.447e-01	4.760e-01	1.665e-01
0	5	nan	nan	4.604e-01	1.506e-01	4.708e-01	1.751e-01	4.757e-01	1.396e-01	4.760e-01	1.411e-01
0	6	nan	nan	4.344e-01	1.273e-01	4.587e-01	1.848e-01	4.757e-01	1.768e-01	4.757e-01	1.768e-01
0	7	nan	nan	4.368e-01	1.510e-01	4.722e-01	2.206e-01	4.750e-01	1.937e-01	4.757e-01	2.240e-01
0	8	4.167e-01	9.601e-02	4.375e-01	1.744e-01	4.576e-01	2.275e-01	4.743e-01	2.338e-01	4.757e-01	2.421e-01
0	9	4.340e-01	4.219e-01	4.354e-01	2.144e-01	4.510e-01	2.760e-01	4.757e-01	2.545e-01	4.771e-01	2.894e-01
1	0	nan	nan	4.167e-01	1.623e-02	4.167e-01	1.623e-02	4.167e-01	1.623e-02	4.167e-01	1.623e-02
1	1	nan	nan	4.243e-01	3.616e-02	4.313e-01	3.155e-02	4.479e-01	6.514e-02	4.587e-01	6.890e-02
1	2	nan	nan	4.167e-01	6.119e-02	4.597e-01	6.088e-02	4.715e-01	8.735e-02	4.722e-01	1.060e-01
1	3	nan	nan	4.313e-01	6.060e-02	4.438e-01	1.318e-01	4.705e-01	1.239e-01	4.753e-01	1.339e-01
1	4	nan	nan	4.306e-01	1.313e-01	4.667e-01	1.514e-01	4.722e-01	1.585e-01	4.757e-01	1.467e-01
1	5	nan	nan	4.167e-01	1.034e-01	4.639e-01	1.683e-01	4.757e-01	1.511e-01	4.757e-01	1.511e-01
1	6	nan	nan	4.340e-01	4.038e-02	4.684e-01	1.784e-01	4.750e-01	2.126e-01	4.757e-01	2.188e-01
1	7	nan	nan	4.340e-01	6.906e-02	4.340e-01	6.906e-02	4.757e-01	1.935e-01	4.757e-01	1.935e-01
1	8	nan	nan	4.340e-01	9.540e-02	4.594e-01	2.479e-01	4.757e-01	2.279e-01	4.760e-01	2.300e-01
1	9	4.736e-01	4.552e-01	4.736e-01	4.552e-01	4.736e-01	4.552e-01	4.757e-01	4.635e-01	4.767e-01	3.198e-01
2	0	nan	nan	4.167e-01	1.699e-02	4.167e-01	1.699e-02	4.167e-01	1.699e-02	4.167e-01	1.699e-02
2	1	nan	nan	4.257e-01	4.758e-02	4.257e-01	4.758e-02	4.271e-01	7.189e-02	4.271e-01	7.189e-02
2	2	nan	nan	4.229e-01	7.629e-02	4.340e-01	1.037e-01	4.340e-01	1.037e-01	4.354e-01	8.645e-02
2	3	nan	nan	4.167e-01	6.890e-02	4.306e-01	9.429e-02	4.340e-01	1.307e-01	4.375e-01	1.004e-01
2	4	nan	nan	4.167e-01	7.754e-02	4.434e-01	1.111e-01	4.434e-01	1.111e-01	4.434e-01	1.111e-01
2	5	nan	nan	4.167e-01	1.119e-01	4.438e-01	1.645e-01	4.542e-01	1.856e-01	4.660e-01	1.937e-01
2	6	nan	nan	4.340e-01	5.484e-02	4.451e-01	1.210e-01	4.632e-01	1.748e-01	4.722e-01	1.597e-01
2	7	nan	nan	4.340e-01	9.992e-02	4.354e-01	1.161e-01	4.694e-01	2.370e-01	4.722e-01	2.370e-01
2	8	nan	nan	4.340e-01	1.110e-01	4.444e-01	2.155e-01	4.646e-01	2.102e-01	4.757e-01	2.435e-01
2	9	4.299e-01	4.217e-01	4.667e-01	4.427e-01	4.688e-01	4.199e-01	4.757e-01	4.635e-01	4.764e-01	2.800e-01
3	0	nan	nan	-3.722e-01	-1.348e-03	4.167e-01	6.781e-03	4.167e-01	6.781e-03	4.167e-01	6.781e-03
3	1	nan	nan	4.167e-01	3.740e-02	4.167e-01	3.740e-02	4.250e-01	5.128e-02	4.250e-01	5.128e-02
3	2	nan	nan	4.167e-01	5.405e-02	4.306e-01	2.953e-02	4.306e-01	2.953e-02	4.410e-01	8.125e-02
3	3	nan	nan	4.167e-01	6.816e-02	4.306e-01	9.265e-02	4.375e-01	1.084e-01	4.410e-01	1.251e-01
3	4	nan	nan	4.167e-01	9.635e-02	4.306e-01	1.166e-01	4.375e-01	1.100e-01	4.375e-01	1.100e-01
3	5	nan	nan	4.167e-01	1.143e-01	4.375e-01	1.041e-01	4.507e-01	9.417e-02	4.507e-01	9.417e-02
3	6	nan	nan	4.285e-01	1.618e-01	4.340e-01	1.298e-01	4.410e-01	1.894e-01	4.528e-01	1.120e-01
3	7	nan	nan	4.340e-01	9.597e-02	4.340e-01	9.597e-02	4.576e-01	1.696e-01	4.583e-01	1.762e-01
3	8	nan	nan	4.340e-01	1.057e-01	4.340e-01	1.057e-01	4.340e-01	1.057e-01	4.514e-01	1.899e-01
3	9	4.271e-01	4.121e-01	4.611e-01	4.323e-01	4.743e-01	4.551e-01	4.743e-01	4.551e-01	4.757e-01	4.534e-01
4	0	nan	nan	nan	nan	nan	nan	-4.167e-01	-5.779e-04	-4.167e-01	-5.779e-04
4	1	nan	nan	nan	nan	4.167e-01	2.588e-02	4.167e-01	2.588e-02	4.167e-01	2.588e-02
4	2	nan	nan	nan	nan	4.167e-01	4.998e-02	4.236e-01	7.682e-02	4.264e-01	9.762e-02
4	3	nan	nan	nan	nan	4.167e-01	5.492e-02	4.306e-01	8.920e-02	4.410e-01	1.038e-01
4	4	nan	nan	4.167e-01	6.924e-02	4.368e-01	8.303e-02	4.410e-01	1.151e-01	4.410e-01	1.119e-01
4	5	nan	nan	4.167e-01	1.271e-01	4.306e-01	1.023e-01	4.444e-01	1.441e-01	4.590e-01	1.195e-01
4	6	nan	nan	4.306e-01	1.109e-01	4.354e-01	1.274e-01	4.444e-01	1.855e-01	4.444e-01	1.855e-01
4	7	nan	nan	4.292e-01	1.927e-01	4.313e-01	2.283e-01	4.410e-01	1.730e-01	4.528e-01	1.565e-01
4	8	nan	nan	4.486e-01	1.882e-01	4.486e-01	1.882e-01	4.549e-01	1.715e-01	4.632e-01	2.143e-01
4	9	4.340e-01	4.219e-01	4.722e-01	4.534e-01	4.722e-01	4.534e-01	4.743e-01	4.634e-01	4.743e-01	4.634e-01
5	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	2	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	5	nan	nan	nan	nan	nan	nan	4.167e-01	1.193e-01	4.167e-01	1.193e-01
5	6	nan	nan	nan	nan	nan	nan	4.340e-01	1.601e-01	4.410e-01	1.667e-01
5	7	nan	nan	nan	nan	4.177e-01	1.349e-01	4.444e-01	1.353e-01	4.444e-01	1.353e-01
5	8	nan	nan	4.340e-01	1.955e-01	4.340e-01	1.955e-01	4.444e-01	2.311e-01	4.479e-01	2.359e-01
5	9	nan	nan	4.549e-01	4.323e-01	4.743e-01	4.495e-01	4.743e-01	4.495e-01	4.743e-01	4.495e-01
6	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
6	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
6	2	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
6	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
6	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
6	5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
6	6	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
6	7	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
6	8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
6	9	nan	nan	4.514e-01	4.220e-01	4.681e-01	4.531e-01	4.757e-01	4.634e-01	4.757e-01	4.634e-01
7	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
7	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
7	2	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
7	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
7	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
7	5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
7	6	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
7	7	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
7	8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
