x	y	progress.rate.q.0.05.0.00.fitness	progress.rate.q.0.05.0.00.frozen	progress.rate.q.0.05.0.10.fitness	progress.rate.q.0.05.0.10.frozen	progress.rate.q.0.05.0.25.fitness	progress.rate.q.0.05.0.25.frozen	progress.rate.q.0.05.0.50.fitness	progress.rate.q.0.05.0.50.frozen	progress.rate.q.0.05.1.00.fitness	progress.rate.q.0.05.1.00.frozen
0	0	-4.160e-01	-2.150e-03	4.302e-01	1.131e-02	4.340e-01	4.877e-03	4.340e-01	4.877e-03	4.340e-01	4.877e-03
0	1	nan	nan	4.337e-01	2.501e-02	4.337e-01	2.501e-02	4.351e-01	2.526e-02	4.351e-01	2.526e-02
0	2	nan	nan	4.299e-01	3.299e-02	4.299e-01	3.299e-02	4.403e-01	3.140e-02	4.403e-01	3.140e-02
0	3	nan	nan	4.236e-01	5.747e-02	4.403e-01	4.987e-02	4.403e-01	4.987e-02	4.403e-01	4.987e-02
0	4	nan	nan	4.271e-01	7.965e-02	4.483e-01	6.733e-02	4.483e-01	6.733e-02	4.483e-01	6.733e-02
0	5	-3.472e-01	-5.228e-02	4.337e-01	7.702e-02	4.337e-01	7.702e-02	4.396e-01	8.853e-02	4.396e-01	8.853e-02
0	6	-1.806e-01	-7.579e-02	4.271e-01	9.009e-02	4.340e-01	9.796e-02	4.444e-01	9.131e-02	4.444e-01	9.131e-02
0	7	nan	nan	4.271e-01	1.042e-01	4.354e-01	1.188e-01	4.354e-01	1.188e-01	4.444e-01	1.155e-01
0	8	1.667e-01	1.045e-02	4.340e-01	9.137e-02	4.340e-01	9.137e-02	4.476e-01	1.278e-01	4.476e-01	1.278e-01
0	9	4.229e-01	4.219e-01	4.479e-01	2.844e-01	4.757e-01	4.531e-01	4.757e-01	4.531e-01	4.757e-01	4.531e-01
1	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	2	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	6	nan	nan	2.847e-01	8.193e-03	3.885e-01	9.801e-02	3.885e-01	9.801e-02	3.924e-01	2.761e-02
1	7	nan	nan	3.715e-01	4.731e-02	4.340e-01	1.196e-01	4.340e-01	1.196e-01	4.340e-01	1.196e-01
1	8	4.340e-01	8.932e-02	4.340e-01	8.932e-02	4.340e-01	8.932e-02	4.340e-01	8.932e-02	4.479e-01	1.386e-01
1	9	4.340e-01	4.219e-01	4.757e-01	4.632e-01	4.757e-01	4.632e-01	4.757e-01	4.632e-01	4.757e-01	4.632e-01
2	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	2	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	6	nan	nan	nan	nan	nan	nan	nan	nan	2.674e-01	9.257e-03
2	7	nan	nan	4.118e-01	1.088e-01	4.340e-01	5.065e-02	4.340e-01	5.065e-02	4.340e-01	5.065e-02
2	8	nan	nan	4.340e-01	1.032e-01	4.340e-01	1.032e-01	4.340e-01	1.032e-01	4.340e-01	1.032e-01
2	9	4.465e-01	4.323e-01	4.674e-01	4.427e-01	4.722e-01	4.531e-01	4.722e-01	4.531e-01	4.743e-01	4.632e-01
3	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	2	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	6	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	7	nan	nan	nan	nan	3.587e-01	8.262e-02	3.587e-01	8.262e-02	3.587e-01	8.262e-02
3	8	nan	nan	3.993e-01	1.209e-01	4.340e-01	9.492e-02	4.340e-01	9.492e-02	4.340e-01	9.492e-02
3	9	1.979e-01	1.719e-01	4.646e-01	4.427e-01	4.694e-01	4.510e-01	4.722e-01	4.635e-01	4.722e-01	4.635e-01
4	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	2	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	6	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	7	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	8	nan	nan	2.951e-01	5.034e-02	3.816e-01	7.772e-02	3.816e-01	7.772e-02	4.063e-01	8.269e-02
4	9	1.979e-01	1.719e-01	4.340e-01	4.219e-01	4.340e-01	4.219e-01	4.444e-01	4.318e-01	4.444e-01	4.318e-01
5	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	2	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	6	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
