n.evals.q.1.0.	parity._.me.hebbian.network.best.quality.inconsistency	parity._.me.hebbian.network.best.quality.inconsistency.min	parity._.me.hebbian.network.best.quality.inconsistency.max	parity._.me.hebbian.layer.best.quality.inconsistency	parity._.me.hebbian.layer.best.quality.inconsistency.min	parity._.me.hebbian.layer.best.quality.inconsistency.max	parity._.me.hebbian.neuron.best.quality.inconsistency	parity._.me.hebbian.neuron.best.quality.inconsistency.min	parity._.me.hebbian.neuron.best.quality.inconsistency.max	parity._.me.hebbian.synapse.best.quality.inconsistency	parity._.me.hebbian.synapse.best.quality.inconsistency.min	parity._.me.hebbian.synapse.best.quality.inconsistency.max	parity._.me.freeForm.best.quality.inconsistency	parity._.me.freeForm.best.quality.inconsistency.min	parity._.me.freeForm.best.quality.inconsistency.max
1.000e+02	9.626e-01	9.002e-01	9.626e-01	8.002e-01	6.625e-01	8.887e-01	6.659e-01	4.725e-01	7.496e-01	9.229e-01	8.812e-01	9.378e-01	9.451e-01	8.888e-01	9.626e-01
2.000e+02	9.608e-01	6.963e-01	9.626e-01	6.941e-01	4.777e-01	8.187e-01	5.810e-01	3.861e-01	6.614e-01	9.003e-01	8.651e-01	9.330e-01	8.906e-01	8.793e-01	9.451e-01
3.000e+02	9.608e-01	6.963e-01	9.626e-01	6.625e-01	4.102e-01	8.002e-01	4.733e-01	3.839e-01	6.428e-01	9.069e-01	8.651e-01	9.175e-01	8.888e-01	8.765e-01	8.992e-01
4.000e+02	9.608e-01	6.963e-01	9.626e-01	4.777e-01	2.623e-01	8.002e-01	4.725e-01	3.954e-01	6.366e-01	8.850e-01	8.158e-01	9.060e-01	8.888e-01	8.658e-01	8.888e-01
5.000e+02	9.608e-01	6.963e-01	9.626e-01	4.585e-01	2.623e-01	7.152e-01	4.777e-01	3.906e-01	6.155e-01	8.777e-01	7.969e-01	9.008e-01	8.888e-01	8.651e-01	8.888e-01
6.000e+02	9.532e-01	6.468e-01	9.626e-01	3.797e-01	2.119e-01	5.457e-01	4.733e-01	3.511e-01	5.380e-01	8.564e-01	7.616e-01	8.850e-01	8.888e-01	8.648e-01	8.888e-01
7.000e+02	9.532e-01	6.468e-01	9.626e-01	3.986e-01	2.026e-01	5.598e-01	4.535e-01	3.055e-01	5.209e-01	8.547e-01	7.539e-01	8.796e-01	8.888e-01	8.541e-01	8.888e-01
8.000e+02	9.532e-01	6.468e-01	9.626e-01	3.986e-01	2.026e-01	5.598e-01	4.361e-01	3.052e-01	5.027e-01	8.357e-01	7.013e-01	8.776e-01	8.871e-01	8.541e-01	8.888e-01
9.000e+02	9.532e-01	6.468e-01	9.626e-01	3.797e-01	2.026e-01	5.598e-01	3.991e-01	3.413e-01	4.905e-01	7.969e-01	6.843e-01	8.660e-01	8.867e-01	8.524e-01	8.888e-01
1.000e+03	9.532e-01	6.468e-01	9.626e-01	3.575e-01	2.119e-01	5.598e-01	3.951e-01	3.310e-01	4.890e-01	7.812e-01	7.039e-01	8.547e-01	8.777e-01	8.392e-01	8.888e-01
