n.evals.q.1.0.	parity._.me.hebbian.network.best.quality.increase	parity._.me.hebbian.network.best.quality.increase.min	parity._.me.hebbian.network.best.quality.increase.max	parity._.me.hebbian.layer.best.quality.increase	parity._.me.hebbian.layer.best.quality.increase.min	parity._.me.hebbian.layer.best.quality.increase.max	parity._.me.hebbian.neuron.best.quality.increase	parity._.me.hebbian.neuron.best.quality.increase.min	parity._.me.hebbian.neuron.best.quality.increase.max	parity._.me.hebbian.synapse.best.quality.increase	parity._.me.hebbian.synapse.best.quality.increase.min	parity._.me.hebbian.synapse.best.quality.increase.max	parity._.me.freeForm.best.quality.increase	parity._.me.freeForm.best.quality.increase.min	parity._.me.freeForm.best.quality.increase.max
1.000e+02	2.357e-01	1.531e-01	2.771e-01	3.660e-01	2.849e-01	4.696e-01	4.927e-01	2.847e-01	5.548e-01	3.172e-01	2.723e-01	3.722e-01	3.197e-02	-1.117e-01	2.827e-01
2.000e+02	1.595e-01	3.882e-02	2.599e-01	2.849e-01	1.557e-01	3.914e-01	4.235e-01	2.605e-01	5.610e-01	3.477e-01	3.172e-01	3.808e-01	2.541e-01	-5.382e-02	3.106e-01
3.000e+02	1.595e-01	3.882e-02	2.599e-01	2.197e-01	9.418e-02	3.005e-01	4.395e-01	2.371e-01	5.787e-01	3.758e-01	3.241e-01	4.205e-01	3.106e-01	1.980e-01	4.020e-01
4.000e+02	1.595e-01	3.882e-02	2.599e-01	1.557e-01	7.793e-02	2.893e-01	4.395e-01	2.371e-01	5.787e-01	3.647e-01	3.181e-01	4.540e-01	3.091e-01	1.760e-01	4.081e-01
5.000e+02	1.595e-01	3.882e-02	2.599e-01	1.247e-01	7.793e-02	2.849e-01	4.752e-01	2.495e-01	5.787e-01	3.779e-01	3.160e-01	4.942e-01	3.106e-01	2.020e-01	3.953e-01
6.000e+02	1.888e-01	3.882e-02	2.599e-01	9.832e-02	7.209e-02	2.241e-01	4.752e-01	2.766e-01	5.082e-01	4.060e-01	3.160e-01	5.009e-01	3.120e-01	2.058e-01	3.953e-01
7.000e+02	1.888e-01	3.882e-02	2.599e-01	1.247e-01	7.209e-02	2.370e-01	4.551e-01	2.605e-01	5.305e-01	4.236e-01	3.008e-01	5.076e-01	3.182e-01	2.116e-01	3.953e-01
8.000e+02	1.888e-01	3.882e-02	2.599e-01	1.087e-01	7.059e-02	2.370e-01	4.484e-01	2.664e-01	5.762e-01	4.060e-01	3.073e-01	4.954e-01	2.739e-01	2.027e-01	3.906e-01
9.000e+02	2.053e-01	3.882e-02	2.654e-01	1.212e-01	7.209e-02	2.241e-01	4.244e-01	2.770e-01	5.305e-01	4.199e-01	3.058e-01	4.954e-01	2.739e-01	1.945e-01	3.831e-01
1.000e+03	2.053e-01	3.882e-02	2.654e-01	1.337e-01	7.209e-02	2.319e-01	4.244e-01	2.951e-01	5.082e-01	4.313e-01	3.058e-01	5.143e-01	2.739e-01	1.680e-01	3.744e-01
1.100e+03	2.053e-01	3.882e-02	2.654e-01	1.436e-01	7.059e-02	2.475e-01	4.187e-01	2.667e-01	4.935e-01	4.435e-01	3.304e-01	5.143e-01	3.106e-01	1.680e-01	3.774e-01
1.200e+03	2.053e-01	3.882e-02	2.654e-01	1.247e-01	8.617e-02	2.475e-01	4.026e-01	2.667e-01	4.860e-01	4.435e-01	2.986e-01	5.394e-01	3.020e-01	2.027e-01	3.774e-01
1.300e+03	2.053e-01	3.882e-02	2.654e-01	1.436e-01	8.923e-02	2.475e-01	3.792e-01	2.495e-01	4.759e-01	4.435e-01	2.941e-01	5.394e-01	2.905e-01	1.852e-01	3.774e-01
1.400e+03	2.053e-01	3.882e-02	2.654e-01	1.436e-01	9.058e-02	2.475e-01	3.792e-01	2.495e-01	4.759e-01	4.261e-01	2.909e-01	4.973e-01	2.880e-01	1.852e-01	3.743e-01
1.500e+03	2.053e-01	3.882e-02	2.654e-01	1.326e-01	9.058e-02	2.475e-01	2.951e-01	2.485e-01	4.619e-01	4.261e-01	2.941e-01	4.958e-01	2.880e-01	1.852e-01	3.743e-01
1.600e+03	2.053e-01	3.882e-02	2.654e-01	1.326e-01	9.058e-02	2.475e-01	2.951e-01	2.485e-01	4.729e-01	3.649e-01	2.909e-01	4.973e-01	2.880e-01	1.852e-01	3.743e-01
