x	y	progress.rate.q.0.05.0.00.fitness	progress.rate.q.0.05.0.00.frozen	progress.rate.q.0.05.0.10.fitness	progress.rate.q.0.05.0.10.frozen	progress.rate.q.0.05.0.25.fitness	progress.rate.q.0.05.0.25.frozen	progress.rate.q.0.05.0.50.fitness	progress.rate.q.0.05.0.50.frozen	progress.rate.q.0.05.1.00.fitness	progress.rate.q.0.05.1.00.frozen
0	0	8.750e-02	-9.795e-13	1.458e-01	4.004e-12	3.917e-01	8.463e-03	4.583e-01	8.945e-03	7.500e-01	8.374e-03
0	1	nan	nan	3.250e-01	1.987e-02	5.042e-01	1.719e-02	5.875e-01	2.636e-02	7.208e-01	2.546e-02
0	2	nan	nan	3.708e-01	3.954e-06	5.042e-01	1.067e-02	5.875e-01	5.396e-02	8.750e-01	5.913e-02
0	3	nan	nan	3.458e-01	3.753e-06	5.667e-01	9.607e-02	5.667e-01	9.607e-02	8.750e-01	7.108e-02
0	4	nan	nan	3.750e-01	2.039e-05	5.125e-01	3.254e-02	6.917e-01	1.205e-01	8.750e-01	1.058e-01
0	5	nan	nan	2.958e-01	7.055e-02	5.500e-01	9.699e-02	7.125e-01	9.447e-02	7.792e-01	8.039e-02
0	6	nan	nan	3.375e-01	1.035e-01	5.417e-01	1.326e-02	7.208e-01	5.114e-02	7.208e-01	5.114e-02
0	7	nan	nan	3.583e-01	2.705e-02	4.667e-01	1.998e-02	7.000e-01	8.624e-02	7.000e-01	8.624e-02
0	8	nan	nan	3.833e-01	1.024e-01	6.000e-01	4.002e-02	7.208e-01	4.711e-02	7.500e-01	8.023e-02
0	9	2.708e-01	2.500e-01	4.583e-01	6.850e-02	7.500e-01	3.129e-01	7.917e-01	3.092e-01	7.917e-01	3.092e-01
1	0	nan	nan	1.458e-01	-4.117e-07	1.458e-01	-4.117e-07	3.083e-01	4.732e-03	5.833e-01	5.303e-03
1	1	nan	nan	8.750e-02	-4.119e-07	3.292e-01	8.481e-03	3.542e-01	8.251e-03	5.833e-01	5.260e-03
1	2	nan	nan	1.458e-01	-4.115e-07	3.667e-01	2.657e-02	4.125e-01	2.208e-02	5.833e-01	2.243e-02
1	3	nan	nan	1.250e-01	-4.118e-07	3.833e-01	5.600e-02	4.333e-01	1.337e-02	8.750e-01	9.994e-02
1	4	nan	nan	1.458e-01	-4.119e-07	3.583e-01	2.908e-02	3.833e-01	7.980e-02	8.750e-01	1.132e-01
1	5	nan	nan	1.292e-01	-4.116e-07	3.000e-01	2.927e-02	3.875e-01	5.819e-02	8.208e-01	1.245e-01
1	6	nan	nan	1.042e-01	-3.154e-06	2.542e-01	6.497e-02	7.167e-01	1.374e-01	8.000e-01	1.616e-01
1	7	nan	nan	2.000e-01	-2.621e-04	2.000e-01	-2.621e-04	6.167e-01	2.951e-01	7.917e-01	3.704e-01
1	8	nan	nan	1.917e-01	-6.245e-04	3.042e-01	-5.773e-10	4.167e-01	2.314e-01	7.417e-01	1.725e-01
1	9	2.708e-01	2.500e-01	5.708e-01	3.187e-01	7.500e-01	5.419e-01	7.917e-01	3.117e-01	7.917e-01	3.117e-01
2	0	nan	nan	8.750e-02	-1.530e-07	2.458e-01	-1.458e-03	2.958e-01	7.218e-03	5.833e-01	1.694e-02
2	1	nan	nan	nan	nan	3.458e-01	1.478e-02	4.083e-01	8.008e-03	7.500e-01	2.566e-02
2	2	nan	nan	nan	nan	3.875e-01	1.315e-02	3.875e-01	1.315e-02	5.833e-01	3.828e-02
2	3	nan	nan	nan	nan	4.167e-01	4.962e-02	4.333e-01	2.716e-02	5.833e-01	7.476e-02
2	4	nan	nan	nan	nan	3.250e-01	5.807e-02	3.542e-01	5.101e-02	5.833e-01	4.049e-02
2	5	nan	nan	nan	nan	2.833e-01	7.667e-02	3.958e-01	6.942e-03	5.833e-01	1.799e-02
2	6	nan	nan	nan	nan	3.042e-01	4.250e-02	4.083e-01	1.840e-02	5.000e-01	1.074e-01
2	7	nan	nan	nan	nan	2.625e-01	-6.198e-02	3.042e-01	4.437e-02	4.625e-01	2.474e-01
2	8	nan	nan	nan	nan	2.125e-01	4.869e-02	4.042e-01	7.811e-02	4.958e-01	6.947e-02
2	9	4.583e-01	3.750e-01	7.500e-01	2.995e-01	7.500e-01	2.995e-01	7.917e-01	5.505e-01	7.917e-01	5.505e-01
3	0	nan	nan	nan	nan	3.167e-01	2.197e-02	3.167e-01	2.197e-02	4.000e-01	7.882e-03
3	1	nan	nan	nan	nan	3.042e-01	8.406e-03	4.542e-01	8.331e-03	4.542e-01	8.331e-03
3	2	nan	nan	nan	nan	2.667e-01	5.531e-02	5.000e-01	8.952e-03	7.500e-01	4.643e-02
3	3	nan	nan	nan	nan	3.000e-01	3.279e-02	5.000e-01	5.897e-02	7.500e-01	4.819e-02
3	4	nan	nan	nan	nan	3.292e-01	6.112e-02	5.000e-01	4.351e-02	5.708e-01	6.597e-02
3	5	nan	nan	nan	nan	3.000e-01	4.063e-02	5.083e-01	1.408e-01	7.500e-01	7.639e-02
3	6	nan	nan	nan	nan	3.083e-01	5.641e-02	5.000e-01	2.318e-02	5.083e-01	1.551e-02
3	7	nan	nan	nan	nan	3.167e-01	5.432e-02	4.250e-01	4.254e-03	5.833e-01	1.261e-02
3	8	nan	nan	nan	nan	nan	nan	4.708e-01	3.837e-03	5.833e-01	8.097e-02
3	9	2.708e-01	2.500e-01	7.292e-01	4.869e-01	7.500e-01	3.187e-01	7.917e-01	3.116e-01	7.917e-01	3.116e-01
4	0	nan	nan	nan	nan	2.042e-01	2.210e-02	3.125e-01	5.379e-03	7.500e-01	1.604e-02
4	1	nan	nan	nan	nan	3.458e-01	2.186e-02	4.208e-01	8.146e-03	5.708e-01	1.571e-02
4	2	nan	nan	nan	nan	3.000e-01	5.467e-02	4.542e-01	1.266e-02	7.500e-01	2.689e-02
4	3	nan	nan	nan	nan	2.417e-01	7.723e-02	5.000e-01	6.406e-02	7.500e-01	4.546e-02
