x	y	progress.rate.q.0.05.0.00.fitness	progress.rate.q.0.05.0.00.frozen	progress.rate.q.0.05.0.10.fitness	progress.rate.q.0.05.0.10.frozen	progress.rate.q.0.05.0.25.fitness	progress.rate.q.0.05.0.25.frozen	progress.rate.q.0.05.0.50.fitness	progress.rate.q.0.05.0.50.frozen	progress.rate.q.0.05.1.00.fitness	progress.rate.q.0.05.1.00.frozen
0	0	nan	nan	2.708e-01	-9.309e-04	7.500e-01	6.032e-03	8.750e-01	2.142e-02	8.750e-01	2.142e-02
0	1	nan	nan	8.417e-01	2.379e-02	8.750e-01	3.565e-02	8.750e-01	3.565e-02	8.750e-01	3.565e-02
0	2	nan	nan	7.500e-01	4.770e-02	8.750e-01	3.777e-02	8.750e-01	3.777e-02	8.750e-01	3.777e-02
0	3	nan	nan	8.542e-01	6.808e-02	8.750e-01	8.545e-02	8.750e-01	8.545e-02	8.750e-01	8.545e-02
0	4	nan	nan	8.500e-01	7.608e-02	8.542e-01	9.845e-02	8.750e-01	1.128e-01	8.750e-01	1.128e-01
0	5	nan	nan	7.500e-01	3.383e-02	8.750e-01	8.328e-02	8.750e-01	8.328e-02	8.750e-01	8.328e-02
0	6	2.708e-01	4.962e-02	7.500e-01	3.134e-02	7.500e-01	3.134e-02	8.500e-01	7.816e-02	8.750e-01	9.344e-02
0	7	nan	nan	7.500e-01	3.841e-02	7.500e-01	3.841e-02	7.500e-01	3.841e-02	8.417e-01	7.164e-02
0	8	-4.583e-01	-7.178e-02	7.500e-01	4.258e-02	7.500e-01	4.258e-02	7.500e-01	4.258e-02	7.500e-01	4.258e-02
0	9	2.708e-01	1.641e-01	7.500e-01	3.309e-02	7.500e-01	3.309e-02	7.917e-01	1.237e-01	8.125e-01	7.611e-02
1	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	2	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	3	nan	nan	nan	nan	8.542e-01	1.283e-01	8.542e-01	1.283e-01	8.542e-01	1.283e-01
1	4	nan	nan	7.500e-01	7.181e-02	8.750e-01	1.129e-01	8.750e-01	1.129e-01	8.750e-01	1.129e-01
1	5	nan	nan	7.500e-01	1.039e-01	8.750e-01	1.327e-01	8.750e-01	1.327e-01	8.750e-01	1.327e-01
1	6	nan	nan	7.500e-01	9.073e-02	8.750e-01	9.256e-02	8.750e-01	9.256e-02	8.750e-01	9.256e-02
1	7	nan	nan	7.500e-01	5.214e-02	8.750e-01	1.432e-01	8.958e-01	1.241e-01	8.958e-01	1.241e-01
