n.evals.q.1.0.	xor._.me.hebbian.network.best.quality.inconsistency	xor._.me.hebbian.network.best.quality.inconsistency.min	xor._.me.hebbian.network.best.quality.inconsistency.max	xor._.me.hebbian.layer.best.quality.inconsistency	xor._.me.hebbian.layer.best.quality.inconsistency.min	xor._.me.hebbian.layer.best.quality.inconsistency.max	xor._.me.hebbian.neuron.best.quality.inconsistency	xor._.me.hebbian.neuron.best.quality.inconsistency.min	xor._.me.hebbian.neuron.best.quality.inconsistency.max	xor._.me.hebbian.synapse.best.quality.inconsistency	xor._.me.hebbian.synapse.best.quality.inconsistency.min	xor._.me.hebbian.synapse.best.quality.inconsistency.max	xor._.me.freeForm.best.quality.inconsistency	xor._.me.freeForm.best.quality.inconsistency.min	xor._.me.freeForm.best.quality.inconsistency.max
1.000e+02	7.284e-01	5.157e-01	8.930e-01	8.185e-01	5.819e-01	8.562e-01	3.441e-01	1.426e-01	6.686e-01	6.536e-01	4.195e-01	7.269e-01	8.657e-01	8.327e-01	8.930e-01
2.000e+02	6.403e-01	4.602e-01	8.930e-01	5.844e-01	4.433e-01	7.562e-01	2.170e-01	1.018e-01	2.638e-01	5.926e-01	3.317e-01	7.208e-01	8.631e-01	7.742e-01	8.930e-01
3.000e+02	6.403e-01	4.602e-01	8.930e-01	5.760e-01	4.433e-01	6.414e-01	2.258e-01	2.081e-01	2.592e-01	5.926e-01	3.059e-01	7.221e-01	8.322e-01	7.691e-01	8.660e-01
4.000e+02	6.403e-01	4.602e-01	8.930e-01	5.284e-01	4.433e-01	6.341e-01	2.290e-01	2.048e-01	2.638e-01	3.410e-01	2.307e-01	5.926e-01	8.000e-01	7.141e-01	8.660e-01
5.000e+02	6.403e-01	4.602e-01	8.930e-01	5.284e-01	4.433e-01	6.018e-01	2.375e-01	2.201e-01	2.824e-01	3.410e-01	2.478e-01	5.101e-01	8.000e-01	6.657e-01	8.660e-01
6.000e+02	6.403e-01	4.318e-01	8.930e-01	5.217e-01	4.422e-01	6.014e-01	2.435e-01	2.132e-01	2.824e-01	3.414e-01	2.912e-01	4.707e-01	8.000e-01	6.657e-01	8.631e-01
7.000e+02	6.403e-01	4.318e-01	8.930e-01	5.217e-01	4.422e-01	6.014e-01	2.479e-01	2.212e-01	2.824e-01	3.470e-01	3.035e-01	4.444e-01	8.000e-01	6.614e-01	8.595e-01
8.000e+02	6.380e-01	4.309e-01	8.921e-01	5.217e-01	4.422e-01	6.014e-01	2.435e-01	2.132e-01	2.779e-01	3.470e-01	2.912e-01	3.944e-01	7.992e-01	1.595e-01	8.352e-01
9.000e+02	6.380e-01	4.309e-01	8.921e-01	5.217e-01	4.422e-01	6.014e-01	2.494e-01	2.251e-01	2.802e-01	3.293e-01	2.596e-01	3.890e-01	7.599e-01	5.614e-03	8.000e-01
1.000e+03	6.380e-01	4.309e-01	8.921e-01	5.217e-01	4.422e-01	6.014e-01	2.494e-01	2.251e-01	2.779e-01	3.194e-01	2.480e-01	3.611e-01	7.599e-01	1.129e-03	8.000e-01
1.100e+03	6.380e-01	4.309e-01	8.921e-01	4.997e-01	4.202e-01	5.844e-01	2.479e-01	2.251e-01	2.779e-01	3.129e-01	1.947e-01	3.537e-01	7.141e-01	1.129e-03	8.000e-01
