n.evals.q.1.0.	xor._.me.hebbian.network.best.quality.increase	xor._.me.hebbian.network.best.quality.increase.min	xor._.me.hebbian.network.best.quality.increase.max	xor._.me.hebbian.layer.best.quality.increase	xor._.me.hebbian.layer.best.quality.increase.min	xor._.me.hebbian.layer.best.quality.increase.max	xor._.me.hebbian.neuron.best.quality.increase	xor._.me.hebbian.neuron.best.quality.increase.min	xor._.me.hebbian.neuron.best.quality.increase.max	xor._.me.hebbian.synapse.best.quality.increase	xor._.me.hebbian.synapse.best.quality.increase.min	xor._.me.hebbian.synapse.best.quality.increase.max	xor._.me.freeForm.best.quality.increase	xor._.me.freeForm.best.quality.increase.min	xor._.me.freeForm.best.quality.increase.max
1.000e+02	2.387e-01	5.584e-02	4.593e-01	3.980e-01	1.892e-01	4.830e-01	3.761e-01	1.637e-01	6.848e-01	4.779e-01	3.386e-01	6.059e-01	3.251e-01	1.251e-01	4.752e-01
2.000e+02	2.368e-01	1.845e-02	4.573e-01	9.967e-02	3.444e-02	3.619e-01	4.810e-01	3.825e-01	7.996e-01	4.052e-01	3.383e-01	5.842e-01	2.330e-01	1.251e-01	4.292e-01
3.000e+02	2.368e-01	1.845e-02	4.573e-01	7.899e-02	9.580e-03	2.736e-01	4.810e-01	4.082e-01	7.027e-01	4.215e-01	3.443e-01	5.222e-01	2.756e-01	1.324e-01	6.132e-01
4.000e+02	2.368e-01	1.845e-02	4.573e-01	6.922e-02	9.580e-03	2.183e-01	4.655e-01	4.082e-01	7.005e-01	4.696e-01	3.386e-01	5.598e-01	4.778e-01	2.249e-01	6.202e-01
5.000e+02	2.368e-01	1.845e-02	4.573e-01	6.616e-02	2.032e-03	2.042e-01	4.432e-01	3.913e-01	4.983e-01	4.713e-01	3.443e-01	5.557e-01	5.242e-01	1.924e-01	6.251e-01
6.000e+02	2.387e-01	1.845e-02	4.573e-01	6.142e-02	2.032e-03	9.967e-02	4.432e-01	3.600e-01	4.993e-01	4.733e-01	3.443e-01	5.993e-01	4.292e-01	1.324e-01	6.132e-01
7.000e+02	2.387e-01	1.845e-02	4.573e-01	6.142e-02	2.032e-03	9.967e-02	4.349e-01	3.356e-01	4.949e-01	4.696e-01	3.750e-01	5.993e-01	4.292e-01	1.759e-01	5.748e-01
8.000e+02	2.387e-01	1.845e-02	4.565e-01	6.142e-02	2.032e-03	9.967e-02	4.107e-01	3.344e-01	4.949e-01	4.713e-01	3.750e-01	6.474e-01	4.552e-01	1.750e-01	5.748e-01
9.000e+02	2.387e-01	1.845e-02	4.565e-01	6.142e-02	2.032e-03	9.967e-02	4.079e-01	3.344e-01	4.802e-01	4.733e-01	3.778e-01	6.475e-01	4.370e-01	1.324e-01	6.132e-01
1.000e+03	2.387e-01	1.845e-02	4.565e-01	6.142e-02	2.032e-03	9.967e-02	4.082e-01	3.344e-01	4.802e-01	4.696e-01	3.750e-01	6.474e-01	4.557e-01	1.324e-01	6.668e-01
1.100e+03	2.368e-01	1.845e-02	4.565e-01	6.142e-02	2.032e-03	9.967e-02	4.082e-01	3.344e-01	4.655e-01	4.713e-01	3.956e-01	6.475e-01	4.250e-01	1.324e-01	6.738e-01
