x	y	progress.rate.q.0.05.0.00.quality.maturePerformance	progress.rate.q.0.05.0.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.10.quality.maturePerformance	progress.rate.q.0.05.0.10.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.25.quality.maturePerformance	progress.rate.q.0.05.0.25.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.50.quality.maturePerformance	progress.rate.q.0.05.0.50.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.1.00.quality.maturePerformance	progress.rate.q.0.05.1.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.
0	0	nan	nan	1.000e+00	2.177e-02	1.000e+00	2.177e-02	1.000e+00	2.177e-02	1.000e+00	2.177e-02
0	1	nan	nan	1.000e+00	1.022e-01	1.000e+00	1.022e-01	1.000e+00	1.022e-01	1.000e+00	1.022e-01
0	2	nan	nan	1.000e+00	9.310e-02	1.000e+00	9.310e-02	1.000e+00	9.310e-02	1.000e+00	9.310e-02
0	3	-4.800e-01	-1.081e-02	4.900e-01	8.158e-02	1.000e+00	9.963e-02	1.000e+00	9.963e-02	1.000e+00	9.963e-02
0	4	nan	nan	5.800e-01	8.942e-02	5.800e-01	8.942e-02	7.500e-01	9.977e-02	1.000e+00	9.739e-02
0	5	nan	nan	5.000e-01	7.891e-02	6.900e-01	8.479e-02	6.900e-01	8.479e-02	9.500e-01	9.832e-02
0	6	nan	nan	5.000e-01	7.130e-02	7.400e-01	1.032e-01	7.400e-01	1.032e-01	8.300e-01	8.595e-02
0	7	nan	nan	5.000e-01	7.035e-02	5.000e-01	7.035e-02	5.500e-01	1.040e-01	6.500e-01	8.534e-02
0	8	nan	nan	4.500e-01	7.448e-02	5.000e-01	7.737e-02	6.500e-01	5.831e-02	6.500e-01	5.831e-02
0	9	6.000e-02	6.033e-02	5.600e-01	-1.070e-01	5.600e-01	1.075e-01	6.500e-01	5.284e-02	6.500e-01	5.284e-02
1	0	nan	nan	nan	nan	1.000e+00	1.637e-01	1.000e+00	1.637e-01	1.000e+00	1.637e-01
1	1	nan	nan	1.000e+00	1.427e-01	1.000e+00	1.427e-01	1.000e+00	1.427e-01	1.000e+00	1.427e-01
1	2	nan	nan	1.000e+00	1.399e-01	1.000e+00	1.399e-01	1.000e+00	1.399e-01	1.000e+00	1.399e-01
1	3	nan	nan	8.300e-01	1.412e-01	1.000e+00	1.560e-01	1.000e+00	1.560e-01	1.000e+00	1.560e-01
1	4	nan	nan	1.000e+00	1.729e-01	1.000e+00	1.729e-01	1.000e+00	1.729e-01	1.000e+00	1.729e-01
1	5	nan	nan	1.000e+00	1.650e-01	1.000e+00	1.650e-01	1.000e+00	1.650e-01	1.000e+00	1.650e-01
1	6	nan	nan	1.000e+00	1.779e-01	1.000e+00	1.779e-01	1.000e+00	1.779e-01	1.000e+00	1.779e-01
1	7	nan	nan	9.500e-01	1.174e-01	1.000e+00	1.921e-01	1.000e+00	1.921e-01	1.000e+00	1.921e-01
1	8	nan	nan	6.400e-01	1.720e-01	1.000e+00	1.756e-01	1.000e+00	1.756e-01	1.000e+00	1.756e-01
1	9	5.000e-01	1.525e-01	1.000e+00	1.793e-01	1.000e+00	1.793e-01	1.000e+00	1.793e-01	1.000e+00	1.793e-01
2	0	nan	nan	nan	nan	nan	nan	1.000e+00	2.572e-01	1.000e+00	2.572e-01
2	1	nan	nan	1.000e+00	2.253e-01	1.000e+00	2.253e-01	1.000e+00	2.253e-01	1.000e+00	2.253e-01
2	2	nan	nan	1.000e+00	2.715e-01	1.000e+00	2.715e-01	1.000e+00	2.715e-01	1.000e+00	2.715e-01
2	3	nan	nan	1.000e+00	2.134e-01	1.000e+00	2.134e-01	1.000e+00	2.134e-01	1.000e+00	2.134e-01
2	4	nan	nan	1.000e+00	2.561e-01	1.000e+00	2.561e-01	1.000e+00	2.561e-01	1.000e+00	2.561e-01
2	5	nan	nan	1.000e+00	2.202e-01	1.000e+00	2.202e-01	1.000e+00	2.202e-01	1.000e+00	2.202e-01
2	6	nan	nan	1.000e+00	3.070e-01	1.000e+00	3.070e-01	1.000e+00	3.070e-01	1.000e+00	3.070e-01
2	7	nan	nan	1.000e+00	2.580e-01	1.000e+00	2.580e-01	1.000e+00	2.580e-01	1.000e+00	2.580e-01
2	8	nan	nan	1.000e+00	2.212e-01	1.000e+00	2.212e-01	1.000e+00	2.212e-01	1.000e+00	2.212e-01
2	9	4.500e-01	2.821e-01	1.000e+00	2.932e-01	1.000e+00	2.932e-01	1.000e+00	2.932e-01	1.000e+00	2.932e-01
3	0	nan	nan	nan	nan	1.000e+00	3.535e-01	1.000e+00	3.535e-01	1.000e+00	3.535e-01
3	1	nan	nan	1.000e+00	3.618e-01	1.000e+00	3.618e-01	1.000e+00	3.618e-01	1.000e+00	3.618e-01
3	2	nan	nan	nan	nan	1.000e+00	3.777e-01	1.000e+00	3.777e-01	1.000e+00	3.777e-01
3	3	nan	nan	1.000e+00	3.981e-01	1.000e+00	3.981e-01	1.000e+00	3.981e-01	1.000e+00	3.981e-01
3	4	nan	nan	1.000e+00	3.618e-01	1.000e+00	3.618e-01	1.000e+00	3.618e-01	1.000e+00	3.618e-01
3	5	nan	nan	1.000e+00	3.730e-01	1.000e+00	3.730e-01	1.000e+00	3.730e-01	1.000e+00	3.730e-01
3	6	nan	nan	nan	nan	1.000e+00	4.071e-01	1.000e+00	4.071e-01	1.000e+00	4.071e-01
3	7	nan	nan	nan	nan	1.000e+00	3.486e-01	1.000e+00	3.486e-01	1.000e+00	3.486e-01
3	8	nan	nan	1.000e+00	3.385e-01	1.000e+00	3.385e-01	1.000e+00	3.385e-01	1.000e+00	3.385e-01
3	9	4.500e-01	3.345e-01	1.000e+00	3.835e-01	1.000e+00	3.835e-01	1.000e+00	3.835e-01	1.000e+00	3.835e-01
4	0	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	4.118e-01
4	1	nan	nan	nan	nan	1.000e+00	4.524e-01	1.000e+00	4.524e-01	1.000e+00	4.524e-01
4	2	nan	nan	nan	nan	1.000e+00	4.580e-01	1.000e+00	4.580e-01	1.000e+00	4.580e-01
4	3	nan	nan	nan	nan	1.000e+00	4.118e-01	1.000e+00	4.118e-01	1.000e+00	4.118e-01
4	4	nan	nan	1.000e+00	4.520e-01	1.000e+00	4.520e-01	1.000e+00	4.520e-01	1.000e+00	4.520e-01
4	5	nan	nan	1.000e+00	4.131e-01	1.000e+00	4.131e-01	1.000e+00	4.131e-01	1.000e+00	4.131e-01
4	6	nan	nan	1.000e+00	4.162e-01	1.000e+00	4.162e-01	1.000e+00	4.162e-01	1.000e+00	4.162e-01
4	7	nan	nan	1.000e+00	5.043e-01	1.000e+00	5.043e-01	1.000e+00	5.043e-01	1.000e+00	5.043e-01
4	8	nan	nan	1.000e+00	4.483e-01	1.000e+00	4.483e-01	1.000e+00	4.483e-01	1.000e+00	4.483e-01
4	9	4.500e-01	4.992e-01	1.000e+00	3.842e-01	1.000e+00	3.842e-01	1.000e+00	3.842e-01	1.000e+00	3.842e-01
5	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	1	nan	nan	nan	nan	1.000e+00	5.615e-01	1.000e+00	5.615e-01	1.000e+00	5.615e-01
5	2	nan	nan	1.000e+00	6.226e-01	1.000e+00	6.226e-01	1.000e+00	6.226e-01	1.000e+00	6.226e-01
5	3	nan	nan	nan	nan	1.000e+00	5.262e-01	1.000e+00	5.262e-01	1.000e+00	5.262e-01
5	4	nan	nan	1.000e+00	5.967e-01	1.000e+00	5.967e-01	1.000e+00	5.967e-01	1.000e+00	5.967e-01
5	5	nan	nan	nan	nan	1.000e+00	5.964e-01	1.000e+00	5.964e-01	1.000e+00	5.964e-01
