x	y	progress.rate.q.0.05.0.00.quality.maturePerformance	progress.rate.q.0.05.0.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.10.quality.maturePerformance	progress.rate.q.0.05.0.10.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.25.quality.maturePerformance	progress.rate.q.0.05.0.25.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.50.quality.maturePerformance	progress.rate.q.0.05.0.50.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.1.00.quality.maturePerformance	progress.rate.q.0.05.1.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.
0	0	nan	nan	5.000e-02	-2.215e-03	4.500e-01	1.531e-02	1.000e+00	6.122e-02	1.000e+00	6.122e-02
0	1	nan	nan	-5.000e-02	-1.669e-03	4.500e-01	2.702e-02	4.600e-01	9.327e-03	1.000e+00	8.444e-02
0	2	nan	nan	5.000e-02	-1.679e-04	4.500e-01	4.531e-02	1.000e+00	8.203e-02	1.000e+00	8.203e-02
0	3	-1.000e+00	-8.890e-01	-5.000e-02	2.648e-05	6.900e-01	1.113e-01	9.500e-01	9.888e-02	9.500e-01	9.888e-02
0	4	nan	nan	5.000e-02	-3.874e-03	4.600e-01	5.711e-02	6.600e-01	7.762e-02	1.000e+00	6.847e-02
0	5	nan	nan	1.400e-01	2.995e-02	4.700e-01	6.637e-02	6.500e-01	3.766e-02	6.500e-01	3.766e-02
0	6	nan	nan	4.500e-01	6.383e-02	4.900e-01	6.941e-02	6.500e-01	7.428e-02	6.500e-01	7.428e-02
0	7	nan	nan	1.500e-01	8.819e-02	4.500e-01	1.610e-01	6.500e-01	2.013e-02	6.500e-01	2.013e-02
0	8	nan	nan	5.000e-02	1.371e-02	6.300e-01	2.394e-02	6.500e-01	9.596e-02	6.500e-01	9.596e-02
0	9	2.300e-01	1.618e-01	5.000e-01	7.364e-02	6.500e-01	2.200e-02	6.500e-01	2.200e-02	6.500e-01	2.200e-02
1	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	1	nan	nan	nan	nan	nan	nan	1.000e+00	1.984e-01	1.000e+00	1.984e-01
1	2	nan	nan	nan	nan	9.900e-01	1.560e-01	1.000e+00	1.531e-01	1.000e+00	1.531e-01
1	3	nan	nan	nan	nan	1.000e+00	1.702e-01	1.000e+00	1.702e-01	1.000e+00	1.702e-01
1	4	nan	nan	nan	nan	9.300e-01	1.506e-01	1.000e+00	1.578e-01	1.000e+00	1.578e-01
1	5	nan	nan	nan	nan	nan	nan	1.000e+00	2.022e-01	1.000e+00	2.022e-01
1	6	nan	nan	nan	nan	6.500e-01	1.680e-01	1.000e+00	1.781e-01	1.000e+00	1.781e-01
1	7	nan	nan	nan	nan	6.500e-01	1.726e-01	1.000e+00	1.770e-01	1.000e+00	1.770e-01
1	8	nan	nan	4.500e-01	9.431e-02	6.500e-01	1.186e-01	1.000e+00	2.190e-01	1.000e+00	2.190e-01
1	9	4.000e-01	2.485e-01	5.000e-01	2.216e-01	6.500e-01	1.716e-01	9.000e-01	2.233e-01	1.000e+00	2.188e-01
2	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	1	nan	nan	nan	nan	nan	nan	1.000e+00	2.758e-01	1.000e+00	2.758e-01
2	2	nan	nan	nan	nan	nan	nan	1.000e+00	2.362e-01	1.000e+00	2.362e-01
2	3	nan	nan	nan	nan	1.000e+00	2.973e-01	1.000e+00	2.973e-01	1.000e+00	2.973e-01
2	4	nan	nan	nan	nan	nan	nan	1.000e+00	2.591e-01	1.000e+00	2.591e-01
2	5	nan	nan	nan	nan	nan	nan	1.000e+00	2.540e-01	1.000e+00	2.540e-01
2	6	nan	nan	nan	nan	8.400e-01	3.498e-01	1.000e+00	2.420e-01	1.000e+00	2.420e-01
2	7	nan	nan	nan	nan	nan	nan	1.000e+00	2.575e-01	1.000e+00	2.575e-01
2	8	nan	nan	nan	nan	nan	nan	1.000e+00	2.801e-01	1.000e+00	2.801e-01
2	9	4.600e-01	3.061e-01	6.500e-01	9.511e-02	7.300e-01	3.064e-01	1.000e+00	3.290e-01	1.000e+00	3.290e-01
3	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	2	nan	nan	nan	nan	nan	nan	1.000e+00	3.875e-01	1.000e+00	3.875e-01
3	3	nan	nan	nan	nan	nan	nan	1.000e+00	3.723e-01	1.000e+00	3.723e-01
3	4	nan	nan	nan	nan	nan	nan	1.000e+00	3.153e-01	1.000e+00	3.153e-01
3	5	nan	nan	nan	nan	1.000e+00	3.957e-01	1.000e+00	3.957e-01	1.000e+00	3.957e-01
3	6	nan	nan	nan	nan	nan	nan	1.000e+00	4.237e-01	1.000e+00	4.237e-01
3	7	nan	nan	nan	nan	nan	nan	1.000e+00	4.242e-01	1.000e+00	4.242e-01
3	8	nan	nan	nan	nan	9.800e-01	3.546e-01	1.000e+00	3.978e-01	1.000e+00	3.978e-01
3	9	6.500e-01	2.934e-01	6.500e-01	2.934e-01	1.000e+00	4.482e-01	1.000e+00	4.482e-01	1.000e+00	4.482e-01
4	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	2	nan	nan	nan	nan	1.000e+00	4.701e-01	1.000e+00	4.701e-01	1.000e+00	4.701e-01
4	3	nan	nan	nan	nan	1.000e+00	4.628e-01	1.000e+00	4.628e-01	1.000e+00	4.628e-01
4	4	nan	nan	nan	nan	nan	nan	1.000e+00	3.969e-01	1.000e+00	3.969e-01
4	5	nan	nan	nan	nan	nan	nan	1.000e+00	4.416e-01	1.000e+00	4.416e-01
4	6	nan	nan	nan	nan	nan	nan	1.000e+00	4.427e-01	1.000e+00	4.427e-01
4	7	nan	nan	nan	nan	nan	nan	1.000e+00	5.121e-01	1.000e+00	5.121e-01
4	8	nan	nan	nan	nan	nan	nan	1.000e+00	5.192e-01	1.000e+00	5.192e-01
4	9	5.000e-01	4.443e-01	6.500e-01	3.806e-01	1.000e+00	4.588e-01	1.000e+00	4.588e-01	1.000e+00	4.588e-01
5	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	2	nan	nan	nan	nan	nan	nan	1.000e+00	5.475e-01	1.000e+00	5.475e-01
5	3	nan	nan	nan	nan	1.000e+00	5.174e-01	1.000e+00	5.174e-01	1.000e+00	5.174e-01
5	4	nan	nan	nan	nan	nan	nan	1.000e+00	5.082e-01	1.000e+00	5.082e-01
5	5	nan	nan	nan	nan	1.000e+00	5.399e-01	1.000e+00	5.399e-01	1.000e+00	5.399e-01
5	6	nan	nan	nan	nan	1.000e+00	6.081e-01	1.000e+00	6.081e-01	1.000e+00	6.081e-01
5	7	nan	nan	nan	nan	1.000e+00	5.474e-01	1.000e+00	5.474e-01	1.000e+00	5.474e-01
5	8	nan	nan	nan	nan	1.000e+00	6.070e-01	1.000e+00	6.070e-01	1.000e+00	6.070e-01
5	9	6.500e-01	4.583e-01	6.500e-01	4.583e-01	1.000e+00	4.866e-01	1.000e+00	4.866e-01	1.000e+00	4.866e-01
6	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
