x	y	progress.rate.q.0.05.0.00.quality.maturePerformance	progress.rate.q.0.05.0.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.10.quality.maturePerformance	progress.rate.q.0.05.0.10.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.25.quality.maturePerformance	progress.rate.q.0.05.0.25.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.50.quality.maturePerformance	progress.rate.q.0.05.0.50.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.1.00.quality.maturePerformance	progress.rate.q.0.05.1.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.
0	0	9.000e-02	-2.746e-06	6.900e-01	1.439e-02	6.900e-01	1.439e-02	1.000e+00	1.000e+00	1.000e+00	1.000e+00
0	1	nan	nan	5.700e-01	7.510e-02	5.700e-01	7.510e-02	5.900e-01	-5.103e-03	1.000e+00	4.265e-01
0	2	nan	nan	3.000e-01	2.074e-02	4.000e-01	9.765e-03	6.800e-01	4.737e-02	1.000e+00	9.931e-01
0	3	nan	nan	3.000e-01	6.597e-02	4.000e-01	-7.935e-02	5.800e-01	7.184e-02	1.000e+00	4.227e-01
0	4	nan	nan	-5.000e-02	-1.710e-03	9.000e-02	9.802e-02	5.700e-01	6.424e-02	1.000e+00	1.218e-01
0	5	nan	nan	3.900e-01	-4.927e-01	3.900e-01	-4.927e-01	5.700e-01	1.930e-01	1.000e+00	4.695e-02
0	6	nan	nan	nan	nan	-3.000e-02	4.357e-03	5.600e-01	1.856e-02	1.000e+00	8.166e-02
0	7	nan	nan	2.600e-01	1.877e-04	3.600e-01	-9.148e-06	5.800e-01	9.566e-03	1.000e+00	6.157e-02
0	8	nan	nan	1.700e-01	-4.926e-05	2.600e-01	1.146e-02	4.700e-01	1.662e-02	1.000e+00	1.311e-01
0	9	1.200e-01	-5.034e-01	5.000e-01	5.000e-01	6.200e-01	1.000e+00	9.500e-01	9.987e-01	1.000e+00	3.293e-01
1	0	nan	nan	nan	nan	4.600e-01	1.000e+00	4.600e-01	1.000e+00	1.000e+00	1.000e+00
1	1	nan	nan	nan	nan	4.700e-01	1.611e-02	7.900e-01	1.280e-02	1.000e+00	5.470e-01
1	2	nan	nan	nan	nan	nan	nan	8.900e-01	5.701e-02	1.000e+00	5.514e-01
1	3	nan	nan	nan	nan	1.600e-01	1.346e-02	6.800e-01	2.970e-01	1.000e+00	5.398e-01
1	4	nan	nan	nan	nan	nan	nan	7.900e-01	2.508e-02	1.000e+00	1.898e-01
1	5	nan	nan	1.800e-01	1.291e-02	4.600e-01	3.518e-01	5.600e-01	9.690e-02	1.000e+00	8.181e-02
1	6	nan	nan	nan	nan	2.100e-01	-7.516e-04	5.700e-01	3.743e-01	1.000e+00	6.168e-01
1	7	nan	nan	nan	nan	4.600e-01	2.512e-01	6.800e-01	2.283e-01	1.000e+00	2.451e-01
1	8	nan	nan	nan	nan	nan	nan	6.900e-01	4.250e-01	1.000e+00	6.047e-01
1	9	4.500e-01	5.000e-01	5.000e-01	2.695e-07	8.100e-01	1.000e+00	8.800e-01	5.000e-01	1.000e+00	7.096e-01
2	0	nan	nan	nan	nan	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00
2	1	nan	nan	1.600e-01	4.099e-03	5.800e-01	1.263e-02	1.000e+00	6.231e-02	1.000e+00	6.231e-02
2	2	nan	nan	1.600e-01	1.000e+00	6.200e-01	-9.329e-01	1.000e+00	9.329e-01	1.000e+00	9.329e-01
2	3	nan	nan	nan	nan	2.600e-01	5.051e-03	8.900e-01	6.590e-02	1.000e+00	5.333e-01
