x	y	progress.rate.q.0.05.0.00.quality.maturePerformance	progress.rate.q.0.05.0.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.10.quality.maturePerformance	progress.rate.q.0.05.0.10.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.25.quality.maturePerformance	progress.rate.q.0.05.0.25.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.50.quality.maturePerformance	progress.rate.q.0.05.0.50.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.1.00.quality.maturePerformance	progress.rate.q.0.05.1.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.
0	0	nan	nan	5.000e-02	1.653e-02	1.000e+00	8.358e-02	1.000e+00	8.358e-02	1.000e+00	8.358e-02
0	1	nan	nan	4.500e-01	3.439e-03	1.000e+00	7.286e-02	1.000e+00	7.286e-02	1.000e+00	7.286e-02
0	2	nan	nan	4.500e-01	3.335e-02	1.000e+00	6.221e-02	1.000e+00	6.221e-02	1.000e+00	6.221e-02
0	3	nan	nan	7.500e-01	9.856e-02	9.500e-01	6.821e-02	1.000e+00	9.053e-02	1.000e+00	9.053e-02
0	4	nan	nan	4.700e-01	3.692e-02	6.200e-01	1.072e-01	9.500e-01	1.088e-01	1.000e+00	8.257e-02
0	5	nan	nan	4.500e-01	2.663e-02	1.000e+00	8.757e-02	1.000e+00	8.757e-02	1.000e+00	8.757e-02
0	6	-5.000e-02	-2.609e-02	4.500e-01	1.663e-02	5.000e-01	5.027e-02	8.200e-01	1.012e-01	1.000e+00	6.309e-02
0	7	nan	nan	5.000e-01	7.068e-02	5.000e-01	7.068e-02	5.000e-01	7.068e-02	6.500e-01	1.430e-02
0	8	nan	nan	5.000e-01	1.065e-02	5.000e-01	1.065e-02	5.000e-01	1.065e-02	5.000e-01	1.065e-02
0	9	5.000e-01	3.641e-02	5.000e-01	3.641e-02	5.000e-01	3.641e-02	5.100e-01	-2.331e-03	6.500e-01	4.739e-02
1	0	nan	nan	nan	nan	nan	nan	1.000e+00	9.454e-02	1.000e+00	9.454e-02
1	1	nan	nan	1.000e+00	8.058e-02	1.000e+00	8.058e-02	1.000e+00	8.058e-02	1.000e+00	8.058e-02
1	2	nan	nan	1.000e+00	1.508e-01	1.000e+00	1.508e-01	1.000e+00	1.508e-01	1.000e+00	1.508e-01
1	3	nan	nan	nan	nan	1.000e+00	1.804e-01	1.000e+00	1.804e-01	1.000e+00	1.804e-01
1	4	nan	nan	1.000e+00	1.174e-01	1.000e+00	1.174e-01	1.000e+00	1.174e-01	1.000e+00	1.174e-01
1	5	nan	nan	1.000e+00	1.788e-01	1.000e+00	1.788e-01	1.000e+00	1.788e-01	1.000e+00	1.788e-01
1	6	nan	nan	nan	nan	1.000e+00	2.046e-01	1.000e+00	2.046e-01	1.000e+00	2.046e-01
1	7	nan	nan	6.700e-01	1.580e-01	1.000e+00	1.972e-01	1.000e+00	1.972e-01	1.000e+00	1.972e-01
1	8	nan	nan	4.000e-01	1.442e-01	8.200e-01	1.741e-01	1.000e+00	2.102e-01	1.000e+00	2.102e-01
1	9	4.500e-01	1.965e-01	5.000e-01	1.820e-01	7.200e-01	1.662e-01	1.000e+00	1.926e-01	1.000e+00	1.926e-01
2	0	nan	nan	nan	nan	nan	nan	1.000e+00	3.022e-01	1.000e+00	3.022e-01
2	1	nan	nan	nan	nan	1.000e+00	2.383e-01	1.000e+00	2.383e-01	1.000e+00	2.383e-01
2	2	nan	nan	nan	nan	1.000e+00	2.542e-01	1.000e+00	2.542e-01	1.000e+00	2.542e-01
2	3	nan	nan	1.000e+00	2.487e-01	1.000e+00	2.487e-01	1.000e+00	2.487e-01	1.000e+00	2.487e-01
2	4	nan	nan	1.000e+00	2.602e-01	1.000e+00	2.602e-01	1.000e+00	2.602e-01	1.000e+00	2.602e-01
2	5	nan	nan	1.000e+00	2.188e-01	1.000e+00	2.188e-01	1.000e+00	2.188e-01	1.000e+00	2.188e-01
2	6	nan	nan	1.000e+00	1.994e-01	1.000e+00	1.994e-01	1.000e+00	1.994e-01	1.000e+00	1.994e-01
2	7	nan	nan	1.000e+00	2.505e-01	1.000e+00	2.505e-01	1.000e+00	2.505e-01	1.000e+00	2.505e-01
2	8	nan	nan	8.500e-01	1.942e-01	1.000e+00	2.648e-01	1.000e+00	2.648e-01	1.000e+00	2.648e-01
2	9	5.000e-01	2.395e-01	1.000e+00	2.548e-01	1.000e+00	2.548e-01	1.000e+00	2.548e-01	1.000e+00	2.548e-01
3	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	1	nan	nan	1.000e+00	3.305e-01	1.000e+00	3.305e-01	1.000e+00	3.305e-01	1.000e+00	3.305e-01
3	2	nan	nan	nan	nan	1.000e+00	2.987e-01	1.000e+00	2.987e-01	1.000e+00	2.987e-01
3	3	nan	nan	1.000e+00	3.475e-01	1.000e+00	3.475e-01	1.000e+00	3.475e-01	1.000e+00	3.475e-01
3	4	nan	nan	1.000e+00	3.426e-01	1.000e+00	3.426e-01	1.000e+00	3.426e-01	1.000e+00	3.426e-01
3	5	nan	nan	1.000e+00	3.941e-01	1.000e+00	3.941e-01	1.000e+00	3.941e-01	1.000e+00	3.941e-01
3	6	nan	nan	nan	nan	1.000e+00	3.075e-01	1.000e+00	3.075e-01	1.000e+00	3.075e-01
3	7	nan	nan	1.000e+00	3.471e-01	1.000e+00	3.471e-01	1.000e+00	3.471e-01	1.000e+00	3.471e-01
3	8	nan	nan	1.000e+00	4.048e-01	1.000e+00	4.048e-01	1.000e+00	4.048e-01	1.000e+00	4.048e-01
3	9	5.000e-01	3.402e-01	1.000e+00	4.202e-01	1.000e+00	4.202e-01	1.000e+00	4.202e-01	1.000e+00	4.202e-01
4	0	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	4.472e-01
4	1	nan	nan	1.000e+00	5.016e-01	1.000e+00	5.016e-01	1.000e+00	5.016e-01	1.000e+00	5.016e-01
4	2	nan	nan	nan	nan	1.000e+00	5.051e-01	1.000e+00	5.051e-01	1.000e+00	5.051e-01
4	3	nan	nan	nan	nan	1.000e+00	4.466e-01	1.000e+00	4.466e-01	1.000e+00	4.466e-01
4	4	nan	nan	nan	nan	1.000e+00	4.686e-01	1.000e+00	4.686e-01	1.000e+00	4.686e-01
4	5	nan	nan	1.000e+00	5.065e-01	1.000e+00	5.065e-01	1.000e+00	5.065e-01	1.000e+00	5.065e-01
4	6	nan	nan	1.000e+00	4.371e-01	1.000e+00	4.371e-01	1.000e+00	4.371e-01	1.000e+00	4.371e-01
4	7	nan	nan	1.000e+00	3.899e-01	1.000e+00	3.899e-01	1.000e+00	3.899e-01	1.000e+00	3.899e-01
4	8	nan	nan	1.000e+00	3.723e-01	1.000e+00	3.723e-01	1.000e+00	3.723e-01	1.000e+00	3.723e-01
4	9	5.000e-01	4.925e-01	1.000e+00	4.458e-01	1.000e+00	4.458e-01	1.000e+00	4.458e-01	1.000e+00	4.458e-01
5	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	1	nan	nan	nan	nan	1.000e+00	6.114e-01	1.000e+00	6.114e-01	1.000e+00	6.114e-01
5	2	nan	nan	nan	nan	1.000e+00	5.376e-01	1.000e+00	5.376e-01	1.000e+00	5.376e-01
5	3	nan	nan	1.000e+00	6.339e-01	1.000e+00	6.339e-01	1.000e+00	6.339e-01	1.000e+00	6.339e-01
5	4	nan	nan	nan	nan	1.000e+00	4.178e-01	1.000e+00	4.178e-01	1.000e+00	4.178e-01
5	5	nan	nan	1.000e+00	5.505e-01	1.000e+00	5.505e-01	1.000e+00	5.505e-01	1.000e+00	5.505e-01
5	6	nan	nan	1.000e+00	4.680e-01	1.000e+00	4.680e-01	1.000e+00	4.680e-01	1.000e+00	4.680e-01
