x	y	progress.rate.q.0.05.0.00.quality.maturePerformance	progress.rate.q.0.05.0.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.10.quality.maturePerformance	progress.rate.q.0.05.0.10.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.25.quality.maturePerformance	progress.rate.q.0.05.0.25.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.50.quality.maturePerformance	progress.rate.q.0.05.0.50.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.1.00.quality.maturePerformance	progress.rate.q.0.05.1.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.
0	0	nan	nan	1.000e-01	1.112e-02	6.500e-01	9.415e-05	6.500e-01	9.415e-05	8.900e-01	2.848e-02
0	1	nan	nan	6.500e-01	4.467e-02	7.500e-01	4.154e-02	1.000e+00	6.212e-02	1.000e+00	6.212e-02
0	2	nan	nan	6.500e-01	6.866e-02	1.000e+00	1.394e-01	1.000e+00	1.394e-01	1.000e+00	1.394e-01
0	3	nan	nan	5.000e-02	2.139e-03	6.500e-01	8.959e-02	9.000e-01	7.122e-02	9.000e-01	7.122e-02
0	4	nan	nan	6.500e-01	1.153e-01	6.500e-01	1.153e-01	7.300e-01	1.135e-01	9.700e-01	6.706e-02
0	5	nan	nan	4.000e-01	7.007e-02	6.500e-01	1.401e-01	6.500e-01	1.401e-01	7.900e-01	5.805e-02
0	6	nan	nan	6.500e-01	3.004e-02	6.500e-01	3.004e-02	6.500e-01	3.004e-02	7.500e-01	1.085e-01
0	7	nan	nan	4.000e-01	1.277e-01	5.200e-01	-7.990e-02	8.300e-01	1.126e-01	8.300e-01	1.126e-01
0	8	nan	nan	6.500e-01	1.649e-01	6.500e-01	1.649e-01	6.500e-01	1.649e-01	6.500e-01	1.649e-01
0	9	5.000e-01	1.220e-01	6.500e-01	-1.483e-01	6.500e-01	-1.483e-01	6.500e-01	-1.483e-01	6.500e-01	-1.483e-01
1	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	1	nan	nan	nan	nan	nan	nan	1.000e+00	1.333e-01	1.000e+00	1.333e-01
1	2	nan	nan	nan	nan	1.000e+00	1.456e-01	1.000e+00	1.456e-01	1.000e+00	1.456e-01
1	3	nan	nan	nan	nan	1.000e+00	1.451e-01	1.000e+00	1.451e-01	1.000e+00	1.451e-01
