n.evals.q.1.0.	xor._.me.hebbian.network.best.quality.increase	xor._.me.hebbian.network.best.quality.increase.min	xor._.me.hebbian.network.best.quality.increase.max	xor._.me.hebbian.layer.best.quality.increase	xor._.me.hebbian.layer.best.quality.increase.min	xor._.me.hebbian.layer.best.quality.increase.max	xor._.me.hebbian.neuron.best.quality.increase	xor._.me.hebbian.neuron.best.quality.increase.min	xor._.me.hebbian.neuron.best.quality.increase.max	xor._.me.hebbian.synapse.best.quality.increase	xor._.me.hebbian.synapse.best.quality.increase.min	xor._.me.hebbian.synapse.best.quality.increase.max	xor._.me.freeForm.best.quality.increase	xor._.me.freeForm.best.quality.increase.min	xor._.me.freeForm.best.quality.increase.max
1.000e+02	2.388e-01	6.603e-02	4.574e-01	4.003e-01	8.677e-02	4.840e-01	3.876e-01	1.123e-01	6.848e-01	4.906e-01	3.433e-01	6.060e-01	1.254e-01	1.249e-01	4.157e-01
2.000e+02	2.380e-01	1.863e-02	4.568e-01	1.060e-01	1.026e-02	3.678e-01	4.403e-01	3.301e-01	7.669e-01	4.583e-01	3.246e-01	6.016e-01	2.750e-01	1.250e-01	5.165e-01
3.000e+02	2.380e-01	1.863e-02	4.568e-01	4.451e-02	5.037e-03	2.074e-01	4.666e-01	3.857e-01	7.021e-01	4.619e-01	3.415e-01	5.577e-01	3.476e-01	1.862e-01	5.272e-01
4.000e+02	2.380e-01	1.863e-02	4.568e-01	4.646e-02	5.037e-03	2.151e-01	4.500e-01	4.096e-01	6.630e-01	4.619e-01	2.765e-01	5.835e-01	5.022e-01	1.893e-01	5.326e-01
5.000e+02	2.380e-01	1.863e-02	4.568e-01	4.646e-02	5.037e-03	2.151e-01	4.185e-01	3.418e-01	4.689e-01	4.313e-01	3.337e-01	5.577e-01	5.196e-01	3.070e-01	5.883e-01
6.000e+02	2.383e-01	1.863e-02	4.568e-01	4.646e-02	5.037e-03	2.074e-01	4.185e-01	3.528e-01	4.690e-01	4.171e-01	3.130e-01	4.965e-01	5.247e-01	3.287e-01	5.883e-01
7.000e+02	2.383e-01	1.863e-02	4.568e-01	6.329e-02	9.579e-03	2.074e-01	4.102e-01	3.418e-01	4.689e-01	4.269e-01	3.337e-01	5.577e-01	5.544e-01	4.085e-01	6.315e-01
8.000e+02	2.383e-01	1.863e-02	4.568e-01	5.751e-02	9.579e-03	8.780e-02	4.185e-01	3.561e-01	4.689e-01	4.269e-01	3.337e-01	5.577e-01	5.544e-01	4.370e-01	6.750e-01
9.000e+02	2.383e-01	1.863e-02	4.568e-01	5.751e-02	9.579e-03	2.151e-01	4.185e-01	3.561e-01	4.689e-01	4.313e-01	3.337e-01	5.808e-01	5.278e-01	4.370e-01	6.568e-01
1.000e+03	2.383e-01	1.863e-02	4.568e-01	5.751e-02	2.437e-02	2.151e-01	4.124e-01	3.528e-01	4.689e-01	4.269e-01	3.337e-01	5.579e-01	5.369e-01	4.254e-01	6.750e-01
