x	y	progress.rate.q.0.05.0.00.quality.maturePerformance	progress.rate.q.0.05.0.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.10.quality.maturePerformance	progress.rate.q.0.05.0.10.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.25.quality.maturePerformance	progress.rate.q.0.05.0.25.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.50.quality.maturePerformance	progress.rate.q.0.05.0.50.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.1.00.quality.maturePerformance	progress.rate.q.0.05.1.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.
0	0	-1.000e+00	-9.953e-01	1.000e+00	4.867e-02	1.000e+00	4.867e-02	1.000e+00	4.867e-02	1.000e+00	4.867e-02
0	1	nan	nan	1.000e+00	5.068e-02	1.000e+00	5.068e-02	1.000e+00	5.068e-02	1.000e+00	5.068e-02
0	2	nan	nan	1.000e+00	7.970e-02	1.000e+00	7.970e-02	1.000e+00	7.970e-02	1.000e+00	7.970e-02
0	3	nan	nan	4.500e-01	3.818e-02	9.000e-01	9.706e-02	1.000e+00	8.430e-02	1.000e+00	8.430e-02
0	4	nan	nan	9.800e-01	6.455e-02	9.800e-01	6.455e-02	9.900e-01	8.616e-02	1.000e+00	1.019e-01
0	5	nan	nan	6.400e-01	1.086e-02	1.000e+00	1.094e-01	1.000e+00	1.094e-01	1.000e+00	1.094e-01
0	6	nan	nan	5.000e-01	5.122e-02	5.000e-01	5.122e-02	6.000e-01	1.087e-01	6.000e-01	1.087e-01
0	7	nan	nan	4.500e-01	7.080e-02	5.500e-01	8.284e-02	5.500e-01	8.284e-02	6.500e-01	8.233e-02
0	8	nan	nan	4.500e-01	5.113e-02	4.500e-01	5.113e-02	5.000e-01	7.494e-02	5.300e-01	1.243e-01
0	9	5.000e-02	-2.163e-02	5.000e-01	2.894e-02	5.000e-01	2.894e-02	5.000e-01	2.894e-02	5.500e-01	1.342e-01
1	0	nan	nan	nan	nan	1.000e+00	1.517e-01	1.000e+00	1.517e-01	1.000e+00	1.517e-01
1	1	nan	nan	nan	nan	1.000e+00	1.014e-01	1.000e+00	1.014e-01	1.000e+00	1.014e-01
