x	y	progress.rate.q.0.05.0.00.quality.maturePerformance	progress.rate.q.0.05.0.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.10.quality.maturePerformance	progress.rate.q.0.05.0.10.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.25.quality.maturePerformance	progress.rate.q.0.05.0.25.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.50.quality.maturePerformance	progress.rate.q.0.05.0.50.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.1.00.quality.maturePerformance	progress.rate.q.0.05.1.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.
0	0	nan	nan	-1.000e-02	-3.508e-04	5.000e-02	-1.600e-03	4.500e-01	4.303e-03	5.700e-01	1.683e-02
0	1	nan	nan	0.000e+00	-7.453e-06	1.000e+00	4.745e-02	1.000e+00	4.745e-02	1.000e+00	4.745e-02
0	2	nan	nan	5.000e-02	3.464e-04	5.000e-01	2.672e-02	7.200e-01	8.380e-02	9.400e-01	1.082e-01
0	3	nan	nan	1.000e-01	-4.579e-05	1.000e+00	1.660e-01	1.000e+00	1.660e-01	1.000e+00	1.660e-01
0	4	nan	nan	4.000e-02	1.700e-04	5.500e-01	3.973e-02	1.000e+00	1.012e-01	1.000e+00	1.012e-01
0	5	nan	nan	6.500e-01	7.800e-02	6.500e-01	7.800e-02	6.500e-01	7.800e-02	9.400e-01	1.422e-01
0	6	nan	nan	6.500e-01	1.860e-02	6.500e-01	1.860e-02	1.000e+00	1.094e-01	1.000e+00	1.094e-01
0	7	nan	nan	6.500e-01	6.624e-02	6.500e-01	6.624e-02	6.500e-01	6.624e-02	6.500e-01	6.624e-02
0	8	nan	nan	1.500e-01	1.087e-03	5.000e-01	1.219e-01	6.500e-01	7.245e-02	6.500e-01	7.245e-02
0	9	5.000e-01	2.111e-02	6.500e-01	2.008e-02	6.500e-01	2.008e-02	6.500e-01	2.008e-02	6.500e-01	2.008e-02
1	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	1	nan	nan	nan	nan	nan	nan	1.000e+00	1.635e-01	1.000e+00	1.635e-01
1	2	nan	nan	nan	nan	1.000e+00	1.941e-01	1.000e+00	1.941e-01	1.000e+00	1.941e-01
1	3	nan	nan	nan	nan	1.000e+00	1.444e-01	1.000e+00	1.444e-01	1.000e+00	1.444e-01
1	4	nan	nan	nan	nan	1.000e+00	2.310e-01	1.000e+00	2.310e-01	1.000e+00	2.310e-01
1	5	nan	nan	nan	nan	6.800e-01	9.761e-02	1.000e+00	1.659e-01	1.000e+00	1.659e-01
1	6	nan	nan	nan	nan	6.500e-01	7.126e-02	1.000e+00	2.107e-01	1.000e+00	2.107e-01
1	7	nan	nan	nan	nan	6.700e-01	1.936e-01	9.000e-01	2.445e-01	1.000e+00	1.810e-01
1	8	nan	nan	6.500e-01	1.062e-01	9.400e-01	2.168e-01	1.000e+00	2.330e-01	1.000e+00	2.330e-01
1	9	1.500e-01	8.821e-07	6.500e-01	7.526e-02	7.000e-01	2.119e-01	7.200e-01	2.372e-01	1.000e+00	1.885e-01
2	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	1	nan	nan	nan	nan	nan	nan	1.000e+00	2.066e-01	1.000e+00	2.066e-01
2	2	nan	nan	nan	nan	nan	nan	1.000e+00	2.282e-01	1.000e+00	2.282e-01
2	3	nan	nan	nan	nan	nan	nan	1.000e+00	3.005e-01	1.000e+00	3.005e-01
2	4	nan	nan	nan	nan	nan	nan	1.000e+00	2.684e-01	1.000e+00	2.684e-01
2	5	nan	nan	nan	nan	1.000e+00	2.632e-01	1.000e+00	2.632e-01	1.000e+00	2.632e-01
2	6	nan	nan	nan	nan	9.200e-01	2.773e-01	1.000e+00	2.974e-01	1.000e+00	2.974e-01
2	7	nan	nan	nan	nan	1.000e+00	3.185e-01	1.000e+00	3.185e-01	1.000e+00	3.185e-01
2	8	nan	nan	nan	nan	7.600e-01	4.073e-01	8.600e-01	2.599e-01	1.000e+00	2.969e-01
2	9	4.500e-01	3.278e-01	6.600e-01	3.459e-01	1.000e+00	3.168e-01	1.000e+00	3.168e-01	1.000e+00	3.168e-01
3	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	2	nan	nan	nan	nan	nan	nan	1.000e+00	3.426e-01	1.000e+00	3.426e-01
3	3	nan	nan	nan	nan	nan	nan	1.000e+00	3.649e-01	1.000e+00	3.649e-01
3	4	nan	nan	nan	nan	nan	nan	1.000e+00	4.623e-01	1.000e+00	4.623e-01
3	5	nan	nan	nan	nan	nan	nan	1.000e+00	4.330e-01	1.000e+00	4.330e-01
3	6	nan	nan	nan	nan	nan	nan	1.000e+00	3.467e-01	1.000e+00	3.467e-01
3	7	nan	nan	nan	nan	1.000e+00	3.940e-01	1.000e+00	3.940e-01	1.000e+00	3.940e-01
3	8	nan	nan	nan	nan	1.000e+00	4.211e-01	1.000e+00	4.211e-01	1.000e+00	4.211e-01
3	9	5.000e-01	2.928e-01	6.500e-01	3.513e-01	1.000e+00	3.781e-01	1.000e+00	3.781e-01	1.000e+00	3.781e-01
4	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	1	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	5.098e-01
4	2	nan	nan	nan	nan	nan	nan	1.000e+00	4.930e-01	1.000e+00	4.930e-01
4	3	nan	nan	nan	nan	nan	nan	1.000e+00	4.836e-01	1.000e+00	4.836e-01
4	4	nan	nan	nan	nan	nan	nan	1.000e+00	4.639e-01	1.000e+00	4.639e-01
4	5	nan	nan	nan	nan	nan	nan	1.000e+00	4.253e-01	1.000e+00	4.253e-01
4	6	nan	nan	nan	nan	nan	nan	1.000e+00	4.828e-01	1.000e+00	4.828e-01
4	7	nan	nan	nan	nan	1.000e+00	5.426e-01	1.000e+00	5.426e-01	1.000e+00	5.426e-01
4	8	nan	nan	nan	nan	1.000e+00	4.392e-01	1.000e+00	4.392e-01	1.000e+00	4.392e-01
4	9	4.500e-01	5.000e-01	6.500e-01	4.091e-01	1.000e+00	4.960e-01	1.000e+00	4.960e-01	1.000e+00	4.960e-01
5	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	2	nan	nan	nan	nan	1.000e+00	6.026e-01	1.000e+00	6.026e-01	1.000e+00	6.026e-01
5	3	nan	nan	nan	nan	nan	nan	1.000e+00	5.741e-01	1.000e+00	5.741e-01
5	4	nan	nan	nan	nan	1.000e+00	5.472e-01	1.000e+00	5.472e-01	1.000e+00	5.472e-01
5	5	nan	nan	nan	nan	nan	nan	1.000e+00	5.998e-01	1.000e+00	5.998e-01
5	6	nan	nan	nan	nan	nan	nan	1.000e+00	5.729e-01	1.000e+00	5.729e-01
5	7	nan	nan	nan	nan	1.000e+00	5.591e-01	1.000e+00	5.591e-01	1.000e+00	5.591e-01
