x	y	progress.rate.q.0.05.0.00.quality.maturePerformance	progress.rate.q.0.05.0.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.10.quality.maturePerformance	progress.rate.q.0.05.0.10.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.25.quality.maturePerformance	progress.rate.q.0.05.0.25.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.50.quality.maturePerformance	progress.rate.q.0.05.0.50.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.1.00.quality.maturePerformance	progress.rate.q.0.05.1.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.
0	0	2.000e-02	-2.466e-07	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00
0	1	nan	nan	4.000e-01	1.650e-02	4.000e-01	1.650e-02	4.100e-01	5.746e-02	4.100e-01	5.746e-02
0	2	nan	nan	2.500e-01	2.996e-03	4.900e-01	1.171e-02	6.000e-01	1.567e-02	6.000e-01	1.567e-02
0	3	nan	nan	4.600e-01	2.585e-02	6.000e-01	1.359e-01	8.100e-01	4.372e-02	8.100e-01	4.372e-02
0	4	nan	nan	2.200e-01	2.633e-02	5.000e-01	4.634e-02	7.900e-01	7.407e-02	8.100e-01	9.161e-02
0	5	nan	nan	1.900e-01	-6.742e-03	4.100e-01	2.367e-02	6.000e-01	3.405e-02	6.000e-01	3.405e-02
0	6	nan	nan	1.900e-01	-1.667e-02	2.800e-01	1.030e-02	2.800e-01	1.030e-02	3.700e-01	3.061e-02
0	7	nan	nan	1.500e-01	2.466e-02	2.300e-01	6.161e-02	3.400e-01	5.163e-02	3.600e-01	6.478e-02
0	8	nan	nan	-1.000e-02	4.750e-02	1.400e-01	-7.842e-03	1.000e+00	1.000e+00	1.000e+00	1.000e+00
0	9	6.500e-01	5.000e-01	1.000e+00	5.101e-01	1.000e+00	5.101e-01	1.000e+00	5.101e-01	1.000e+00	5.101e-01
