x	y	progress.rate.q.0.05.0.00.quality.maturePerformance	progress.rate.q.0.05.0.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.10.quality.maturePerformance	progress.rate.q.0.05.0.10.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.25.quality.maturePerformance	progress.rate.q.0.05.0.25.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.50.quality.maturePerformance	progress.rate.q.0.05.0.50.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.1.00.quality.maturePerformance	progress.rate.q.0.05.1.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.
0	0	nan	nan	1.000e+00	1.061e-01	1.000e+00	1.061e-01	1.000e+00	1.061e-01	1.000e+00	1.061e-01
0	1	nan	nan	1.000e+00	5.652e-02	1.000e+00	5.652e-02	1.000e+00	5.652e-02	1.000e+00	5.652e-02
0	2	nan	nan	1.000e+00	8.101e-02	1.000e+00	8.101e-02	1.000e+00	8.101e-02	1.000e+00	8.101e-02
0	3	nan	nan	1.000e+00	1.101e-01	1.000e+00	1.101e-01	1.000e+00	1.101e-01	1.000e+00	1.101e-01
0	4	nan	nan	5.000e-01	3.549e-02	7.100e-01	6.864e-02	8.900e-01	9.160e-02	9.400e-01	9.254e-02
0	5	nan	nan	5.000e-01	9.190e-02	5.000e-01	9.190e-02	5.000e-01	9.190e-02	9.400e-01	8.212e-02
0	6	nan	nan	5.000e-01	6.462e-02	5.000e-01	6.462e-02	5.000e-01	6.462e-02	9.000e-01	1.033e-01
0	7	-5.000e-02	-5.239e-02	4.500e-01	5.722e-02	6.200e-01	1.038e-01	6.200e-01	1.038e-01	6.200e-01	1.038e-01
0	8	nan	nan	5.000e-02	1.653e-02	5.000e-01	7.211e-02	5.000e-01	7.211e-02	5.000e-01	7.211e-02
0	9	9.000e-02	1.609e-01	5.000e-01	4.566e-02	5.000e-01	4.566e-02	5.000e-01	4.566e-02	5.000e-01	4.566e-02
1	0	nan	nan	1.000e+00	1.153e-01	1.000e+00	1.153e-01	1.000e+00	1.153e-01	1.000e+00	1.153e-01
1	1	nan	nan	1.000e+00	1.749e-01	1.000e+00	1.749e-01	1.000e+00	1.749e-01	1.000e+00	1.749e-01
1	2	nan	nan	1.000e+00	1.996e-01	1.000e+00	1.996e-01	1.000e+00	1.996e-01	1.000e+00	1.996e-01
1	3	nan	nan	1.000e+00	1.833e-01	1.000e+00	1.833e-01	1.000e+00	1.833e-01	1.000e+00	1.833e-01
1	4	nan	nan	1.000e+00	1.344e-01	1.000e+00	1.344e-01	1.000e+00	1.344e-01	1.000e+00	1.344e-01
1	5	nan	nan	4.900e-01	1.047e-01	1.000e+00	1.612e-01	1.000e+00	1.612e-01	1.000e+00	1.612e-01
1	6	nan	nan	1.000e+00	1.538e-01	1.000e+00	1.538e-01	1.000e+00	1.538e-01	1.000e+00	1.538e-01
1	7	nan	nan	9.900e-01	2.094e-01	1.000e+00	1.516e-01	1.000e+00	1.516e-01	1.000e+00	1.516e-01
1	8	nan	nan	7.000e-01	1.535e-01	1.000e+00	1.831e-01	1.000e+00	1.831e-01	1.000e+00	1.831e-01
1	9	4.500e-01	2.327e-01	8.700e-01	2.121e-01	1.000e+00	1.771e-01	1.000e+00	1.771e-01	1.000e+00	1.771e-01
2	0	nan	nan	nan	nan	1.000e+00	2.203e-01	1.000e+00	2.203e-01	1.000e+00	2.203e-01
2	1	nan	nan	1.000e+00	2.462e-01	1.000e+00	2.462e-01	1.000e+00	2.462e-01	1.000e+00	2.462e-01
2	2	nan	nan	1.000e+00	3.017e-01	1.000e+00	3.017e-01	1.000e+00	3.017e-01	1.000e+00	3.017e-01
2	3	nan	nan	1.000e+00	2.698e-01	1.000e+00	2.698e-01	1.000e+00	2.698e-01	1.000e+00	2.698e-01
2	4	nan	nan	1.000e+00	1.948e-01	1.000e+00	1.948e-01	1.000e+00	1.948e-01	1.000e+00	1.948e-01
2	5	nan	nan	1.000e+00	2.949e-01	1.000e+00	2.949e-01	1.000e+00	2.949e-01	1.000e+00	2.949e-01
2	6	nan	nan	1.000e+00	2.198e-01	1.000e+00	2.198e-01	1.000e+00	2.198e-01	1.000e+00	2.198e-01
2	7	nan	nan	1.000e+00	2.513e-01	1.000e+00	2.513e-01	1.000e+00	2.513e-01	1.000e+00	2.513e-01
2	8	nan	nan	1.000e+00	2.640e-01	1.000e+00	2.640e-01	1.000e+00	2.640e-01	1.000e+00	2.640e-01
2	9	4.500e-01	2.796e-01	1.000e+00	2.349e-01	1.000e+00	2.349e-01	1.000e+00	2.349e-01	1.000e+00	2.349e-01
3	0	nan	nan	nan	nan	nan	nan	1.000e+00	3.122e-01	1.000e+00	3.122e-01
3	1	nan	nan	1.000e+00	3.397e-01	1.000e+00	3.397e-01	1.000e+00	3.397e-01	1.000e+00	3.397e-01
3	2	nan	nan	1.000e+00	3.905e-01	1.000e+00	3.905e-01	1.000e+00	3.905e-01	1.000e+00	3.905e-01
3	3	nan	nan	1.000e+00	3.362e-01	1.000e+00	3.362e-01	1.000e+00	3.362e-01	1.000e+00	3.362e-01
3	4	nan	nan	1.000e+00	4.208e-01	1.000e+00	4.208e-01	1.000e+00	4.208e-01	1.000e+00	4.208e-01
3	5	nan	nan	1.000e+00	3.635e-01	1.000e+00	3.635e-01	1.000e+00	3.635e-01	1.000e+00	3.635e-01
3	6	nan	nan	1.000e+00	3.639e-01	1.000e+00	3.639e-01	1.000e+00	3.639e-01	1.000e+00	3.639e-01
3	7	nan	nan	1.000e+00	3.096e-01	1.000e+00	3.096e-01	1.000e+00	3.096e-01	1.000e+00	3.096e-01
3	8	nan	nan	1.000e+00	3.672e-01	1.000e+00	3.672e-01	1.000e+00	3.672e-01	1.000e+00	3.672e-01
3	9	5.000e-01	3.133e-01	1.000e+00	4.051e-01	1.000e+00	4.051e-01	1.000e+00	4.051e-01	1.000e+00	4.051e-01
4	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	1	nan	nan	1.000e+00	4.901e-01	1.000e+00	4.901e-01	1.000e+00	4.901e-01	1.000e+00	4.901e-01
4	2	nan	nan	1.000e+00	5.159e-01	1.000e+00	5.159e-01	1.000e+00	5.159e-01	1.000e+00	5.159e-01
4	3	nan	nan	1.000e+00	4.435e-01	1.000e+00	4.435e-01	1.000e+00	4.435e-01	1.000e+00	4.435e-01
4	4	nan	nan	1.000e+00	4.755e-01	1.000e+00	4.755e-01	1.000e+00	4.755e-01	1.000e+00	4.755e-01
4	5	nan	nan	1.000e+00	4.592e-01	1.000e+00	4.592e-01	1.000e+00	4.592e-01	1.000e+00	4.592e-01
4	6	nan	nan	1.000e+00	4.678e-01	1.000e+00	4.678e-01	1.000e+00	4.678e-01	1.000e+00	4.678e-01
4	7	nan	nan	1.000e+00	4.240e-01	1.000e+00	4.240e-01	1.000e+00	4.240e-01	1.000e+00	4.240e-01
4	8	nan	nan	1.000e+00	4.712e-01	1.000e+00	4.712e-01	1.000e+00	4.712e-01	1.000e+00	4.712e-01
4	9	5.000e-01	4.017e-01	1.000e+00	4.877e-01	1.000e+00	4.877e-01	1.000e+00	4.877e-01	1.000e+00	4.877e-01
5	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	1	nan	nan	1.000e+00	5.493e-01	1.000e+00	5.493e-01	1.000e+00	5.493e-01	1.000e+00	5.493e-01
5	2	nan	nan	1.000e+00	5.752e-01	1.000e+00	5.752e-01	1.000e+00	5.752e-01	1.000e+00	5.752e-01
5	3	nan	nan	1.000e+00	5.379e-01	1.000e+00	5.379e-01	1.000e+00	5.379e-01	1.000e+00	5.379e-01
5	4	nan	nan	1.000e+00	5.741e-01	1.000e+00	5.741e-01	1.000e+00	5.741e-01	1.000e+00	5.741e-01
5	5	nan	nan	1.000e+00	5.286e-01	1.000e+00	5.286e-01	1.000e+00	5.286e-01	1.000e+00	5.286e-01
5	6	nan	nan	1.000e+00	6.251e-01	1.000e+00	6.251e-01	1.000e+00	6.251e-01	1.000e+00	6.251e-01
5	7	nan	nan	1.000e+00	5.470e-01	1.000e+00	5.470e-01	1.000e+00	5.470e-01	1.000e+00	5.470e-01
5	8	nan	nan	1.000e+00	5.425e-01	1.000e+00	5.425e-01	1.000e+00	5.425e-01	1.000e+00	5.425e-01
5	9	nan	nan	1.000e+00	5.278e-01	1.000e+00	5.278e-01	1.000e+00	5.278e-01	1.000e+00	5.278e-01
6	0	nan	nan	1.000e+00	7.213e-01	1.000e+00	7.213e-01	1.000e+00	7.213e-01	1.000e+00	7.213e-01
6	1	nan	nan	nan	nan	nan	nan	1.000e+00	6.671e-01	1.000e+00	6.671e-01
6	2	nan	nan	1.000e+00	6.971e-01	1.000e+00	6.971e-01	1.000e+00	6.971e-01	1.000e+00	6.971e-01
6	3	nan	nan	1.000e+00	6.643e-01	1.000e+00	6.643e-01	1.000e+00	6.643e-01	1.000e+00	6.643e-01
6	4	nan	nan	1.000e+00	6.847e-01	1.000e+00	6.847e-01	1.000e+00	6.847e-01	1.000e+00	6.847e-01
6	5	nan	nan	1.000e+00	6.443e-01	1.000e+00	6.443e-01	1.000e+00	6.443e-01	1.000e+00	6.443e-01
6	6	nan	nan	1.000e+00	6.138e-01	1.000e+00	6.138e-01	1.000e+00	6.138e-01	1.000e+00	6.138e-01
6	7	nan	nan	1.000e+00	6.815e-01	1.000e+00	6.815e-01	1.000e+00	6.815e-01	1.000e+00	6.815e-01
6	8	nan	nan	1.000e+00	7.045e-01	1.000e+00	7.045e-01	1.000e+00	7.045e-01	1.000e+00	7.045e-01
6	9	nan	nan	1.000e+00	6.415e-01	1.000e+00	6.415e-01	1.000e+00	6.415e-01	1.000e+00	6.415e-01
7	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
7	1	nan	nan	1.000e+00	8.141e-01	1.000e+00	8.141e-01	1.000e+00	8.141e-01	1.000e+00	8.141e-01
7	2	nan	nan	nan	nan	1.000e+00	7.324e-01	1.000e+00	7.324e-01	1.000e+00	7.324e-01
7	3	nan	nan	nan	nan	1.000e+00	8.005e-01	1.000e+00	8.005e-01	1.000e+00	8.005e-01
7	4	nan	nan	1.000e+00	8.165e-01	1.000e+00	8.165e-01	1.000e+00	8.165e-01	1.000e+00	8.165e-01
7	5	nan	nan	1.000e+00	7.735e-01	1.000e+00	7.735e-01	1.000e+00	7.735e-01	1.000e+00	7.735e-01
7	6	nan	nan	1.000e+00	7.267e-01	1.000e+00	7.267e-01	1.000e+00	7.267e-01	1.000e+00	7.267e-01
7	7	nan	nan	1.000e+00	7.729e-01	1.000e+00	7.729e-01	1.000e+00	7.729e-01	1.000e+00	7.729e-01
7	8	nan	nan	1.000e+00	7.366e-01	1.000e+00	7.366e-01	1.000e+00	7.366e-01	1.000e+00	7.366e-01
7	9	1.000e+00	7.131e-01	1.000e+00	7.131e-01	1.000e+00	7.131e-01	1.000e+00	7.131e-01	1.000e+00	7.131e-01
8	0	nan	nan	nan	nan	nan	nan	1.000e+00	9.023e-01	1.000e+00	9.023e-01
8	1	nan	nan	1.000e+00	8.851e-01	1.000e+00	8.851e-01	1.000e+00	8.851e-01	1.000e+00	8.851e-01
8	2	nan	nan	nan	nan	1.000e+00	9.173e-01	1.000e+00	9.173e-01	1.000e+00	9.173e-01
8	3	nan	nan	1.000e+00	9.152e-01	1.000e+00	9.152e-01	1.000e+00	9.152e-01	1.000e+00	9.152e-01
8	4	nan	nan	1.000e+00	8.634e-01	1.000e+00	8.634e-01	1.000e+00	8.634e-01	1.000e+00	8.634e-01
8	5	nan	nan	1.000e+00	8.215e-01	1.000e+00	8.215e-01	1.000e+00	8.215e-01	1.000e+00	8.215e-01
8	6	nan	nan	1.000e+00	8.690e-01	1.000e+00	8.690e-01	1.000e+00	8.690e-01	1.000e+00	8.690e-01
8	7	nan	nan	1.000e+00	8.555e-01	1.000e+00	8.555e-01	1.000e+00	8.555e-01	1.000e+00	8.555e-01
8	8	nan	nan	1.000e+00	8.250e-01	1.000e+00	8.250e-01	1.000e+00	8.250e-01	1.000e+00	8.250e-01
8	9	nan	nan	1.000e+00	8.495e-01	1.000e+00	8.495e-01	1.000e+00	8.495e-01	1.000e+00	8.495e-01
9	0	nan	nan	nan	nan	1.000e+00	9.723e-01	1.000e+00	9.723e-01	1.000e+00	9.723e-01
9	1	nan	nan	1.000e+00	9.681e-01	1.000e+00	9.681e-01	1.000e+00	9.681e-01	1.000e+00	9.681e-01
9	2	nan	nan	1.000e+00	9.438e-01	1.000e+00	9.438e-01	1.000e+00	9.438e-01	1.000e+00	9.438e-01
9	3	nan	nan	1.000e+00	9.303e-01	1.000e+00	9.303e-01	1.000e+00	9.303e-01	1.000e+00	9.303e-01
9	4	nan	nan	nan	nan	1.000e+00	9.086e-01	1.000e+00	9.086e-01	1.000e+00	9.086e-01
9	5	nan	nan	nan	nan	1.000e+00	9.102e-01	1.000e+00	9.102e-01	1.000e+00	9.102e-01
9	6	nan	nan	nan	nan	1.000e+00	9.125e-01	1.000e+00	9.125e-01	1.000e+00	9.125e-01
9	7	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
9	8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
9	9	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
