x	y	progress.rate.q.0.05.0.00.quality.maturePerformance	progress.rate.q.0.05.0.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.10.quality.maturePerformance	progress.rate.q.0.05.0.10.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.25.quality.maturePerformance	progress.rate.q.0.05.0.25.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.50.quality.maturePerformance	progress.rate.q.0.05.0.50.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.1.00.quality.maturePerformance	progress.rate.q.0.05.1.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.
0	0	nan	nan	5.000e-02	-1.609e-03	1.000e+00	3.282e-02	1.000e+00	3.282e-02	1.000e+00	3.282e-02
0	1	nan	nan	5.000e-02	-7.912e-04	6.100e-01	3.571e-02	9.900e-01	7.642e-02	9.900e-01	7.642e-02
0	2	nan	nan	6.500e-01	7.711e-02	6.500e-01	7.711e-02	1.000e+00	9.809e-02	1.000e+00	9.809e-02
0	3	nan	nan	5.200e-01	8.324e-02	5.200e-01	8.324e-02	6.900e-01	5.693e-02	1.000e+00	7.938e-02
0	4	nan	nan	4.400e-01	7.025e-02	8.300e-01	1.809e-01	8.300e-01	1.809e-01	9.400e-01	2.133e-01
0	5	nan	nan	6.500e-01	3.379e-02	6.500e-01	3.379e-02	6.500e-01	3.379e-02	9.800e-01	1.223e-01
0	6	nan	nan	4.400e-01	6.525e-02	4.500e-01	8.140e-02	6.500e-01	7.384e-02	6.500e-01	7.384e-02
0	7	nan	nan	5.000e-01	6.659e-02	6.500e-01	8.497e-02	6.500e-01	8.497e-02	6.500e-01	8.497e-02
0	8	nan	nan	4.500e-01	1.082e-01	5.000e-01	9.388e-02	5.000e-01	9.388e-02	5.000e-01	9.388e-02
0	9	1.500e-01	-5.949e-02	6.500e-01	-7.678e-04	6.500e-01	-7.678e-04	6.500e-01	-7.678e-04	6.500e-01	-7.678e-04
1	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	2	nan	nan	nan	nan	nan	nan	1.000e+00	1.509e-01	1.000e+00	1.509e-01
1	3	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	2.552e-01
1	4	nan	nan	nan	nan	nan	nan	9.000e-01	2.314e-01	1.000e+00	2.055e-01
1	5	nan	nan	nan	nan	nan	nan	9.100e-01	2.160e-01	9.100e-01	2.160e-01
1	6	nan	nan	nan	nan	7.900e-01	2.682e-01	1.000e+00	2.763e-01	1.000e+00	2.763e-01
1	7	nan	nan	nan	nan	6.500e-01	9.241e-02	6.500e-01	9.241e-02	1.000e+00	3.369e-01
1	8	nan	nan	nan	nan	6.500e-01	2.081e-01	1.000e+00	1.633e-01	1.000e+00	1.633e-01
1	9	4.900e-01	1.061e-01	6.500e-01	9.548e-02	6.500e-01	9.548e-02	7.000e-01	3.867e-01	1.000e+00	2.662e-01
2	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	2	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	3	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	2.900e-01
2	4	nan	nan	9.800e-01	2.843e-01	9.800e-01	2.843e-01	9.800e-01	2.843e-01	1.000e+00	2.292e-01
2	5	nan	nan	nan	nan	nan	nan	1.000e+00	2.953e-01	1.000e+00	2.953e-01
2	6	nan	nan	1.000e+00	3.154e-01	1.000e+00	3.154e-01	1.000e+00	3.154e-01	1.000e+00	3.154e-01
2	7	nan	nan	nan	nan	9.000e-01	2.674e-01	9.000e-01	2.674e-01	9.000e-01	2.674e-01
2	8	nan	nan	nan	nan	nan	nan	1.000e+00	3.765e-01	1.000e+00	3.765e-01
2	9	4.000e-01	2.919e-01	6.500e-01	1.299e-01	1.000e+00	2.734e-01	1.000e+00	2.734e-01	1.000e+00	2.734e-01
3	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	2	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	3	nan	nan	nan	nan	nan	nan	1.000e+00	3.282e-01	1.000e+00	3.282e-01
3	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	6	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	4.681e-01
3	7	nan	nan	nan	nan	1.000e+00	4.422e-01	1.000e+00	4.422e-01	1.000e+00	4.422e-01
3	8	nan	nan	nan	nan	1.000e+00	4.131e-01	1.000e+00	4.131e-01	1.000e+00	4.131e-01
3	9	5.000e-01	2.629e-01	1.000e+00	4.203e-01	1.000e+00	4.203e-01	1.000e+00	4.203e-01	1.000e+00	4.203e-01
4	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	2	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	4	nan	nan	1.000e+00	4.682e-01	1.000e+00	4.682e-01	1.000e+00	4.682e-01	1.000e+00	4.682e-01
4	5	nan	nan	nan	nan	1.000e+00	5.872e-01	1.000e+00	5.872e-01	1.000e+00	5.872e-01
4	6	nan	nan	nan	nan	nan	nan	1.000e+00	5.309e-01	1.000e+00	5.309e-01
4	7	nan	nan	nan	nan	nan	nan	1.000e+00	6.648e-01	1.000e+00	6.648e-01
4	8	nan	nan	nan	nan	1.000e+00	5.897e-01	1.000e+00	5.897e-01	1.000e+00	5.897e-01
4	9	5.100e-01	9.682e-03	1.000e+00	4.896e-01	1.000e+00	4.896e-01	1.000e+00	4.896e-01	1.000e+00	4.896e-01
5	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	2	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	6.553e-01
5	3	nan	nan	nan	nan	1.000e+00	6.698e-01	1.000e+00	6.698e-01	1.000e+00	6.698e-01
5	4	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	6.101e-01
5	5	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	5.940e-01
5	6	nan	nan	nan	nan	nan	nan	1.000e+00	5.800e-01	1.000e+00	5.800e-01
5	7	nan	nan	nan	nan	nan	nan	1.000e+00	6.256e-01	1.000e+00	6.256e-01
5	8	nan	nan	1.000e+00	5.891e-01	1.000e+00	5.891e-01	1.000e+00	5.891e-01	1.000e+00	5.891e-01
5	9	5.000e-01	4.888e-01	1.000e+00	5.406e-01	1.000e+00	5.406e-01	1.000e+00	5.406e-01	1.000e+00	5.406e-01
6	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
6	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
6	2	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
6	3	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	7.421e-01
6	4	nan	nan	nan	nan	1.000e+00	7.287e-01	1.000e+00	7.287e-01	1.000e+00	7.287e-01
6	5	nan	nan	nan	nan	1.000e+00	7.267e-01	1.000e+00	7.267e-01	1.000e+00	7.267e-01
6	6	nan	nan	nan	nan	1.000e+00	8.229e-01	1.000e+00	8.229e-01	1.000e+00	8.229e-01
6	7	nan	nan	nan	nan	1.000e+00	7.541e-01	1.000e+00	7.541e-01	1.000e+00	7.541e-01
6	8	nan	nan	1.000e+00	7.376e-01	1.000e+00	7.376e-01	1.000e+00	7.376e-01	1.000e+00	7.376e-01
6	9	6.500e-01	4.982e-01	1.000e+00	6.463e-01	1.000e+00	6.463e-01	1.000e+00	6.463e-01	1.000e+00	6.463e-01
7	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
7	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
7	2	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	8.166e-01
7	3	nan	nan	nan	nan	nan	nan	1.000e+00	8.695e-01	1.000e+00	8.695e-01
7	4	nan	nan	nan	nan	nan	nan	1.000e+00	8.154e-01	1.000e+00	8.154e-01
7	5	nan	nan	nan	nan	1.000e+00	8.955e-01	1.000e+00	8.955e-01	1.000e+00	8.955e-01
7	6	nan	nan	1.000e+00	8.202e-01	1.000e+00	8.202e-01	1.000e+00	8.202e-01	1.000e+00	8.202e-01
7	7	nan	nan	1.000e+00	8.150e-01	1.000e+00	8.150e-01	1.000e+00	8.150e-01	1.000e+00	8.150e-01
7	8	nan	nan	1.000e+00	7.391e-01	1.000e+00	7.391e-01	1.000e+00	7.391e-01	1.000e+00	7.391e-01
7	9	nan	nan	1.000e+00	7.901e-01	1.000e+00	7.901e-01	1.000e+00	7.901e-01	1.000e+00	7.901e-01
8	0	nan	nan	nan	nan	nan	nan	1.000e+00	9.954e-01	1.000e+00	9.954e-01
8	1	nan	nan	nan	nan	1.000e+00	9.753e-01	1.000e+00	9.753e-01	1.000e+00	9.753e-01
8	2	nan	nan	1.000e+00	9.369e-01	1.000e+00	9.369e-01	1.000e+00	9.369e-01	1.000e+00	9.369e-01
8	3	nan	nan	1.000e+00	9.441e-01	1.000e+00	9.441e-01	1.000e+00	9.441e-01	1.000e+00	9.441e-01
8	4	nan	nan	1.000e+00	8.965e-01	1.000e+00	8.965e-01	1.000e+00	8.965e-01	1.000e+00	8.965e-01
8	5	nan	nan	1.000e+00	8.288e-01	1.000e+00	8.288e-01	1.000e+00	8.288e-01	1.000e+00	8.288e-01
8	6	nan	nan	1.000e+00	8.326e-01	1.000e+00	8.326e-01	1.000e+00	8.326e-01	1.000e+00	8.326e-01
8	7	nan	nan	1.000e+00	8.719e-01	1.000e+00	8.719e-01	1.000e+00	8.719e-01	1.000e+00	8.719e-01
8	8	nan	nan	1.000e+00	9.285e-01	1.000e+00	9.285e-01	1.000e+00	9.285e-01	1.000e+00	9.285e-01
8	9	nan	nan	1.000e+00	7.714e-01	1.000e+00	7.714e-01	1.000e+00	7.714e-01	1.000e+00	7.714e-01
9	0	nan	nan	1.000e+00	9.901e-01	1.000e+00	9.901e-01	1.000e+00	9.901e-01	1.000e+00	9.901e-01
9	1	nan	nan	nan	nan	1.000e+00	9.717e-01	1.000e+00	9.717e-01	1.000e+00	9.717e-01
9	2	nan	nan	nan	nan	1.000e+00	9.560e-01	1.000e+00	9.560e-01	1.000e+00	9.560e-01
9	3	nan	nan	nan	nan	1.000e+00	9.598e-01	1.000e+00	9.598e-01	1.000e+00	9.598e-01
9	4	nan	nan	nan	nan	1.000e+00	9.668e-01	1.000e+00	9.668e-01	1.000e+00	9.668e-01
9	5	nan	nan	nan	nan	1.000e+00	9.226e-01	1.000e+00	9.226e-01	1.000e+00	9.226e-01
9	6	nan	nan	nan	nan	1.000e+00	9.348e-01	1.000e+00	9.348e-01	1.000e+00	9.348e-01
9	7	nan	nan	nan	nan	1.000e+00	9.863e-01	1.000e+00	9.863e-01	1.000e+00	9.863e-01
9	8	nan	nan	nan	nan	nan	nan	nan	nan	9.800e-01	9.462e-01
9	9	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	8.744e-01
