x	y	progress.rate.q.0.05.0.00.quality.maturePerformance	progress.rate.q.0.05.0.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.10.quality.maturePerformance	progress.rate.q.0.05.0.10.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.25.quality.maturePerformance	progress.rate.q.0.05.0.25.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.50.quality.maturePerformance	progress.rate.q.0.05.0.50.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.1.00.quality.maturePerformance	progress.rate.q.0.05.1.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.
0	0	-5.551e-18	-3.950e-11	3.900e-01	-1.176e-08	4.700e-01	6.189e-08	4.700e-01	6.189e-08	5.500e-01	5.264e-11
0	1	nan	nan	2.400e-01	1.076e-03	2.400e-01	5.465e-05	2.400e-01	5.465e-05	4.900e-01	3.288e-13
0	2	nan	nan	2.500e-01	2.784e-10	2.500e-01	2.784e-10	4.000e-01	4.959e-10	4.000e-01	4.959e-10
0	3	nan	nan	2.000e-01	3.517e-08	2.700e-01	1.880e-02	2.900e-01	1.787e-08	4.800e-01	4.286e-01
0	4	nan	nan	2.600e-01	-1.592e-03	3.500e-01	2.005e-01	4.000e-01	4.961e-10	4.000e-01	4.961e-10
0	5	nan	nan	2.100e-01	-1.103e-07	2.900e-01	1.101e-01	3.500e-01	2.308e-01	4.700e-01	2.751e-13
0	6	nan	nan	2.800e-01	-2.529e-08	2.800e-01	-9.925e-03	4.000e-01	4.959e-10	5.500e-01	3.150e-01
0	7	nan	nan	2.600e-01	1.938e-04	2.800e-01	-3.242e-02	3.800e-01	1.767e-08	4.000e-01	4.429e-01
0	8	nan	nan	2.900e-01	6.215e-03	3.500e-01	3.989e-01	4.100e-01	2.501e-07	5.500e-01	4.335e-01
0	9	4.500e-01	5.000e-01	4.500e-01	5.000e-01	5.500e-01	5.000e-01	6.500e-01	5.000e-01	7.500e-01	5.000e-01
1	0	nan	nan	nan	nan	nan	nan	2.400e-01	4.959e-10	5.500e-01	4.942e-12
1	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	2	nan	nan	nan	nan	nan	nan	nan	nan	2.500e-01	1.499e-01
