x	y	progress.rate.q.0.05.0.00.quality.maturePerformance	progress.rate.q.0.05.0.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.10.quality.maturePerformance	progress.rate.q.0.05.0.10.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.25.quality.maturePerformance	progress.rate.q.0.05.0.25.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.50.quality.maturePerformance	progress.rate.q.0.05.0.50.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.1.00.quality.maturePerformance	progress.rate.q.0.05.1.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.
0	0	nan	nan	1.000e+00	8.185e-02	1.000e+00	8.185e-02	1.000e+00	8.185e-02	1.000e+00	8.185e-02
0	1	nan	nan	1.000e+00	6.864e-02	1.000e+00	6.864e-02	1.000e+00	6.864e-02	1.000e+00	6.864e-02
0	2	-5.000e-02	4.035e-03	1.000e+00	7.272e-02	1.000e+00	7.272e-02	1.000e+00	7.272e-02	1.000e+00	7.272e-02
0	3	nan	nan	1.000e+00	9.620e-02	1.000e+00	9.620e-02	1.000e+00	9.620e-02	1.000e+00	9.620e-02
0	4	nan	nan	5.000e-01	5.380e-02	8.600e-01	7.057e-02	1.000e+00	9.515e-02	1.000e+00	9.515e-02
0	5	nan	nan	6.600e-01	1.054e-01	7.000e-01	9.276e-02	8.700e-01	7.781e-02	8.700e-01	7.781e-02
0	6	-4.500e-01	-8.835e-02	5.000e-01	1.039e-01	5.400e-01	7.668e-02	8.500e-01	8.676e-02	8.500e-01	8.676e-02
0	7	5.000e-02	3.220e-02	5.000e-01	8.917e-02	7.300e-01	1.468e-01	7.300e-01	1.468e-01	7.300e-01	1.468e-01
0	8	nan	nan	5.000e-01	2.427e-02	5.000e-01	2.427e-02	5.000e-01	2.427e-02	5.000e-01	2.427e-02
0	9	5.000e-01	7.008e-02	5.000e-01	7.008e-02	5.000e-01	7.008e-02	5.000e-01	7.008e-02	5.000e-01	7.008e-02
1	0	nan	nan	1.000e+00	1.827e-01	1.000e+00	1.827e-01	1.000e+00	1.827e-01	1.000e+00	1.827e-01
1	1	nan	nan	1.000e+00	1.197e-01	1.000e+00	1.197e-01	1.000e+00	1.197e-01	1.000e+00	1.197e-01
1	2	nan	nan	1.000e+00	2.036e-01	1.000e+00	2.036e-01	1.000e+00	2.036e-01	1.000e+00	2.036e-01
1	3	nan	nan	1.000e+00	1.708e-01	1.000e+00	1.708e-01	1.000e+00	1.708e-01	1.000e+00	1.708e-01
1	4	nan	nan	1.000e+00	1.427e-01	1.000e+00	1.427e-01	1.000e+00	1.427e-01	1.000e+00	1.427e-01
1	5	nan	nan	1.000e+00	1.735e-01	1.000e+00	1.735e-01	1.000e+00	1.735e-01	1.000e+00	1.735e-01
1	6	nan	nan	1.000e+00	1.735e-01	1.000e+00	1.735e-01	1.000e+00	1.735e-01	1.000e+00	1.735e-01
1	7	nan	nan	1.000e+00	1.939e-01	1.000e+00	1.939e-01	1.000e+00	1.939e-01	1.000e+00	1.939e-01
1	8	nan	nan	1.000e+00	1.894e-01	1.000e+00	1.894e-01	1.000e+00	1.894e-01	1.000e+00	1.894e-01
1	9	5.000e-01	1.250e-01	1.000e+00	1.642e-01	1.000e+00	1.642e-01	1.000e+00	1.642e-01	1.000e+00	1.642e-01
2	0	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	2.612e-01
2	1	nan	nan	1.000e+00	2.083e-01	1.000e+00	2.083e-01	1.000e+00	2.083e-01	1.000e+00	2.083e-01
2	2	nan	nan	1.000e+00	2.918e-01	1.000e+00	2.918e-01	1.000e+00	2.918e-01	1.000e+00	2.918e-01
2	3	nan	nan	1.000e+00	2.283e-01	1.000e+00	2.283e-01	1.000e+00	2.283e-01	1.000e+00	2.283e-01
2	4	nan	nan	1.000e+00	2.581e-01	1.000e+00	2.581e-01	1.000e+00	2.581e-01	1.000e+00	2.581e-01
2	5	nan	nan	1.000e+00	2.112e-01	1.000e+00	2.112e-01	1.000e+00	2.112e-01	1.000e+00	2.112e-01
2	6	nan	nan	1.000e+00	2.626e-01	1.000e+00	2.626e-01	1.000e+00	2.626e-01	1.000e+00	2.626e-01
