x	y	progress.rate.q.0.05.0.00.quality.maturePerformance	progress.rate.q.0.05.0.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.10.quality.maturePerformance	progress.rate.q.0.05.0.10.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.25.quality.maturePerformance	progress.rate.q.0.05.0.25.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.50.quality.maturePerformance	progress.rate.q.0.05.0.50.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.1.00.quality.maturePerformance	progress.rate.q.0.05.1.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.
0	0	nan	nan	5.000e-02	1.040e-04	8.000e-02	-9.575e-03	5.000e-01	5.374e-03	5.000e-01	5.374e-03
0	1	nan	nan	-3.300e-01	-1.014e-02	5.000e-01	1.137e-02	5.000e-01	1.137e-02	1.000e+00	5.590e-02
0	2	nan	nan	nan	nan	5.000e-01	4.042e-02	5.000e-01	4.042e-02	1.000e+00	7.224e-02
0	3	nan	nan	5.000e-01	5.535e-03	5.500e-01	2.666e-02	8.500e-01	1.080e-01	9.800e-01	6.911e-02
0	4	nan	nan	1.500e-01	1.531e-02	5.000e-01	3.924e-02	9.500e-01	8.824e-02	9.500e-01	8.824e-02
0	5	nan	nan	nan	nan	5.500e-01	6.388e-02	5.500e-01	6.388e-02	5.500e-01	6.388e-02
0	6	nan	nan	5.000e-02	3.084e-02	5.000e-01	1.355e-01	6.500e-01	4.029e-02	8.100e-01	9.569e-02
0	7	nan	nan	5.000e-02	-7.337e-02	5.000e-01	5.824e-02	5.000e-01	5.824e-02	6.500e-01	5.231e-02
0	8	nan	nan	5.000e-02	4.849e-02	5.000e-01	7.667e-02	5.500e-01	6.145e-02	5.500e-01	6.145e-02
0	9	4.500e-01	-4.234e-03	6.500e-01	4.651e-02	6.500e-01	4.651e-02	6.500e-01	4.651e-02	6.500e-01	4.651e-02
1	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	1	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	1.332e-01
1	2	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	1.451e-01
1	3	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	1.828e-01
1	4	nan	nan	nan	nan	7.100e-01	1.414e-01	9.600e-01	1.070e-01	1.000e+00	1.512e-01
1	5	nan	nan	nan	nan	nan	nan	9.400e-01	1.459e-01	1.000e+00	1.826e-01
1	6	nan	nan	nan	nan	nan	nan	5.000e-01	1.579e-01	1.000e+00	1.520e-01
1	7	nan	nan	nan	nan	5.000e-01	8.518e-02	5.000e-01	8.518e-02	9.300e-01	1.687e-01
1	8	nan	nan	nan	nan	5.000e-01	1.786e-01	7.500e-01	2.411e-01	1.000e+00	1.859e-01
1	9	1.800e-01	1.418e-01	6.500e-01	8.573e-02	9.900e-01	2.533e-01	1.000e+00	1.943e-01	1.000e+00	1.943e-01
2	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	1	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	2.555e-01
2	2	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	2.067e-01
2	3	nan	nan	nan	nan	nan	nan	1.000e+00	2.293e-01	1.000e+00	2.293e-01
2	4	nan	nan	nan	nan	nan	nan	1.000e+00	2.346e-01	1.000e+00	2.346e-01
2	5	nan	nan	nan	nan	nan	nan	1.000e+00	3.833e-01	1.000e+00	3.833e-01
2	6	nan	nan	nan	nan	nan	nan	1.000e+00	2.479e-01	1.000e+00	2.479e-01
2	7	nan	nan	nan	nan	nan	nan	1.000e+00	2.530e-01	1.000e+00	2.530e-01
2	8	nan	nan	nan	nan	nan	nan	1.000e+00	2.937e-01	1.000e+00	2.937e-01
2	9	5.000e-01	2.987e-01	1.000e+00	3.092e-01	1.000e+00	3.092e-01	1.000e+00	3.092e-01	1.000e+00	3.092e-01
3	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	1	nan	nan	nan	nan	nan	nan	1.000e+00	2.935e-01	1.000e+00	2.935e-01
3	2	nan	nan	nan	nan	nan	nan	1.000e+00	3.316e-01	1.000e+00	3.316e-01
3	3	nan	nan	nan	nan	nan	nan	1.000e+00	3.907e-01	1.000e+00	3.907e-01
3	4	nan	nan	nan	nan	1.000e+00	3.200e-01	1.000e+00	3.200e-01	1.000e+00	3.200e-01
3	5	nan	nan	nan	nan	nan	nan	1.000e+00	3.220e-01	1.000e+00	3.220e-01
3	6	nan	nan	nan	nan	nan	nan	1.000e+00	3.498e-01	1.000e+00	3.498e-01
3	7	nan	nan	nan	nan	nan	nan	1.000e+00	4.603e-01	1.000e+00	4.603e-01
3	8	nan	nan	nan	nan	nan	nan	1.000e+00	3.412e-01	1.000e+00	3.412e-01
3	9	5.900e-01	2.796e-01	1.000e+00	3.184e-01	1.000e+00	3.184e-01	1.000e+00	3.184e-01	1.000e+00	3.184e-01
4	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	2	nan	nan	nan	nan	nan	nan	1.000e+00	4.707e-01	1.000e+00	4.707e-01
4	3	nan	nan	nan	nan	nan	nan	1.000e+00	4.597e-01	1.000e+00	4.597e-01
4	4	nan	nan	nan	nan	nan	nan	1.000e+00	4.995e-01	1.000e+00	4.995e-01
4	5	nan	nan	nan	nan	nan	nan	1.000e+00	4.198e-01	1.000e+00	4.198e-01
4	6	nan	nan	nan	nan	nan	nan	1.000e+00	4.415e-01	1.000e+00	4.415e-01
4	7	nan	nan	nan	nan	nan	nan	1.000e+00	4.980e-01	1.000e+00	4.980e-01
4	8	nan	nan	nan	nan	9.300e-01	4.676e-01	1.000e+00	4.908e-01	1.000e+00	4.908e-01
4	9	nan	nan	1.000e+00	4.835e-01	1.000e+00	4.835e-01	1.000e+00	4.835e-01	1.000e+00	4.835e-01
5	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	1	nan	nan	nan	nan	nan	nan	1.000e+00	5.982e-01	1.000e+00	5.982e-01
5	2	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	5.176e-01
5	3	nan	nan	nan	nan	nan	nan	1.000e+00	5.059e-01	1.000e+00	5.059e-01
5	4	nan	nan	nan	nan	nan	nan	1.000e+00	6.032e-01	1.000e+00	6.032e-01
5	5	nan	nan	nan	nan	nan	nan	1.000e+00	5.502e-01	1.000e+00	5.502e-01
5	6	nan	nan	nan	nan	nan	nan	1.000e+00	5.298e-01	1.000e+00	5.298e-01
5	7	nan	nan	nan	nan	nan	nan	1.000e+00	5.171e-01	1.000e+00	5.171e-01
5	8	nan	nan	1.000e+00	5.907e-01	1.000e+00	5.907e-01	1.000e+00	5.907e-01	1.000e+00	5.907e-01
5	9	5.000e-01	4.999e-01	1.000e+00	5.540e-01	1.000e+00	5.540e-01	1.000e+00	5.540e-01	1.000e+00	5.540e-01
6	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
6	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
6	2	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	6.596e-01
6	3	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	6.420e-01
6	4	nan	nan	nan	nan	nan	nan	1.000e+00	6.720e-01	1.000e+00	6.720e-01
6	5	nan	nan	nan	nan	1.000e+00	6.579e-01	1.000e+00	6.579e-01	1.000e+00	6.579e-01
6	6	nan	nan	nan	nan	1.000e+00	7.069e-01	1.000e+00	7.069e-01	1.000e+00	7.069e-01
6	7	nan	nan	1.000e+00	6.677e-01	1.000e+00	6.677e-01	1.000e+00	6.677e-01	1.000e+00	6.677e-01
6	8	nan	nan	1.000e+00	6.894e-01	1.000e+00	6.894e-01	1.000e+00	6.894e-01	1.000e+00	6.894e-01
6	9	6.600e-01	5.521e-01	1.000e+00	6.804e-01	1.000e+00	6.804e-01	1.000e+00	6.804e-01	1.000e+00	6.804e-01
7	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
7	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
7	2	nan	nan	nan	nan	nan	nan	1.000e+00	7.736e-01	1.000e+00	7.736e-01
7	3	nan	nan	nan	nan	nan	nan	1.000e+00	8.280e-01	1.000e+00	8.280e-01
7	4	nan	nan	nan	nan	1.000e+00	8.000e-01	1.000e+00	8.000e-01	1.000e+00	8.000e-01
7	5	nan	nan	nan	nan	1.000e+00	7.485e-01	1.000e+00	7.485e-01	1.000e+00	7.485e-01
7	6	nan	nan	1.000e+00	7.878e-01	1.000e+00	7.878e-01	1.000e+00	7.878e-01	1.000e+00	7.878e-01
7	7	nan	nan	1.000e+00	7.993e-01	1.000e+00	7.993e-01	1.000e+00	7.993e-01	1.000e+00	7.993e-01
7	8	nan	nan	1.000e+00	6.988e-01	1.000e+00	6.988e-01	1.000e+00	6.988e-01	1.000e+00	6.988e-01
7	9	nan	nan	1.000e+00	7.783e-01	1.000e+00	7.783e-01	1.000e+00	7.783e-01	1.000e+00	7.783e-01
8	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
8	1	nan	nan	nan	nan	nan	nan	1.000e+00	8.983e-01	1.000e+00	8.983e-01
8	2	nan	nan	1.000e+00	8.208e-01	1.000e+00	8.208e-01	1.000e+00	8.208e-01	1.000e+00	8.208e-01
8	3	nan	nan	1.000e+00	9.185e-01	1.000e+00	9.185e-01	1.000e+00	9.185e-01	1.000e+00	9.185e-01
8	4	nan	nan	1.000e+00	9.072e-01	1.000e+00	9.072e-01	1.000e+00	9.072e-01	1.000e+00	9.072e-01
8	5	nan	nan	1.000e+00	9.150e-01	1.000e+00	9.150e-01	1.000e+00	9.150e-01	1.000e+00	9.150e-01
8	6	nan	nan	1.000e+00	8.870e-01	1.000e+00	8.870e-01	1.000e+00	8.870e-01	1.000e+00	8.870e-01
8	7	nan	nan	1.000e+00	9.043e-01	1.000e+00	9.043e-01	1.000e+00	9.043e-01	1.000e+00	9.043e-01
8	8	nan	nan	1.000e+00	8.730e-01	1.000e+00	8.730e-01	1.000e+00	8.730e-01	1.000e+00	8.730e-01
8	9	nan	nan	1.000e+00	8.344e-01	1.000e+00	8.344e-01	1.000e+00	8.344e-01	1.000e+00	8.344e-01
9	0	nan	nan	1.000e+00	9.994e-01	1.000e+00	9.994e-01	1.000e+00	9.994e-01	1.000e+00	9.994e-01
9	1	nan	nan	1.000e+00	9.652e-01	1.000e+00	9.652e-01	1.000e+00	9.652e-01	1.000e+00	9.652e-01
9	2	nan	nan	1.000e+00	9.481e-01	1.000e+00	9.481e-01	1.000e+00	9.481e-01	1.000e+00	9.481e-01
9	3	nan	nan	1.000e+00	9.498e-01	1.000e+00	9.498e-01	1.000e+00	9.498e-01	1.000e+00	9.498e-01
9	4	nan	nan	1.000e+00	9.387e-01	1.000e+00	9.387e-01	1.000e+00	9.387e-01	1.000e+00	9.387e-01
9	5	nan	nan	1.000e+00	9.443e-01	1.000e+00	9.443e-01	1.000e+00	9.443e-01	1.000e+00	9.443e-01
9	6	nan	nan	nan	nan	1.000e+00	9.484e-01	1.000e+00	9.484e-01	1.000e+00	9.484e-01
9	7	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	9.528e-01
9	8	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	9.058e-01
9	9	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
