x	y	progress.rate.q.0.05.0.00.quality.maturePerformance	progress.rate.q.0.05.0.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.10.quality.maturePerformance	progress.rate.q.0.05.0.10.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.25.quality.maturePerformance	progress.rate.q.0.05.0.25.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.50.quality.maturePerformance	progress.rate.q.0.05.0.50.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.1.00.quality.maturePerformance	progress.rate.q.0.05.1.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.
0	0	3.000e-02	1.647e-08	2.700e-01	1.401e-03	3.800e-01	-5.095e-03	4.700e-01	8.505e-05	4.700e-01	8.505e-05
0	1	nan	nan	3.700e-01	6.127e-03	3.700e-01	6.127e-03	3.700e-01	6.127e-03	3.700e-01	6.127e-03
0	2	nan	nan	2.500e-01	-3.933e-05	2.500e-01	-3.933e-05	2.800e-01	-3.804e-04	1.000e+00	-2.006e-01
0	3	nan	nan	2.600e-01	1.901e-05	2.600e-01	1.901e-05	3.400e-01	5.836e-03	3.500e-01	5.004e-03
0	4	nan	nan	2.500e-01	3.116e-03	4.600e-01	7.356e-03	4.600e-01	7.356e-03	4.600e-01	7.356e-03
0	5	nan	nan	2.600e-01	5.886e-02	3.500e-01	7.174e-02	4.600e-01	5.910e-02	4.600e-01	5.910e-02
0	6	nan	nan	2.500e-01	9.533e-02	3.700e-01	8.190e-02	3.700e-01	8.190e-02	3.700e-01	8.190e-02
0	7	nan	nan	3.500e-01	5.746e-02	3.600e-01	3.285e-03	3.700e-01	9.413e-03	4.500e-01	8.527e-03
0	8	nan	nan	3.500e-01	6.604e-02	4.600e-01	8.081e-03	4.600e-01	8.081e-03	4.600e-01	8.081e-03
0	9	4.500e-01	5.000e-01	4.500e-01	5.000e-01	4.600e-01	6.963e-02	4.600e-01	6.963e-02	4.600e-01	6.963e-02
1	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	1	nan	nan	nan	nan	1.600e-01	9.460e-01	2.600e-01	1.041e-03	3.600e-01	-1.608e-04
1	2	nan	nan	nan	nan	1.600e-01	-1.174e-01	1.600e-01	-1.174e-01	3.600e-01	9.263e-01
1	3	nan	nan	nan	nan	nan	nan	2.600e-01	-4.595e-02	3.700e-01	9.411e-01
1	4	nan	nan	nan	nan	3.700e-01	-7.396e-06	3.700e-01	-7.396e-06	3.700e-01	-7.396e-06
1	5	nan	nan	nan	nan	1.500e-01	1.257e-03	1.500e-01	1.257e-03	3.700e-01	9.090e-03
1	6	nan	nan	nan	nan	2.600e-01	1.079e-03	2.700e-01	-3.218e-04	3.600e-01	5.213e-04
1	7	nan	nan	nan	nan	7.000e-02	-2.464e-04	2.600e-01	1.335e-01	3.600e-01	8.271e-03
1	8	nan	nan	nan	nan	2.700e-01	-3.162e-04	2.700e-01	-3.162e-04	4.000e-01	5.181e-01
1	9	5.000e-01	5.000e-01	5.500e-01	5.000e-01	5.500e-01	5.000e-01	7.000e-01	5.354e-02	7.000e-01	5.354e-02
2	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	1	nan	nan	nan	nan	nan	nan	nan	nan	1.600e-01	9.413e-01
2	2	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	3	nan	nan	nan	nan	nan	nan	nan	nan	4.700e-01	-9.870e-05
2	4	nan	nan	nan	nan	2.600e-01	-1.538e-04	2.600e-01	-1.538e-04	3.700e-01	-3.553e-05
2	5	nan	nan	nan	nan	nan	nan	1.800e-01	-4.401e-03	3.000e-01	-6.001e-04
2	6	nan	nan	nan	nan	5.700e-01	6.025e-01	5.700e-01	6.025e-01	5.700e-01	6.025e-01
2	7	nan	nan	nan	nan	nan	nan	3.500e-01	8.321e-03	3.600e-01	3.154e-03
2	8	nan	nan	nan	nan	nan	nan	3.800e-01	1.354e-01	4.600e-01	4.896e-03
2	9	4.500e-01	5.000e-01	5.500e-01	5.000e-01	5.500e-01	5.000e-01	5.500e-01	5.000e-01	7.100e-01	4.992e-01
3	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	2	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	3	nan	nan	nan	nan	nan	nan	nan	nan	5.700e-01	9.322e-01
3	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	5	nan	nan	nan	nan	nan	nan	nan	nan	4.700e-01	8.045e-01
3	6	nan	nan	nan	nan	nan	nan	nan	nan	3.700e-01	8.989e-01
3	7	nan	nan	nan	nan	nan	nan	nan	nan	4.800e-01	9.382e-01
3	8	nan	nan	nan	nan	3.700e-01	5.787e-03	3.700e-01	5.787e-03	3.700e-01	5.787e-03
3	9	4.500e-01	5.000e-01	7.500e-01	5.423e-01	7.500e-01	5.423e-01	7.900e-01	5.039e-01	1.000e+00	5.011e-01
4	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	2	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
