x	y	progress.rate.q.0.05.0.00.quality.maturePerformance	progress.rate.q.0.05.0.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.10.quality.maturePerformance	progress.rate.q.0.05.0.10.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.25.quality.maturePerformance	progress.rate.q.0.05.0.25.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.50.quality.maturePerformance	progress.rate.q.0.05.0.50.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.1.00.quality.maturePerformance	progress.rate.q.0.05.1.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.
0	0	nan	nan	nan	nan	1.000e+00	5.811e-02	1.000e+00	5.811e-02	1.000e+00	5.811e-02
0	1	nan	nan	-5.000e-02	-1.224e-02	1.000e+00	5.847e-02	1.000e+00	5.847e-02	1.000e+00	5.847e-02
0	2	nan	nan	5.000e-01	3.051e-02	1.000e+00	9.438e-02	1.000e+00	9.438e-02	1.000e+00	9.438e-02
0	3	nan	nan	6.500e-01	3.724e-02	1.000e+00	7.781e-02	1.000e+00	7.781e-02	1.000e+00	7.781e-02
0	4	nan	nan	5.000e-01	5.293e-02	7.900e-01	9.370e-02	7.900e-01	9.370e-02	1.000e+00	9.804e-02
0	5	nan	nan	4.400e-01	5.453e-02	6.000e-01	3.145e-02	9.300e-01	9.548e-02	1.000e+00	7.699e-02
0	6	nan	nan	4.500e-01	-2.084e-02	5.000e-01	7.039e-02	5.000e-01	7.039e-02	6.500e-01	1.142e-01
0	7	nan	nan	5.000e-02	4.026e-02	5.000e-01	3.955e-02	5.000e-01	3.955e-02	6.500e-01	5.789e-02
0	8	nan	nan	5.000e-02	-3.081e-03	6.300e-01	9.454e-02	6.300e-01	9.454e-02	6.500e-01	7.254e-02
0	9	4.500e-01	1.256e-01	5.000e-01	5.604e-02	5.900e-01	-1.775e-03	5.900e-01	-1.775e-03	6.500e-01	8.537e-02
1	0	nan	nan	nan	nan	nan	nan	1.000e+00	1.383e-01	1.000e+00	1.383e-01
1	1	nan	nan	nan	nan	1.000e+00	1.089e-01	1.000e+00	1.089e-01	1.000e+00	1.089e-01
1	2	nan	nan	1.000e+00	1.333e-01	1.000e+00	1.333e-01	1.000e+00	1.333e-01	1.000e+00	1.333e-01
1	3	nan	nan	9.400e-01	1.265e-01	1.000e+00	1.970e-01	1.000e+00	1.970e-01	1.000e+00	1.970e-01
1	4	nan	nan	1.000e+00	2.071e-01	1.000e+00	2.071e-01	1.000e+00	2.071e-01	1.000e+00	2.071e-01
1	5	nan	nan	5.700e-01	9.143e-02	1.000e+00	1.794e-01	1.000e+00	1.794e-01	1.000e+00	1.794e-01
1	6	nan	nan	1.000e+00	1.659e-01	1.000e+00	1.659e-01	1.000e+00	1.659e-01	1.000e+00	1.659e-01
1	7	nan	nan	5.000e-01	1.432e-01	1.000e+00	1.428e-01	1.000e+00	1.428e-01	1.000e+00	1.428e-01
1	8	nan	nan	nan	nan	9.400e-01	1.972e-01	1.000e+00	1.584e-01	1.000e+00	1.584e-01
1	9	5.000e-01	1.143e-01	5.000e-01	1.143e-01	1.000e+00	1.685e-01	1.000e+00	1.685e-01	1.000e+00	1.685e-01
2	0	nan	nan	nan	nan	1.000e+00	2.197e-01	1.000e+00	2.197e-01	1.000e+00	2.197e-01
2	1	nan	nan	nan	nan	1.000e+00	2.519e-01	1.000e+00	2.519e-01	1.000e+00	2.519e-01
2	2	nan	nan	1.000e+00	2.848e-01	1.000e+00	2.848e-01	1.000e+00	2.848e-01	1.000e+00	2.848e-01
2	3	nan	nan	1.000e+00	2.180e-01	1.000e+00	2.180e-01	1.000e+00	2.180e-01	1.000e+00	2.180e-01
2	4	nan	nan	1.000e+00	2.880e-01	1.000e+00	2.880e-01	1.000e+00	2.880e-01	1.000e+00	2.880e-01
2	5	nan	nan	1.000e+00	2.937e-01	1.000e+00	2.937e-01	1.000e+00	2.937e-01	1.000e+00	2.937e-01
2	6	nan	nan	1.000e+00	2.336e-01	1.000e+00	2.336e-01	1.000e+00	2.336e-01	1.000e+00	2.336e-01
2	7	nan	nan	nan	nan	1.000e+00	2.357e-01	1.000e+00	2.357e-01	1.000e+00	2.357e-01
2	8	nan	nan	nan	nan	1.000e+00	2.745e-01	1.000e+00	2.745e-01	1.000e+00	2.745e-01
2	9	5.000e-01	2.706e-01	5.000e-01	2.706e-01	1.000e+00	2.339e-01	1.000e+00	2.339e-01	1.000e+00	2.339e-01
3	0	nan	nan	nan	nan	1.000e+00	3.782e-01	1.000e+00	3.782e-01	1.000e+00	3.782e-01
3	1	nan	nan	nan	nan	1.000e+00	3.222e-01	1.000e+00	3.222e-01	1.000e+00	3.222e-01
3	2	nan	nan	nan	nan	1.000e+00	3.334e-01	1.000e+00	3.334e-01	1.000e+00	3.334e-01
3	3	nan	nan	nan	nan	1.000e+00	3.231e-01	1.000e+00	3.231e-01	1.000e+00	3.231e-01
3	4	nan	nan	nan	nan	1.000e+00	4.378e-01	1.000e+00	4.378e-01	1.000e+00	4.378e-01
3	5	nan	nan	1.000e+00	3.891e-01	1.000e+00	3.891e-01	1.000e+00	3.891e-01	1.000e+00	3.891e-01
3	6	nan	nan	1.000e+00	4.265e-01	1.000e+00	4.265e-01	1.000e+00	4.265e-01	1.000e+00	4.265e-01
3	7	nan	nan	1.000e+00	3.877e-01	1.000e+00	3.877e-01	1.000e+00	3.877e-01	1.000e+00	3.877e-01
3	8	nan	nan	1.000e+00	2.754e-01	1.000e+00	2.754e-01	1.000e+00	2.754e-01	1.000e+00	2.754e-01
3	9	4.500e-01	4.142e-01	1.000e+00	3.611e-01	1.000e+00	3.611e-01	1.000e+00	3.611e-01	1.000e+00	3.611e-01
4	0	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	4.552e-01
4	1	nan	nan	nan	nan	1.000e+00	4.196e-01	1.000e+00	4.196e-01	1.000e+00	4.196e-01
4	2	nan	nan	nan	nan	1.000e+00	4.096e-01	1.000e+00	4.096e-01	1.000e+00	4.096e-01
4	3	nan	nan	nan	nan	1.000e+00	4.740e-01	1.000e+00	4.740e-01	1.000e+00	4.740e-01
4	4	nan	nan	1.000e+00	4.789e-01	1.000e+00	4.789e-01	1.000e+00	4.789e-01	1.000e+00	4.789e-01
4	5	nan	nan	1.000e+00	4.306e-01	1.000e+00	4.306e-01	1.000e+00	4.306e-01	1.000e+00	4.306e-01
4	6	nan	nan	1.000e+00	5.201e-01	1.000e+00	5.201e-01	1.000e+00	5.201e-01	1.000e+00	5.201e-01
4	7	nan	nan	1.000e+00	4.187e-01	1.000e+00	4.187e-01	1.000e+00	4.187e-01	1.000e+00	4.187e-01
4	8	nan	nan	1.000e+00	4.113e-01	1.000e+00	4.113e-01	1.000e+00	4.113e-01	1.000e+00	4.113e-01
4	9	5.000e-01	4.993e-01	1.000e+00	4.632e-01	1.000e+00	4.632e-01	1.000e+00	4.632e-01	1.000e+00	4.632e-01
5	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	1	nan	nan	1.000e+00	5.753e-01	1.000e+00	5.753e-01	1.000e+00	5.753e-01	1.000e+00	5.753e-01
5	2	nan	nan	nan	nan	1.000e+00	4.341e-01	1.000e+00	4.341e-01	1.000e+00	4.341e-01
5	3	nan	nan	1.000e+00	4.870e-01	1.000e+00	4.870e-01	1.000e+00	4.870e-01	1.000e+00	4.870e-01
5	4	nan	nan	nan	nan	1.000e+00	5.078e-01	1.000e+00	5.078e-01	1.000e+00	5.078e-01
5	5	nan	nan	1.000e+00	5.575e-01	1.000e+00	5.575e-01	1.000e+00	5.575e-01	1.000e+00	5.575e-01
5	6	nan	nan	1.000e+00	5.801e-01	1.000e+00	5.801e-01	1.000e+00	5.801e-01	1.000e+00	5.801e-01
5	7	nan	nan	1.000e+00	5.787e-01	1.000e+00	5.787e-01	1.000e+00	5.787e-01	1.000e+00	5.787e-01
5	8	nan	nan	1.000e+00	5.831e-01	1.000e+00	5.831e-01	1.000e+00	5.831e-01	1.000e+00	5.831e-01
5	9	4.500e-01	5.000e-01	1.000e+00	6.111e-01	1.000e+00	6.111e-01	1.000e+00	6.111e-01	1.000e+00	6.111e-01
6	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
6	1	nan	nan	1.000e+00	6.785e-01	1.000e+00	6.785e-01	1.000e+00	6.785e-01	1.000e+00	6.785e-01
6	2	nan	nan	nan	nan	1.000e+00	6.707e-01	1.000e+00	6.707e-01	1.000e+00	6.707e-01
6	3	nan	nan	1.000e+00	6.778e-01	1.000e+00	6.778e-01	1.000e+00	6.778e-01	1.000e+00	6.778e-01
6	4	nan	nan	1.000e+00	6.541e-01	1.000e+00	6.541e-01	1.000e+00	6.541e-01	1.000e+00	6.541e-01
6	5	nan	nan	1.000e+00	7.119e-01	1.000e+00	7.119e-01	1.000e+00	7.119e-01	1.000e+00	7.119e-01
6	6	nan	nan	1.000e+00	5.796e-01	1.000e+00	5.796e-01	1.000e+00	5.796e-01	1.000e+00	5.796e-01
6	7	nan	nan	nan	nan	1.000e+00	6.485e-01	1.000e+00	6.485e-01	1.000e+00	6.485e-01
6	8	nan	nan	1.000e+00	5.828e-01	1.000e+00	5.828e-01	1.000e+00	5.828e-01	1.000e+00	5.828e-01
6	9	nan	nan	1.000e+00	6.676e-01	1.000e+00	6.676e-01	1.000e+00	6.676e-01	1.000e+00	6.676e-01
7	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
7	1	nan	nan	nan	nan	1.000e+00	7.953e-01	1.000e+00	7.953e-01	1.000e+00	7.953e-01
7	2	nan	nan	nan	nan	1.000e+00	7.642e-01	1.000e+00	7.642e-01	1.000e+00	7.642e-01
7	3	nan	nan	1.000e+00	7.178e-01	1.000e+00	7.178e-01	1.000e+00	7.178e-01	1.000e+00	7.178e-01
7	4	nan	nan	1.000e+00	8.464e-01	1.000e+00	8.464e-01	1.000e+00	8.464e-01	1.000e+00	8.464e-01
7	5	nan	nan	1.000e+00	8.311e-01	1.000e+00	8.311e-01	1.000e+00	8.311e-01	1.000e+00	8.311e-01
7	6	nan	nan	1.000e+00	7.816e-01	1.000e+00	7.816e-01	1.000e+00	7.816e-01	1.000e+00	7.816e-01
7	7	nan	nan	1.000e+00	7.443e-01	1.000e+00	7.443e-01	1.000e+00	7.443e-01	1.000e+00	7.443e-01
