x	y	progress.rate.q.0.05.0.00.quality.maturePerformance	progress.rate.q.0.05.0.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.10.quality.maturePerformance	progress.rate.q.0.05.0.10.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.25.quality.maturePerformance	progress.rate.q.0.05.0.25.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.50.quality.maturePerformance	progress.rate.q.0.05.0.50.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.1.00.quality.maturePerformance	progress.rate.q.0.05.1.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.
0	0	nan	nan	-5.000e-02	1.781e-03	5.000e-02	2.401e-04	1.000e+00	4.078e-02	1.000e+00	4.078e-02
0	1	nan	nan	2.800e-01	3.525e-02	1.000e+00	7.542e-02	1.000e+00	7.542e-02	1.000e+00	7.542e-02
0	2	nan	nan	1.800e-01	2.199e-02	6.500e-01	4.299e-02	9.900e-01	8.568e-02	1.000e+00	9.479e-02
0	3	nan	nan	4.000e-01	1.540e-02	6.500e-01	4.432e-02	1.000e+00	1.174e-01	1.000e+00	1.174e-01
0	4	nan	nan	5.500e-01	1.745e-02	9.500e-01	1.553e-01	9.500e-01	1.553e-01	1.000e+00	9.743e-02
0	5	nan	nan	5.500e-01	2.520e-02	5.500e-01	2.520e-02	6.900e-01	6.857e-02	6.900e-01	6.857e-02
0	6	nan	nan	5.000e-01	5.731e-02	6.500e-01	8.799e-02	6.500e-01	8.799e-02	1.000e+00	9.760e-02
0	7	nan	nan	2.900e-01	1.289e-03	6.500e-01	6.843e-02	8.400e-01	1.186e-01	8.400e-01	1.186e-01
0	8	nan	nan	5.800e-01	9.531e-02	6.500e-01	-4.348e-02	6.500e-01	-4.348e-02	6.500e-01	-4.348e-02
0	9	4.500e-01	4.620e-02	6.500e-01	-7.423e-02	6.500e-01	-7.423e-02	6.500e-01	-7.423e-02	6.500e-01	-7.423e-02
1	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	1	nan	nan	nan	nan	1.000e+00	1.000e-01	1.000e+00	1.000e-01	1.000e+00	1.000e-01
1	2	nan	nan	nan	nan	nan	nan	1.000e+00	1.745e-01	1.000e+00	1.745e-01
1	3	nan	nan	nan	nan	1.000e+00	1.867e-01	1.000e+00	1.867e-01	1.000e+00	1.867e-01
1	4	nan	nan	nan	nan	nan	nan	1.000e+00	2.635e-01	1.000e+00	2.635e-01
1	5	nan	nan	nan	nan	1.000e+00	2.621e-01	1.000e+00	2.621e-01	1.000e+00	2.621e-01
1	6	nan	nan	6.500e-01	1.025e-01	8.600e-01	1.837e-01	1.000e+00	2.642e-01	1.000e+00	2.642e-01
1	7	nan	nan	nan	nan	6.500e-01	1.833e-01	9.700e-01	2.117e-01	1.000e+00	2.036e-01
1	8	nan	nan	5.700e-01	8.342e-02	9.500e-01	2.294e-01	1.000e+00	2.154e-01	1.000e+00	2.154e-01
1	9	4.000e-01	2.312e-01	6.500e-01	7.448e-02	6.500e-01	7.448e-02	1.000e+00	2.656e-01	1.000e+00	2.656e-01
2	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	1	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	2.594e-01
2	2	nan	nan	nan	nan	1.000e+00	2.111e-01	1.000e+00	2.111e-01	1.000e+00	2.111e-01
2	3	nan	nan	nan	nan	nan	nan	1.000e+00	2.066e-01	1.000e+00	2.066e-01
2	4	nan	nan	nan	nan	1.000e+00	2.272e-01	1.000e+00	2.272e-01	1.000e+00	2.272e-01
2	5	nan	nan	nan	nan	1.000e+00	2.082e-01	1.000e+00	2.082e-01	1.000e+00	2.082e-01
2	6	nan	nan	1.000e+00	2.030e-01	1.000e+00	2.030e-01	1.000e+00	2.030e-01	1.000e+00	2.030e-01
2	7	nan	nan	nan	nan	1.000e+00	2.849e-01	1.000e+00	2.849e-01	1.000e+00	2.849e-01
2	8	nan	nan	nan	nan	1.000e+00	2.947e-01	1.000e+00	2.947e-01	1.000e+00	2.947e-01
2	9	1.000e-01	1.322e-01	6.500e-01	1.433e-01	1.000e+00	2.079e-01	1.000e+00	2.079e-01	1.000e+00	2.079e-01
3	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	1	nan	nan	nan	nan	1.000e+00	3.217e-01	1.000e+00	3.217e-01	1.000e+00	3.217e-01
3	2	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	3.236e-01
3	3	nan	nan	nan	nan	nan	nan	1.000e+00	3.273e-01	1.000e+00	3.273e-01
3	4	nan	nan	nan	nan	nan	nan	1.000e+00	4.267e-01	1.000e+00	4.267e-01
3	5	nan	nan	nan	nan	1.000e+00	3.287e-01	1.000e+00	3.287e-01	1.000e+00	3.287e-01
3	6	nan	nan	nan	nan	1.000e+00	3.970e-01	1.000e+00	3.970e-01	1.000e+00	3.970e-01
3	7	nan	nan	nan	nan	1.000e+00	4.709e-01	1.000e+00	4.709e-01	1.000e+00	4.709e-01
3	8	nan	nan	nan	nan	1.000e+00	3.410e-01	1.000e+00	3.410e-01	1.000e+00	3.410e-01
