x	y	progress.rate.q.0.05.0.00.quality.maturePerformance	progress.rate.q.0.05.0.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.10.quality.maturePerformance	progress.rate.q.0.05.0.10.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.25.quality.maturePerformance	progress.rate.q.0.05.0.25.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.50.quality.maturePerformance	progress.rate.q.0.05.0.50.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.1.00.quality.maturePerformance	progress.rate.q.0.05.1.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.
0	0	nan	nan	1.000e+00	9.089e-02	1.000e+00	9.089e-02	1.000e+00	9.089e-02	1.000e+00	9.089e-02
0	1	nan	nan	1.000e+00	8.198e-02	1.000e+00	8.198e-02	1.000e+00	8.198e-02	1.000e+00	8.198e-02
0	2	-5.000e-02	3.646e-03	5.000e-01	7.365e-02	1.000e+00	9.304e-02	1.000e+00	9.304e-02	1.000e+00	9.304e-02
0	3	nan	nan	4.500e-01	3.200e-02	1.000e+00	9.223e-02	1.000e+00	9.223e-02	1.000e+00	9.223e-02
0	4	-1.000e+00	-6.926e-01	1.000e+00	8.394e-02	1.000e+00	8.394e-02	1.000e+00	8.394e-02	1.000e+00	8.394e-02
0	5	nan	nan	5.000e-01	5.416e-02	5.000e-01	5.416e-02	9.600e-01	1.664e-01	9.600e-01	1.664e-01
0	6	nan	nan	5.700e-01	1.029e-01	9.100e-01	1.040e-01	9.100e-01	1.040e-01	9.100e-01	1.040e-01
0	7	-4.500e-01	-8.320e-02	5.000e-01	6.777e-02	5.000e-01	6.777e-02	5.000e-01	6.777e-02	5.500e-01	9.877e-02
0	8	nan	nan	4.500e-01	8.573e-02	5.600e-01	1.584e-01	5.600e-01	1.584e-01	5.900e-01	4.132e-02
0	9	9.000e-02	2.759e-04	5.000e-01	-8.680e-03	5.000e-01	-8.680e-03	6.000e-01	2.634e-01	6.500e-01	6.524e-02
1	0	nan	nan	1.000e+00	1.910e-01	1.000e+00	1.910e-01	1.000e+00	1.910e-01	1.000e+00	1.910e-01
1	1	nan	nan	1.000e+00	1.041e-01	1.000e+00	1.041e-01	1.000e+00	1.041e-01	1.000e+00	1.041e-01
1	2	nan	nan	1.000e+00	1.115e-01	1.000e+00	1.115e-01	1.000e+00	1.115e-01	1.000e+00	1.115e-01
1	3	nan	nan	1.000e+00	1.435e-01	1.000e+00	1.435e-01	1.000e+00	1.435e-01	1.000e+00	1.435e-01
1	4	nan	nan	8.700e-01	9.554e-02	1.000e+00	1.153e-01	1.000e+00	1.153e-01	1.000e+00	1.153e-01
1	5	nan	nan	1.000e+00	2.139e-01	1.000e+00	2.139e-01	1.000e+00	2.139e-01	1.000e+00	2.139e-01
1	6	nan	nan	1.000e+00	2.227e-01	1.000e+00	2.227e-01	1.000e+00	2.227e-01	1.000e+00	2.227e-01
1	7	nan	nan	7.700e-01	1.418e-01	9.800e-01	2.102e-01	1.000e+00	1.948e-01	1.000e+00	1.948e-01
1	8	nan	nan	6.700e-01	1.338e-01	1.000e+00	1.152e-01	1.000e+00	1.152e-01	1.000e+00	1.152e-01
1	9	5.000e-02	7.207e-02	1.000e+00	1.542e-01	1.000e+00	1.542e-01	1.000e+00	1.542e-01	1.000e+00	1.542e-01
2	0	nan	nan	nan	nan	1.000e+00	2.332e-01	1.000e+00	2.332e-01	1.000e+00	2.332e-01
2	1	nan	nan	nan	nan	1.000e+00	2.398e-01	1.000e+00	2.398e-01	1.000e+00	2.398e-01
2	2	nan	nan	1.000e+00	2.285e-01	1.000e+00	2.285e-01	1.000e+00	2.285e-01	1.000e+00	2.285e-01
2	3	nan	nan	1.000e+00	2.376e-01	1.000e+00	2.376e-01	1.000e+00	2.376e-01	1.000e+00	2.376e-01
2	4	nan	nan	1.000e+00	2.604e-01	1.000e+00	2.604e-01	1.000e+00	2.604e-01	1.000e+00	2.604e-01
2	5	nan	nan	1.000e+00	2.561e-01	1.000e+00	2.561e-01	1.000e+00	2.561e-01	1.000e+00	2.561e-01
