x	y	progress.rate.q.0.05.0.00.quality.maturePerformance	progress.rate.q.0.05.0.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.10.quality.maturePerformance	progress.rate.q.0.05.0.10.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.25.quality.maturePerformance	progress.rate.q.0.05.0.25.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.50.quality.maturePerformance	progress.rate.q.0.05.0.50.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.1.00.quality.maturePerformance	progress.rate.q.0.05.1.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.
0	0	nan	nan	2.776e-18	1.752e-03	5.000e-02	-3.300e-03	1.000e+00	2.516e-02	1.000e+00	2.516e-02
0	1	nan	nan	nan	nan	5.000e-01	1.341e-02	1.000e+00	9.917e-02	1.000e+00	9.917e-02
0	2	nan	nan	4.000e-01	3.225e-02	8.800e-01	5.842e-02	8.800e-01	5.842e-02	1.000e+00	1.269e-01
0	3	nan	nan	5.000e-01	5.108e-02	5.000e-01	5.108e-02	1.000e+00	1.200e-01	1.000e+00	1.200e-01
0	4	nan	nan	6.500e-01	7.334e-02	6.500e-01	7.334e-02	9.000e-01	1.147e-01	1.000e+00	1.140e-01
0	5	nan	nan	3.000e-01	7.099e-02	5.000e-01	5.880e-02	1.000e+00	1.288e-01	1.000e+00	1.288e-01
0	6	2.700e-01	3.095e-02	6.500e-01	3.918e-02	6.500e-01	3.918e-02	6.500e-01	3.918e-02	8.500e-01	2.851e-01
0	7	nan	nan	2.400e-01	4.665e-02	5.000e-01	1.199e-01	6.000e-01	1.295e-01	1.000e+00	2.123e-01
0	8	nan	nan	-6.500e-01	-1.344e-01	5.000e-01	1.126e-01	9.000e-01	1.217e-01	9.000e-01	1.217e-01
0	9	4.500e-01	4.533e-02	4.500e-01	4.533e-02	6.500e-01	7.153e-02	8.400e-01	1.711e-01	1.000e+00	2.477e-01
1	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	1	nan	nan	nan	nan	nan	nan	1.000e+00	1.745e-01	1.000e+00	1.745e-01
1	2	nan	nan	nan	nan	nan	nan	1.000e+00	2.567e-01	1.000e+00	2.567e-01
1	3	nan	nan	1.000e+00	1.482e-01	1.000e+00	1.482e-01	1.000e+00	1.482e-01	1.000e+00	1.482e-01
1	4	nan	nan	nan	nan	nan	nan	1.000e+00	2.482e-01	1.000e+00	2.482e-01
1	5	nan	nan	6.500e-01	6.539e-02	7.700e-01	1.130e-01	7.700e-01	1.130e-01	1.000e+00	2.804e-01
