n.evals.q.1.0.	xor._.me.hebbian.network.best.quality.inconsistency	xor._.me.hebbian.network.best.quality.inconsistency.min	xor._.me.hebbian.network.best.quality.inconsistency.max	xor._.me.hebbian.layer.best.quality.inconsistency	xor._.me.hebbian.layer.best.quality.inconsistency.min	xor._.me.hebbian.layer.best.quality.inconsistency.max	xor._.me.hebbian.neuron.best.quality.inconsistency	xor._.me.hebbian.neuron.best.quality.inconsistency.min	xor._.me.hebbian.neuron.best.quality.inconsistency.max	xor._.me.hebbian.synapse.best.quality.inconsistency	xor._.me.hebbian.synapse.best.quality.inconsistency.min	xor._.me.hebbian.synapse.best.quality.inconsistency.max	xor._.me.freeForm.best.quality.inconsistency	xor._.me.freeForm.best.quality.inconsistency.min	xor._.me.freeForm.best.quality.inconsistency.max
1.000e+02	7.283e-01	5.179e-01	8.930e-01	8.329e-01	5.846e-01	8.579e-01	3.484e-01	1.451e-01	6.677e-01	6.574e-01	4.181e-01	7.269e-01	8.000e-01	7.599e-01	8.930e-01
2.000e+02	6.877e-01	5.146e-01	8.930e-01	5.846e-01	4.767e-01	7.541e-01	2.200e-01	9.454e-02	2.802e-01	4.698e-01	2.883e-01	7.187e-01	7.618e-01	6.614e-01	8.352e-01
3.000e+02	6.877e-01	5.146e-01	8.930e-01	5.771e-01	4.767e-01	6.342e-01	2.301e-01	1.838e-01	2.802e-01	4.007e-01	2.973e-01	6.933e-01	7.599e-01	5.998e-13	7.620e-01
4.000e+02	6.877e-01	5.146e-01	8.930e-01	5.771e-01	4.767e-01	6.342e-01	2.339e-01	1.838e-01	2.802e-01	3.736e-01	2.225e-01	6.445e-01	4.359e-01	6.516e-16	6.906e-01
5.000e+02	6.410e-01	4.620e-01	8.930e-01	5.771e-01	4.767e-01	6.342e-01	2.378e-01	2.053e-01	2.805e-01	3.586e-01	2.350e-01	4.704e-01	4.572e-08	3.165e-16	5.268e-01
6.000e+02	6.410e-01	4.620e-01	8.930e-01	5.220e-01	4.429e-01	6.020e-01	2.366e-01	2.053e-01	2.886e-01	3.119e-01	2.225e-01	4.249e-01	9.011e-09	3.165e-16	3.040e-01
7.000e+02	6.410e-01	4.620e-01	8.930e-01	5.047e-01	4.415e-01	6.020e-01	2.366e-01	2.053e-01	2.886e-01	3.119e-01	2.575e-01	4.181e-01	2.143e-09	3.165e-16	6.302e-02
8.000e+02	6.401e-01	4.614e-01	8.921e-01	5.047e-01	4.415e-01	6.020e-01	2.352e-01	2.053e-01	2.802e-01	3.064e-01	2.254e-01	3.968e-01	2.143e-09	3.165e-16	3.122e-01
9.000e+02	6.401e-01	4.614e-01	8.921e-01	5.047e-01	4.415e-01	6.020e-01	2.339e-01	2.053e-01	2.794e-01	3.064e-01	2.325e-01	3.834e-01	5.998e-13	3.165e-16	6.302e-02
1.000e+03	6.401e-01	4.614e-01	8.921e-01	4.997e-01	4.409e-01	6.020e-01	2.288e-01	2.053e-01	2.564e-01	3.064e-01	2.575e-01	3.834e-01	1.914e-13	3.165e-16	9.118e-07
1.100e+03	6.401e-01	4.614e-01	8.921e-01	4.915e-01	4.389e-01	5.956e-01	2.288e-01	2.053e-01	2.564e-01	3.064e-01	2.575e-01	3.753e-01	1.914e-13	3.165e-16	7.736e-02
1.200e+03	6.401e-01	4.614e-01	8.921e-01	4.915e-01	4.181e-01	5.956e-01	2.352e-01	2.067e-01	2.778e-01	3.119e-01	2.325e-01	3.753e-01	6.516e-16	3.165e-16	9.773e-06
1.300e+03	6.401e-01	4.614e-01	8.921e-01	4.846e-01	4.181e-01	5.903e-01	2.352e-01	2.067e-01	2.778e-01	3.296e-01	2.325e-01	3.753e-01	3.165e-16	3.165e-16	9.118e-07
1.400e+03	6.368e-01	4.318e-01	8.921e-01	4.846e-01	4.181e-01	5.903e-01	2.352e-01	2.067e-01	2.778e-01	3.104e-01	2.575e-01	3.633e-01	6.516e-16	3.165e-16	9.773e-06
1.500e+03	6.368e-01	4.318e-01	8.921e-01	4.767e-01	3.991e-01	5.903e-01	2.352e-01	2.067e-01	2.778e-01	3.064e-01	2.325e-01	3.576e-01	6.516e-16	3.165e-16	9.773e-06
1.600e+03	6.368e-01	4.318e-01	8.921e-01	4.767e-01	3.991e-01	5.903e-01	2.352e-01	2.067e-01	2.778e-01	3.104e-01	2.575e-01	3.599e-01	6.516e-16	3.165e-16	9.773e-06
1.700e+03	6.368e-01	4.318e-01	8.921e-01	4.767e-01	3.991e-01	5.903e-01	2.352e-01	2.067e-01	2.778e-01	3.064e-01	2.575e-01	3.599e-01	6.516e-16	3.165e-16	9.773e-06
1.800e+03	6.368e-01	4.318e-01	8.921e-01	4.767e-01	3.991e-01	5.903e-01	2.352e-01	2.067e-01	2.778e-01	3.014e-01	2.686e-01	3.576e-01	6.516e-16	3.165e-16	9.773e-06
1.900e+03	6.368e-01	4.318e-01	8.921e-01	4.767e-01	3.991e-01	5.903e-01	2.352e-01	2.067e-01	2.778e-01	3.064e-01	2.575e-01	3.599e-01	6.516e-16	3.165e-16	9.773e-06
2.000e+03	5.775e-01	4.315e-01	8.532e-01	4.767e-01	3.991e-01	5.903e-01	2.352e-01	2.067e-01	2.778e-01	3.112e-01	2.686e-01	3.599e-01	6.516e-16	3.165e-16	9.773e-06
2.100e+03	5.775e-01	4.315e-01	8.532e-01	4.767e-01	3.991e-01	5.903e-01	2.352e-01	2.067e-01	2.778e-01	3.112e-01	2.686e-01	3.599e-01	6.516e-16	3.165e-16	9.773e-06
2.200e+03	5.761e-01	4.310e-01	8.532e-01	4.767e-01	3.991e-01	5.903e-01	2.352e-01	2.067e-01	2.778e-01	3.064e-01	2.575e-01	3.576e-01	6.516e-16	3.165e-16	9.773e-06
2.300e+03	5.761e-01	4.310e-01	8.532e-01	4.767e-01	3.991e-01	5.903e-01	2.352e-01	2.067e-01	2.778e-01	3.064e-01	2.575e-01	3.576e-01	3.165e-16	3.165e-16	9.773e-06
2.400e+03	5.761e-01	4.310e-01	8.532e-01	4.767e-01	4.289e-01	5.903e-01	2.352e-01	2.067e-01	2.778e-01	3.064e-01	2.575e-01	3.576e-01	3.165e-16	3.165e-16	4.249e-05
2.500e+03	5.761e-01	4.310e-01	8.532e-01	4.767e-01	4.289e-01	5.903e-01	2.352e-01	2.067e-01	2.778e-01	2.917e-01	2.575e-01	3.576e-01	3.165e-16	3.165e-16	4.249e-05
2.600e+03	5.761e-01	4.310e-01	8.532e-01	4.767e-01	4.289e-01	5.903e-01	2.352e-01	2.067e-01	2.778e-01	2.917e-01	2.325e-01	3.576e-01	3.165e-16	3.165e-16	4.572e-08
2.700e+03	5.761e-01	4.310e-01	8.532e-01	4.767e-01	4.181e-01	5.903e-01	2.339e-01	2.045e-01	2.564e-01	2.917e-01	2.325e-01	3.576e-01	3.165e-16	3.165e-16	4.572e-08
2.800e+03	5.761e-01	4.310e-01	8.532e-01	4.767e-01	4.181e-01	5.903e-01	2.288e-01	1.968e-01	2.466e-01	3.104e-01	2.325e-01	3.721e-01	3.165e-16	3.165e-16	4.572e-08
2.900e+03	5.569e-01	4.310e-01	8.371e-01	4.687e-01	4.072e-01	5.903e-01	2.288e-01	1.968e-01	2.466e-01	3.119e-01	2.575e-01	3.721e-01	3.165e-16	3.165e-16	4.572e-08
3.000e+03	5.569e-01	4.310e-01	8.371e-01	4.687e-01	4.072e-01	5.903e-01	2.288e-01	1.968e-01	2.466e-01	3.119e-01	2.575e-01	3.721e-01	3.165e-16	3.165e-16	4.572e-08
3.100e+03	5.569e-01	4.310e-01	8.371e-01	4.687e-01	3.991e-01	5.903e-01	2.288e-01	1.968e-01	2.466e-01	3.119e-01	2.575e-01	3.721e-01	3.165e-16	3.165e-16	4.572e-08
3.200e+03	5.569e-01	4.310e-01	8.371e-01	4.429e-01	3.589e-01	5.846e-01	2.288e-01	1.968e-01	2.466e-01	3.139e-01	2.686e-01	3.721e-01	3.165e-16	3.165e-16	4.572e-08
3.300e+03	5.569e-01	4.310e-01	8.371e-01	4.429e-01	3.783e-01	5.846e-01	2.288e-01	1.968e-01	2.466e-01	3.139e-01	2.686e-01	3.599e-01	3.165e-16	3.165e-16	1.893e-01
3.400e+03	5.569e-01	4.310e-01	8.371e-01	4.429e-01	3.783e-01	5.846e-01	2.288e-01	1.968e-01	2.466e-01	3.139e-01	2.686e-01	3.599e-01	3.165e-16	3.165e-16	1.893e-01
3.500e+03	5.569e-01	4.310e-01	8.371e-01	4.429e-01	3.783e-01	5.846e-01	2.288e-01	1.968e-01	2.466e-01	3.139e-01	2.686e-01	3.599e-01	3.165e-16	3.165e-16	1.893e-01
3.600e+03	5.295e-01	4.310e-01	8.371e-01	4.429e-01	3.783e-01	5.846e-01	2.288e-01	1.968e-01	2.466e-01	3.139e-01	2.686e-01	3.599e-01	3.165e-16	3.165e-16	1.893e-01
3.700e+03	5.295e-01	4.310e-01	8.371e-01	4.429e-01	3.783e-01	5.846e-01	2.288e-01	1.968e-01	2.466e-01	3.139e-01	2.686e-01	3.599e-01	6.516e-16	3.165e-16	1.967e-01
3.800e+03	5.295e-01	4.310e-01	8.371e-01	4.429e-01	3.783e-01	5.846e-01	2.288e-01	1.968e-01	2.466e-01	3.139e-01	2.686e-01	3.599e-01	6.516e-16	3.165e-16	1.967e-01
3.900e+03	5.295e-01	4.310e-01	8.371e-01	4.429e-01	3.783e-01	5.846e-01	2.288e-01	1.968e-01	2.466e-01	3.139e-01	2.686e-01	3.599e-01	6.516e-16	3.165e-16	1.967e-01
4.000e+03	5.295e-01	4.310e-01	8.371e-01	4.429e-01	3.783e-01	5.846e-01	2.288e-01	1.968e-01	2.466e-01	3.119e-01	2.575e-01	3.599e-01	6.516e-16	3.165e-16	1.967e-01
4.100e+03	5.295e-01	4.310e-01	8.371e-01	4.409e-01	3.589e-01	5.815e-01	2.288e-01	1.968e-01	2.466e-01	3.119e-01	2.575e-01	3.599e-01	6.516e-16	3.165e-16	1.967e-01
4.200e+03	5.295e-01	4.310e-01	8.371e-01	4.409e-01	3.589e-01	5.815e-01	2.288e-01	1.968e-01	2.466e-01	3.119e-01	2.575e-01	3.599e-01	6.516e-16	3.165e-16	1.967e-01
4.300e+03	5.295e-01	4.310e-01	8.371e-01	4.409e-01	3.589e-01	5.815e-01	2.288e-01	1.968e-01	2.466e-01	3.119e-01	2.575e-01	3.599e-01	6.516e-16	3.165e-16	1.967e-01
4.400e+03	5.295e-01	4.310e-01	8.371e-01	4.409e-01	3.589e-01	5.815e-01	2.288e-01	1.968e-01	2.466e-01	3.119e-01	2.575e-01	3.599e-01	6.516e-16	3.165e-16	1.967e-01
4.500e+03	5.295e-01	4.310e-01	8.371e-01	4.409e-01	3.589e-01	5.815e-01	2.288e-01	1.968e-01	2.466e-01	3.119e-01	2.575e-01	3.599e-01	6.516e-16	3.165e-16	1.893e-01
4.600e+03	5.295e-01	4.310e-01	8.371e-01	4.409e-01	3.589e-01	5.815e-01	2.288e-01	1.968e-01	2.466e-01	3.104e-01	2.575e-01	3.599e-01	6.516e-16	3.165e-16	1.967e-01
4.700e+03	5.146e-01	4.309e-01	8.371e-01	4.409e-01	3.302e-01	5.815e-01	2.288e-01	1.968e-01	2.466e-01	3.104e-01	2.575e-01	3.599e-01	6.516e-16	3.165e-16	1.967e-01
4.800e+03	5.146e-01	4.309e-01	8.371e-01	4.409e-01	3.302e-01	5.815e-01	2.288e-01	1.968e-01	2.466e-01	3.104e-01	2.575e-01	3.599e-01	1.914e-13	3.165e-16	1.932e-01
4.900e+03	5.146e-01	4.309e-01	8.371e-01	4.409e-01	3.302e-01	5.815e-01	2.288e-01	1.968e-01	2.466e-01	3.104e-01	2.575e-01	3.599e-01	1.914e-13	3.165e-16	1.932e-01
5.000e+03	5.146e-01	4.309e-01	8.371e-01	4.409e-01	3.589e-01	5.815e-01	2.288e-01	1.968e-01	2.466e-01	3.104e-01	2.575e-01	3.599e-01	1.914e-13	3.165e-16	1.932e-01
5.100e+03	5.146e-01	4.309e-01	8.371e-01	4.407e-01	3.589e-01	5.815e-01	2.288e-01	1.968e-01	2.466e-01	3.104e-01	2.575e-01	3.599e-01	2.143e-09	3.165e-16	2.083e-01
5.200e+03	5.146e-01	4.309e-01	8.371e-01	4.407e-01	3.589e-01	5.815e-01	2.288e-01	1.968e-01	2.466e-01	3.104e-01	2.575e-01	3.599e-01	2.143e-09	3.165e-16	2.083e-01
5.300e+03	5.146e-01	4.309e-01	8.371e-01	4.407e-01	3.589e-01	5.815e-01	2.288e-01	1.968e-01	2.466e-01	3.104e-01	2.575e-01	3.599e-01	2.143e-09	3.165e-16	2.083e-01
