x	y	progress.rate.q.0.05.0.00.quality.maturePerformance	progress.rate.q.0.05.0.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.10.quality.maturePerformance	progress.rate.q.0.05.0.10.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.25.quality.maturePerformance	progress.rate.q.0.05.0.25.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.50.quality.maturePerformance	progress.rate.q.0.05.0.50.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.1.00.quality.maturePerformance	progress.rate.q.0.05.1.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.
0	0	6.000e-02	3.667e-03	1.700e-01	5.209e-03	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00
0	1	nan	nan	1.700e-01	9.832e-03	1.000e+00	9.699e-01	1.000e+00	9.699e-01	1.000e+00	9.699e-01
0	2	nan	nan	nan	nan	4.500e-01	1.377e-01	1.000e+00	9.545e-01	1.000e+00	9.545e-01
0	3	nan	nan	nan	nan	1.000e+00	9.289e-01	1.000e+00	9.289e-01	1.000e+00	9.289e-01
0	4	nan	nan	nan	nan	6.100e-01	-4.462e-02	1.000e+00	9.974e-01	1.000e+00	9.974e-01
0	5	nan	nan	nan	nan	3.200e-01	1.250e-01	1.000e+00	8.938e-01	1.000e+00	8.938e-01
0	6	nan	nan	nan	nan	1.000e+00	8.784e-01	1.000e+00	8.784e-01	1.000e+00	8.784e-01
0	7	nan	nan	nan	nan	6.100e-01	6.099e-02	1.000e+00	1.000e+00	1.000e+00	1.000e+00
0	8	nan	nan	nan	nan	7.100e-01	1.000e+00	7.100e-01	1.000e+00	1.000e+00	7.872e-01
0	9	5.500e-01	5.000e-01	7.500e-01	-5.000e-01	9.500e-01	1.000e+00	1.000e+00	9.992e-01	1.000e+00	9.992e-01
1	0	nan	nan	nan	nan	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00
1	1	nan	nan	nan	nan	nan	nan	1.000e+00	9.760e-01	1.000e+00	9.760e-01
