x	y	progress.rate.q.0.05.0.00.quality.maturePerformance	progress.rate.q.0.05.0.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.10.quality.maturePerformance	progress.rate.q.0.05.0.10.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.25.quality.maturePerformance	progress.rate.q.0.05.0.25.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.50.quality.maturePerformance	progress.rate.q.0.05.0.50.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.1.00.quality.maturePerformance	progress.rate.q.0.05.1.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.
0	0	nan	nan	1.000e+00	8.981e-02	1.000e+00	8.981e-02	1.000e+00	8.981e-02	1.000e+00	8.981e-02
0	1	nan	nan	1.000e+00	5.767e-02	1.000e+00	5.767e-02	1.000e+00	5.767e-02	1.000e+00	5.767e-02
0	2	-5.000e-02	5.437e-03	1.000e+00	9.400e-02	1.000e+00	9.400e-02	1.000e+00	9.400e-02	1.000e+00	9.400e-02
0	3	nan	nan	4.500e-01	3.181e-02	1.000e+00	7.854e-02	1.000e+00	7.854e-02	1.000e+00	7.854e-02
0	4	-1.000e+00	-6.975e-01	1.000e+00	8.921e-02	1.000e+00	8.921e-02	1.000e+00	8.921e-02	1.000e+00	8.921e-02
0	5	nan	nan	9.400e-01	9.500e-02	1.000e+00	1.344e-01	1.000e+00	1.344e-01	1.000e+00	1.344e-01
0	6	nan	nan	5.000e-01	2.100e-02	5.000e-01	2.100e-02	5.000e-01	2.100e-02	6.500e-01	2.607e-02
0	7	-4.500e-01	-9.202e-02	5.000e-01	6.708e-02	5.000e-01	6.708e-02	5.000e-01	6.708e-02	5.000e-01	6.708e-02
0	8	nan	nan	4.600e-01	7.634e-02	6.600e-01	1.970e-01	6.600e-01	1.970e-01	6.600e-01	1.970e-01
0	9	5.000e-02	-8.273e-02	5.000e-01	-4.687e-02	5.000e-01	-4.687e-02	5.800e-01	1.424e-01	5.800e-01	1.424e-01
1	0	nan	nan	1.000e+00	1.447e-01	1.000e+00	1.447e-01	1.000e+00	1.447e-01	1.000e+00	1.447e-01
1	1	nan	nan	1.000e+00	1.337e-01	1.000e+00	1.337e-01	1.000e+00	1.337e-01	1.000e+00	1.337e-01
1	2	nan	nan	nan	nan	1.000e+00	1.289e-01	1.000e+00	1.289e-01	1.000e+00	1.289e-01
1	3	nan	nan	1.000e+00	1.586e-01	1.000e+00	1.586e-01	1.000e+00	1.586e-01	1.000e+00	1.586e-01
1	4	nan	nan	5.000e-01	1.212e-01	1.000e+00	1.625e-01	1.000e+00	1.625e-01	1.000e+00	1.625e-01
1	5	nan	nan	1.000e+00	1.782e-01	1.000e+00	1.782e-01	1.000e+00	1.782e-01	1.000e+00	1.782e-01
1	6	nan	nan	5.000e-01	9.512e-02	1.000e+00	1.939e-01	1.000e+00	1.939e-01	1.000e+00	1.939e-01
1	7	nan	nan	5.200e-01	1.989e-01	1.000e+00	1.865e-01	1.000e+00	1.865e-01	1.000e+00	1.865e-01
1	8	nan	nan	1.000e+00	1.555e-01	1.000e+00	1.555e-01	1.000e+00	1.555e-01	1.000e+00	1.555e-01
1	9	-5.000e-02	1.639e-01	8.300e-01	2.037e-01	1.000e+00	1.424e-01	1.000e+00	1.424e-01	1.000e+00	1.424e-01
2	0	nan	nan	nan	nan	nan	nan	1.000e+00	2.625e-01	1.000e+00	2.625e-01
2	1	nan	nan	nan	nan	1.000e+00	2.002e-01	1.000e+00	2.002e-01	1.000e+00	2.002e-01
2	2	nan	nan	1.000e+00	2.326e-01	1.000e+00	2.326e-01	1.000e+00	2.326e-01	1.000e+00	2.326e-01
2	3	nan	nan	1.000e+00	2.317e-01	1.000e+00	2.317e-01	1.000e+00	2.317e-01	1.000e+00	2.317e-01
2	4	nan	nan	1.000e+00	2.980e-01	1.000e+00	2.980e-01	1.000e+00	2.980e-01	1.000e+00	2.980e-01
2	5	nan	nan	1.000e+00	3.015e-01	1.000e+00	3.015e-01	1.000e+00	3.015e-01	1.000e+00	3.015e-01
2	6	nan	nan	1.000e+00	3.092e-01	1.000e+00	3.092e-01	1.000e+00	3.092e-01	1.000e+00	3.092e-01
2	7	nan	nan	1.000e+00	2.535e-01	1.000e+00	2.535e-01	1.000e+00	2.535e-01	1.000e+00	2.535e-01
2	8	nan	nan	1.000e+00	2.957e-01	1.000e+00	2.957e-01	1.000e+00	2.957e-01	1.000e+00	2.957e-01
2	9	5.000e-01	3.045e-01	1.000e+00	2.955e-01	1.000e+00	2.955e-01	1.000e+00	2.955e-01	1.000e+00	2.955e-01
3	0	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	3.346e-01
3	1	nan	nan	1.000e+00	3.029e-01	1.000e+00	3.029e-01	1.000e+00	3.029e-01	1.000e+00	3.029e-01
3	2	nan	nan	1.000e+00	2.973e-01	1.000e+00	2.973e-01	1.000e+00	2.973e-01	1.000e+00	2.973e-01
3	3	nan	nan	1.000e+00	3.341e-01	1.000e+00	3.341e-01	1.000e+00	3.341e-01	1.000e+00	3.341e-01
3	4	nan	nan	1.000e+00	3.207e-01	1.000e+00	3.207e-01	1.000e+00	3.207e-01	1.000e+00	3.207e-01
3	5	nan	nan	1.000e+00	4.256e-01	1.000e+00	4.256e-01	1.000e+00	4.256e-01	1.000e+00	4.256e-01
3	6	nan	nan	1.000e+00	3.205e-01	1.000e+00	3.205e-01	1.000e+00	3.205e-01	1.000e+00	3.205e-01
3	7	nan	nan	1.000e+00	3.435e-01	1.000e+00	3.435e-01	1.000e+00	3.435e-01	1.000e+00	3.435e-01
3	8	nan	nan	nan	nan	1.000e+00	3.584e-01	1.000e+00	3.584e-01	1.000e+00	3.584e-01
