x	y	progress.rate.q.0.05.0.00.quality.maturePerformance	progress.rate.q.0.05.0.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.10.quality.maturePerformance	progress.rate.q.0.05.0.10.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.25.quality.maturePerformance	progress.rate.q.0.05.0.25.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.50.quality.maturePerformance	progress.rate.q.0.05.0.50.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.1.00.quality.maturePerformance	progress.rate.q.0.05.1.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.
0	0	nan	nan	nan	nan	-1.000e+00	-9.907e-01	-1.000e+00	-9.907e-01	-1.000e+00	-9.907e-01
0	1	nan	nan	nan	nan	-1.000e+00	-9.696e-01	5.000e-01	9.034e-03	1.000e+00	7.759e-02
0	2	nan	nan	nan	nan	-5.900e-01	-3.400e-02	3.200e-01	9.656e-03	9.000e-01	6.285e-02
0	3	nan	nan	-1.000e+00	-9.008e-01	6.500e-01	7.125e-02	6.500e-01	7.125e-02	7.400e-01	9.348e-02
0	4	nan	nan	-1.000e+00	-8.939e-01	5.300e-01	7.498e-02	6.500e-01	9.395e-02	6.500e-01	9.395e-02
0	5	nan	nan	-1.000e+00	-8.739e-01	1.000e-01	-2.628e-03	6.500e-01	5.051e-02	6.500e-01	5.051e-02
0	6	nan	nan	-1.000e+00	-7.469e-01	-5.000e-02	-1.674e-02	4.500e-01	1.094e-01	6.500e-01	7.169e-02
0	7	nan	nan	nan	nan	-3.000e-02	6.865e-03	6.500e-01	4.689e-02	6.500e-01	4.689e-02
0	8	nan	nan	-5.000e-02	4.200e-02	2.000e-02	6.983e-02	4.900e-01	-2.389e-02	6.500e-01	7.491e-02
0	9	1.500e-01	-1.595e-01	6.500e-01	-7.215e-02	6.500e-01	-7.215e-02	6.500e-01	-7.215e-02	6.500e-01	-7.215e-02
1	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	1	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	1.162e-01
1	2	nan	nan	nan	nan	nan	nan	1.000e+00	1.430e-01	1.000e+00	1.430e-01
1	3	nan	nan	nan	nan	1.000e+00	1.548e-01	1.000e+00	1.548e-01	1.000e+00	1.548e-01
1	4	nan	nan	nan	nan	1.000e+00	1.519e-01	1.000e+00	1.519e-01	1.000e+00	1.519e-01
1	5	nan	nan	nan	nan	nan	nan	1.000e+00	1.289e-01	1.000e+00	1.289e-01
