n.evals.q.1.0.	xor._.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.hebbian.layer.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.hebbian.layer.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.hebbian.layer.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.hebbian.neuron.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.hebbian.neuron.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.hebbian.neuron.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max
1.000e+02	4.999e-01	4.521e-01	5.000e-01	4.366e-01	2.395e-01	4.963e-01	4.526e-01	2.530e-01	5.668e-01	4.246e-01	2.988e-01	4.992e-01	5.000e-01	5.000e-01	5.000e-01
2.000e+02	4.962e-01	3.940e-01	4.999e-01	4.901e-01	3.496e-01	4.993e-01	5.668e-01	3.780e-01	7.266e-01	4.620e-01	3.108e-01	4.997e-01	5.000e-01	5.000e-01	5.000e-01
3.000e+02	4.997e-01	4.762e-01	5.000e-01	4.985e-01	3.739e-01	4.999e-01	7.792e-01	5.537e-01	9.350e-01	4.615e-01	3.516e-01	4.998e-01	5.000e-01	5.000e-01	5.000e-01
4.000e+02	4.998e-01	4.027e-01	5.000e-01	4.956e-01	4.242e-01	4.999e-01	6.047e-01	4.048e-01	7.914e-01	4.991e-01	4.181e-01	5.966e-01	5.000e-01	4.999e-01	5.000e-01
5.000e+02	4.999e-01	3.771e-01	5.000e-01	4.979e-01	4.449e-01	5.000e-01	7.229e-01	6.047e-01	9.613e-01	5.520e-01	4.209e-01	7.846e-01	5.000e-01	4.998e-01	5.000e-01
6.000e+02	5.000e-01	4.863e-01	5.000e-01	4.928e-01	3.232e-01	4.998e-01	9.020e-01	7.445e-01	9.779e-01	7.075e-01	4.729e-01	8.378e-01	5.000e-01	4.999e-01	5.000e-01
7.000e+02	4.999e-01	4.940e-01	5.000e-01	4.999e-01	4.391e-01	5.000e-01	9.374e-01	7.160e-01	9.953e-01	6.642e-01	4.751e-01	7.699e-01	5.000e-01	5.000e-01	5.000e-01
8.000e+02	5.000e-01	4.980e-01	5.000e-01	4.988e-01	4.779e-01	5.000e-01	9.388e-01	8.076e-01	9.971e-01	6.750e-01	5.189e-01	8.378e-01	5.000e-01	5.000e-01	5.000e-01
9.000e+02	4.995e-01	4.415e-01	5.000e-01	4.963e-01	3.653e-01	5.000e-01	9.532e-01	7.643e-01	9.945e-01	7.145e-01	5.700e-01	8.316e-01	5.000e-01	5.000e-01	5.000e-01
1.000e+03	5.000e-01	4.978e-01	5.000e-01	4.985e-01	4.715e-01	5.000e-01	9.671e-01	7.057e-01	9.858e-01	7.357e-01	5.642e-01	8.710e-01	5.000e-01	5.000e-01	5.000e-01
