n.evals.q.1.0.	xor._.hebbian.network.best.quality.increase	xor._.hebbian.network.best.quality.increase.min	xor._.hebbian.network.best.quality.increase.max	xor._.hebbian.layer.best.quality.increase	xor._.hebbian.layer.best.quality.increase.min	xor._.hebbian.layer.best.quality.increase.max	xor._.hebbian.neuron.best.quality.increase	xor._.hebbian.neuron.best.quality.increase.min	xor._.hebbian.neuron.best.quality.increase.max	xor._.hebbian.synapse.best.quality.increase	xor._.hebbian.synapse.best.quality.increase.min	xor._.hebbian.synapse.best.quality.increase.max	xor._.freeForm.best.quality.increase	xor._.freeForm.best.quality.increase.min	xor._.freeForm.best.quality.increase.max
1.000e+02	4.576e-01	3.953e-01	4.848e-01	4.513e-01	2.414e-01	4.984e-01	4.394e-01	2.668e-01	5.262e-01	5.365e-01	3.922e-01	6.150e-01	3.749e-01	2.151e-01	4.399e-01
2.000e+02	4.584e-01	3.619e-01	4.808e-01	4.854e-01	3.620e-01	5.075e-01	5.262e-01	3.647e-01	6.703e-01	5.551e-01	3.881e-01	6.186e-01	3.773e-01	2.252e-01	6.149e-01
3.000e+02	4.771e-01	4.202e-01	4.924e-01	4.926e-01	3.742e-01	5.085e-01	7.537e-01	5.456e-01	9.162e-01	5.266e-01	4.233e-01	6.107e-01	4.247e-01	2.250e-01	6.288e-01
4.000e+02	4.641e-01	3.882e-01	4.778e-01	4.972e-01	4.055e-01	5.133e-01	5.913e-01	3.769e-01	7.352e-01	5.896e-01	4.013e-01	6.330e-01	3.750e-01	2.179e-01	5.951e-01
5.000e+02	4.691e-01	3.707e-01	4.830e-01	5.015e-01	4.486e-01	5.159e-01	7.127e-01	5.913e-01	9.278e-01	6.299e-01	4.969e-01	8.241e-01	3.725e-01	1.935e-01	5.750e-01
6.000e+02	4.598e-01	4.261e-01	4.785e-01	4.868e-01	3.211e-01	5.096e-01	8.690e-01	6.775e-01	9.412e-01	6.961e-01	5.545e-01	8.241e-01	3.740e-01	2.160e-01	5.951e-01
7.000e+02	4.737e-01	4.334e-01	4.853e-01	4.978e-01	4.364e-01	5.171e-01	9.368e-01	6.861e-01	9.611e-01	6.505e-01	5.582e-01	7.423e-01	3.749e-01	2.249e-01	5.750e-01
8.000e+02	4.734e-01	4.382e-01	4.832e-01	5.032e-01	4.498e-01	5.234e-01	9.239e-01	7.803e-01	9.639e-01	6.637e-01	5.652e-01	8.387e-01	4.469e-01	2.767e-01	6.250e-01
9.000e+02	4.696e-01	3.945e-01	4.842e-01	4.939e-01	3.916e-01	5.289e-01	9.258e-01	7.077e-01	9.553e-01	6.645e-01	6.063e-01	8.303e-01	4.251e-01	2.536e-01	6.049e-01
1.000e+03	4.812e-01	4.365e-01	4.847e-01	5.073e-01	4.518e-01	5.233e-01	9.172e-01	7.159e-01	9.581e-01	7.100e-01	5.958e-01	8.566e-01	4.470e-01	3.067e-01	6.715e-01
