x	y	progress.rate.q.0.05.0.00.quality.maturePerformance	progress.rate.q.0.05.0.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.10.quality.maturePerformance	progress.rate.q.0.05.0.10.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.25.quality.maturePerformance	progress.rate.q.0.05.0.25.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.50.quality.maturePerformance	progress.rate.q.0.05.0.50.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.1.00.quality.maturePerformance	progress.rate.q.0.05.1.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.
0	0	3.000e-02	-2.119e-10	1.900e-01	-2.873e-03	7.900e-01	5.006e-03	1.000e+00	8.750e-02	1.000e+00	8.750e-02
0	1	nan	nan	7.000e-02	-1.776e-15	5.800e-01	8.289e-01	1.000e+00	9.743e-03	1.000e+00	9.743e-03
0	2	nan	nan	7.000e-02	-4.950e-04	4.100e-01	7.347e-03	1.000e+00	1.525e-01	1.000e+00	1.525e-01
0	3	nan	nan	6.000e-02	-4.987e-04	4.500e-01	9.728e-01	1.000e+00	1.859e-01	1.000e+00	1.859e-01
0	4	nan	nan	-3.000e-02	7.418e-05	4.100e-01	6.944e-02	8.100e-01	-1.559e-01	1.000e+00	1.698e-01
0	5	nan	nan	-2.000e-02	1.128e-09	2.400e-01	5.034e-01	4.100e-01	-1.927e-01	8.100e-01	5.677e-01
0	6	nan	nan	2.000e-02	-5.000e-01	2.700e-01	3.348e-05	7.200e-01	2.084e-02	1.000e+00	5.575e-03
0	7	nan	nan	-2.000e-02	-4.689e-06	3.200e-01	5.060e-04	1.000e+00	4.677e-01	1.000e+00	4.677e-01
0	8	nan	nan	-3.000e-02	-1.174e-09	3.700e-01	-7.011e-03	9.100e-01	1.776e-01	1.000e+00	2.795e-01
0	9	3.000e-01	5.000e-01	5.000e-01	5.000e-01	7.800e-01	5.059e-01	7.800e-01	5.059e-01	1.000e+00	5.702e-01
1	0	nan	nan	nan	nan	1.000e+00	6.577e-03	1.000e+00	6.577e-03	1.000e+00	6.577e-03
1	1	nan	nan	nan	nan	1.000e+00	1.493e-01	1.000e+00	1.493e-01	1.000e+00	1.493e-01
1	2	nan	nan	nan	nan	1.000e+00	1.019e-01	1.000e+00	1.019e-01	1.000e+00	1.019e-01
1	3	nan	nan	nan	nan	1.000e+00	8.304e-01	1.000e+00	8.304e-01	1.000e+00	8.304e-01
1	4	nan	nan	nan	nan	1.000e+00	3.325e-01	1.000e+00	3.325e-01	1.000e+00	3.325e-01
1	5	nan	nan	nan	nan	7.900e-01	8.321e-01	1.000e+00	4.164e-02	1.000e+00	4.164e-02
1	6	nan	nan	nan	nan	8.100e-01	9.239e-02	1.000e+00	7.617e-01	1.000e+00	7.617e-01
1	7	nan	nan	nan	nan	4.100e-01	-1.581e-01	1.000e+00	5.814e-01	1.000e+00	5.814e-01
1	8	nan	nan	nan	nan	1.600e-01	6.394e-03	1.000e+00	4.825e-01	1.000e+00	4.825e-01
1	9	4.500e-01	5.000e-01	6.000e-01	5.000e-01	7.800e-01	5.188e-01	1.000e+00	5.717e-01	1.000e+00	5.717e-01
2	0	nan	nan	nan	nan	1.000e+00	2.162e-01	1.000e+00	2.162e-01	1.000e+00	2.162e-01
2	1	nan	nan	nan	nan	1.000e+00	8.348e-01	1.000e+00	8.348e-01	1.000e+00	8.348e-01
2	2	nan	nan	nan	nan	1.000e+00	9.121e-02	1.000e+00	9.121e-02	1.000e+00	9.121e-02
2	3	nan	nan	nan	nan	7.900e-01	9.594e-01	1.000e+00	7.083e-01	1.000e+00	7.083e-01
2	4	nan	nan	nan	nan	1.000e+00	3.583e-01	1.000e+00	3.583e-01	1.000e+00	3.583e-01
2	5	nan	nan	nan	nan	1.000e+00	1.496e-01	1.000e+00	1.496e-01	1.000e+00	1.496e-01
2	6	nan	nan	nan	nan	6.000e-01	7.023e-01	1.000e+00	5.871e-01	1.000e+00	5.871e-01
