x	y	progress.rate.q.0.05.0.00.quality.maturePerformance	progress.rate.q.0.05.0.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.10.quality.maturePerformance	progress.rate.q.0.05.0.10.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.25.quality.maturePerformance	progress.rate.q.0.05.0.25.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.50.quality.maturePerformance	progress.rate.q.0.05.0.50.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.1.00.quality.maturePerformance	progress.rate.q.0.05.1.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.
0	0	nan	nan	1.000e+00	7.497e-02	1.000e+00	7.497e-02	1.000e+00	7.497e-02	1.000e+00	7.497e-02
0	1	nan	nan	9.500e-01	4.190e-02	1.000e+00	5.497e-02	1.000e+00	5.497e-02	1.000e+00	5.497e-02
0	2	nan	nan	5.000e-02	-8.047e-05	1.000e+00	7.369e-02	1.000e+00	7.369e-02	1.000e+00	7.369e-02
0	3	nan	nan	7.500e-01	7.185e-02	9.900e-01	9.255e-02	1.000e+00	7.197e-02	1.000e+00	7.197e-02
0	4	5.000e-02	-3.712e-05	4.500e-01	5.790e-02	6.200e-01	1.100e-01	9.300e-01	7.226e-02	1.000e+00	9.609e-02
0	5	nan	nan	5.000e-01	3.556e-02	6.300e-01	7.466e-02	6.800e-01	2.443e-02	8.100e-01	1.089e-01
0	6	nan	nan	5.000e-01	4.684e-02	8.500e-01	9.263e-02	8.500e-01	9.263e-02	8.500e-01	9.263e-02
0	7	nan	nan	4.500e-01	8.999e-02	6.500e-01	4.684e-02	6.500e-01	4.684e-02	6.500e-01	4.684e-02
0	8	nan	nan	3.700e-01	8.757e-02	5.000e-01	5.200e-02	5.000e-01	5.200e-02	6.000e-01	2.366e-02
0	9	5.000e-02	-1.339e-12	5.000e-01	7.585e-02	6.000e-01	9.467e-02	6.500e-01	4.276e-02	6.500e-01	4.276e-02
1	0	nan	nan	1.000e+00	1.425e-01	1.000e+00	1.425e-01	1.000e+00	1.425e-01	1.000e+00	1.425e-01
1	1	nan	nan	1.000e+00	1.708e-01	1.000e+00	1.708e-01	1.000e+00	1.708e-01	1.000e+00	1.708e-01
1	2	nan	nan	1.000e+00	1.737e-01	1.000e+00	1.737e-01	1.000e+00	1.737e-01	1.000e+00	1.737e-01
1	3	nan	nan	1.000e+00	1.773e-01	1.000e+00	1.773e-01	1.000e+00	1.773e-01	1.000e+00	1.773e-01
1	4	nan	nan	nan	nan	1.000e+00	1.915e-01	1.000e+00	1.915e-01	1.000e+00	1.915e-01
1	5	nan	nan	1.000e+00	1.656e-01	1.000e+00	1.656e-01	1.000e+00	1.656e-01	1.000e+00	1.656e-01
1	6	1.600e-01	1.143e-01	1.000e+00	1.842e-01	1.000e+00	1.842e-01	1.000e+00	1.842e-01	1.000e+00	1.842e-01
1	7	nan	nan	7.500e-01	1.965e-01	1.000e+00	1.519e-01	1.000e+00	1.519e-01	1.000e+00	1.519e-01
1	8	nan	nan	5.000e-01	1.063e-01	1.000e+00	1.814e-01	1.000e+00	1.814e-01	1.000e+00	1.814e-01
1	9	nan	nan	5.000e-01	2.006e-01	7.000e-01	1.843e-01	1.000e+00	2.023e-01	1.000e+00	2.023e-01
2	0	nan	nan	nan	nan	nan	nan	1.000e+00	2.100e-01	1.000e+00	2.100e-01
2	1	nan	nan	1.000e+00	2.649e-01	1.000e+00	2.649e-01	1.000e+00	2.649e-01	1.000e+00	2.649e-01
2	2	nan	nan	nan	nan	1.000e+00	1.872e-01	1.000e+00	1.872e-01	1.000e+00	1.872e-01
2	3	nan	nan	1.000e+00	2.535e-01	1.000e+00	2.535e-01	1.000e+00	2.535e-01	1.000e+00	2.535e-01
2	4	nan	nan	1.000e+00	2.603e-01	1.000e+00	2.603e-01	1.000e+00	2.603e-01	1.000e+00	2.603e-01
2	5	nan	nan	1.000e+00	2.183e-01	1.000e+00	2.183e-01	1.000e+00	2.183e-01	1.000e+00	2.183e-01
2	6	nan	nan	1.000e+00	1.930e-01	1.000e+00	1.930e-01	1.000e+00	1.930e-01	1.000e+00	1.930e-01
2	7	nan	nan	1.000e+00	2.090e-01	1.000e+00	2.090e-01	1.000e+00	2.090e-01	1.000e+00	2.090e-01
2	8	nan	nan	9.000e-01	2.595e-01	1.000e+00	2.483e-01	1.000e+00	2.483e-01	1.000e+00	2.483e-01
2	9	nan	nan	1.000e+00	2.512e-01	1.000e+00	2.512e-01	1.000e+00	2.512e-01	1.000e+00	2.512e-01
3	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	1	nan	nan	1.000e+00	3.387e-01	1.000e+00	3.387e-01	1.000e+00	3.387e-01	1.000e+00	3.387e-01
3	2	nan	nan	nan	nan	1.000e+00	3.557e-01	1.000e+00	3.557e-01	1.000e+00	3.557e-01
3	3	nan	nan	1.000e+00	3.650e-01	1.000e+00	3.650e-01	1.000e+00	3.650e-01	1.000e+00	3.650e-01
3	4	nan	nan	1.000e+00	3.586e-01	1.000e+00	3.586e-01	1.000e+00	3.586e-01	1.000e+00	3.586e-01
3	5	nan	nan	1.000e+00	3.660e-01	1.000e+00	3.660e-01	1.000e+00	3.660e-01	1.000e+00	3.660e-01
3	6	nan	nan	1.000e+00	3.508e-01	1.000e+00	3.508e-01	1.000e+00	3.508e-01	1.000e+00	3.508e-01
3	7	nan	nan	1.000e+00	3.334e-01	1.000e+00	3.334e-01	1.000e+00	3.334e-01	1.000e+00	3.334e-01
3	8	nan	nan	1.000e+00	3.609e-01	1.000e+00	3.609e-01	1.000e+00	3.609e-01	1.000e+00	3.609e-01
3	9	nan	nan	1.000e+00	4.188e-01	1.000e+00	4.188e-01	1.000e+00	4.188e-01	1.000e+00	4.188e-01
4	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	1	nan	nan	nan	nan	1.000e+00	4.437e-01	1.000e+00	4.437e-01	1.000e+00	4.437e-01
4	2	nan	nan	nan	nan	1.000e+00	3.998e-01	1.000e+00	3.998e-01	1.000e+00	3.998e-01
4	3	nan	nan	1.000e+00	3.887e-01	1.000e+00	3.887e-01	1.000e+00	3.887e-01	1.000e+00	3.887e-01
4	4	nan	nan	nan	nan	1.000e+00	4.282e-01	1.000e+00	4.282e-01	1.000e+00	4.282e-01
4	5	nan	nan	1.000e+00	4.109e-01	1.000e+00	4.109e-01	1.000e+00	4.109e-01	1.000e+00	4.109e-01
4	6	nan	nan	1.000e+00	3.952e-01	1.000e+00	3.952e-01	1.000e+00	3.952e-01	1.000e+00	3.952e-01
4	7	nan	nan	1.000e+00	4.531e-01	1.000e+00	4.531e-01	1.000e+00	4.531e-01	1.000e+00	4.531e-01
4	8	nan	nan	1.000e+00	3.864e-01	1.000e+00	3.864e-01	1.000e+00	3.864e-01	1.000e+00	3.864e-01
4	9	5.000e-01	4.663e-01	1.000e+00	3.830e-01	1.000e+00	3.830e-01	1.000e+00	3.830e-01	1.000e+00	3.830e-01
5	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	1	nan	nan	nan	nan	1.000e+00	4.787e-01	1.000e+00	4.787e-01	1.000e+00	4.787e-01
5	2	nan	nan	1.000e+00	5.025e-01	1.000e+00	5.025e-01	1.000e+00	5.025e-01	1.000e+00	5.025e-01
5	3	nan	nan	1.000e+00	5.786e-01	1.000e+00	5.786e-01	1.000e+00	5.786e-01	1.000e+00	5.786e-01
5	4	nan	nan	1.000e+00	4.635e-01	1.000e+00	4.635e-01	1.000e+00	4.635e-01	1.000e+00	4.635e-01
5	5	nan	nan	1.000e+00	5.055e-01	1.000e+00	5.055e-01	1.000e+00	5.055e-01	1.000e+00	5.055e-01
5	6	nan	nan	1.000e+00	5.337e-01	1.000e+00	5.337e-01	1.000e+00	5.337e-01	1.000e+00	5.337e-01
5	7	nan	nan	1.000e+00	4.823e-01	1.000e+00	4.823e-01	1.000e+00	4.823e-01	1.000e+00	4.823e-01
5	8	nan	nan	1.000e+00	5.645e-01	1.000e+00	5.645e-01	1.000e+00	5.645e-01	1.000e+00	5.645e-01
